Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
Failed,,,3950,3052,1999,0.141,0.8
Failed,,,2568,257,2986,0.875,0.4
Failed,,,2407,4321,856,0.392,0.0
Failed,,,1568,655,1275,0.318,0.0
Failed,,,3282,4721,4734,0.832,0.2
Failed,,,4401,1886,251,0.09,0.7
Failed,,,489,3451,3747,0.573,0.0
Failed,,,2958,4451,3662,0.202,0.0
Failed,,,4339,2246,1367,0.939,0.0
Failed,,,750,3180,4823,0.456,0.7
Failed,,,1223,198,1681,0.187,0.0
Failed,,,3884,4262,4475,0.671,0.7
Failed,,,2805,1467,539,0.407,0.2
Failed,,,2342,3032,3292,0.923,0.0
Failed,,,1810,2023,3791,0.849,0.0
Failed,,,3222,3587,2209,0.364,0.3
Failed,,,4642,753,2806,0.62,0.9
Failed,,,428,4818,1182,0.105,0.001
Failed,,,433,121,2595,0.663,0.0
Failed,,,4657,4181,1090,0.179,0.01
Failed,,,3265,1391,3932,0.931,0.5
Failed,,,1864,2950,2390,0.414,0.0
Failed,,,2267,2104,329,0.371,0.0
Failed,,,2741,3665,3200,0.857,0.8
Failed,,,3850,835,1822,0.097,0.3
Failed,,,3747,4686,2064,0.707,0.001
Failed,,,4817,2476,2953,0.464,0.0
Failed,,,291,3417,708,0.947,0.4
Failed,,,130,2205,4714,0.075,0.0
Failed,,,4979,3141,1295,0.588,0.5
Failed,,,3588,975,3687,0.334,0.1
Failed,,,1562,4410,310,0.816,0.0
Failed,,,1038,716,1157,0.486,0.6
Failed,,,4012,4780,2660,0.971,0.0
Failed,,,2582,1984,2318,0.232,0.0
Failed,,,2431,3550,3862,0.747,0.2
Failed,,,43,4549,3271,0.479,0.1
Failed,,,366,3089,4120,0.755,0.7
Failed,,,357,1540,3522,0.079,0.01
Failed,,,4571,3104,143,0.564,0.0
Failed,,,3190,309,4879,0.327,0.0
Failed,,,1779,4374,1463,0.843,0.5
Failed,,,3512,2364,2740,0.908,0.0
Failed,,,1475,3304,1238,0.426,0.01
Failed,,,1894,1672,1677,0.352,0.2
Failed,,,2983,2612,4508,0.865,0.0
Failed,,,4102,402,474,0.119,0.0
Failed,,,816,3843,3347,0.602,0.7
Failed,,,2595,3545,313,0.931,0.0
Failed,,,4016,711,4660,0.178,0.0
Failed,,,1052,4775,1828,0.66,0.01
Failed,,,883,1812,4951,0.946,0.0
Failed,,,3050,580,3456,0.71,0.9
Failed,,,1961,4016,78,0.195,0.001
Failed,,,3279,2965,3436,0.234,0.2
Failed,,,4660,135,1591,0.969,0.7
Failed,,,446,4196,4423,0.486,0.0
