Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
Completed,0.58,894,2219,795,6,0.483,0.7
Completed,0.71,889,4706,1866,2,0.118,0.7
Completed,0.71,4298,641,565,49,0.031,0.8
Completed,0.72,7683,2301,479,104,0.415,0.0
Completed,0.73,11504,3736,1506,44,0.352,0.4
Completed,0.75,8432,210,3785,13,0.828,0.0
Completed,0.71,418,4869,476,3,0.172,0.0
Completed,0.75,13897,837,2362,24,0.588,0.0
Completed,0.72,8578,3190,683,82,0.483,0.01
Completed,0.71,1670,1563,4179,2,0.172,0.5
Failed,,,1301,1510,3103,0.515,0.8
Failed,,,494,4070,62,0.315,0.2
Failed,,,4620,436,3844,0.771,0.0
Failed,,,4497,4287,2099,0.155,0.6
Failed,,,390,575,3372,0.697,0.0
Failed,,,1410,2510,965,0.379,0.001
Failed,,,3709,1376,4816,0.956,0.3
Failed,,,3217,4556,640,0.661,0.0
Failed,,,1592,922,4516,0.238,0.1
Failed,,,208,3481,2399,0.934,0.7
Failed,,,4989,2270,3697,0.48,0.0
Failed,,,4867,4468,4906,0.021,0.01
Failed,,,252,677,1188,0.566,0.0
Failed,,,1705,3745,3149,0.264,0.0
Failed,,,3183,2376,2009,0.838,0.8
Failed,,,2987,3088,142,0.943,0.6
Failed,,,2823,3674,1889,0.637,0.0
Failed,,,139,4613,3242,0.419,0.6
Failed,,,4891,1206,1387,0.508,0.0
Failed,,,2752,2959,4281,0.145,0.0
Failed,,,2220,1385,1130,0.811,0.01
Failed,,,1473,3658,2204,0.946,0.3
Failed,,,3558,2087,2855,0.098,0.0
Failed,,,3763,3753,275,0.735,0.0
Failed,,,1209,343,4629,0.339,0.8
Failed,,,809,2786,583,0.035,0.001
Failed,,,4145,1857,4984,0.883,0.5
Failed,,,3177,4801,1934,0.277,0.2
Failed,,,1874,711,2539,0.673,0.0
Failed,,,1974,4258,3926,0.569,0.0
Failed,,,2976,165,822,0.481,0.4
Failed,,,2125,892,62,0.903,0.0
Failed,,,4921,227,999,0.708,0.5
Failed,,,2132,1720,3767,0.393,0.0
Failed,,,1075,3850,1820,0.718,0.001
Failed,,,3813,60,3023,0.134,0.2
Failed,,,3937,4028,1045,0.753,0.0
Failed,,,1178,160,4739,0.332,0.7
