Status,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
Completed,0.91,0,5000,1,5000,0.999,0.9
Completed,0.91,0,1,5000,1,0.999,0.9
Completed,0.91,0,34,486,3154,0.254,0.8
Completed,0.91,0,1918,3404,1460,0.709,0.4
Completed,0.91,0,4597,2197,4954,0.215,0.0
Completed,0.91,0,3933,2725,2841,0.09,0.0
Completed,0.91,0,3041,3020,2072,0.418,0.0
Completed,0.91,0,1963,2154,1386,0.721,0.2
Completed,0.91,0,1779,1294,3771,0.494,0.8
Completed,0.91,0,951,3234,963,0.643,0.6
Completed,0.91,0,4577,4612,675,0.413,0.0
Completed,0.91,0,708,2201,3412,0.923,0.3
Completed,0.91,0,3586,3554,3112,0.559,0.7
Completed,0.91,0,359,4042,4437,0.815,0.0
Completed,0.91,0,4335,2774,3027,0.771,0.1
Completed,0.91,0,1531,1421,3342,0.648,0.0
Completed,0.91,0,4602,1009,4207,0.975,0.6
Completed,0.91,0,367,1342,4318,0.907,0.4
Completed,0.91,0,2214,4730,1072,0.114,0.7
Completed,0.91,0,4848,861,2535,0.619,0.0
Completed,0.91,0,1254,1667,752,0.585,0.1
Completed,0.91,0,698,4449,4019,0.378,0.5
Completed,0.91,0,3336,1210,2396,0.889,0.0
Completed,0.91,0,3455,3556,4107,0.535,0.8
Completed,0.91,0,1127,2035,1980,0.041,0.0
Completed,0.91,0,1762,4351,2785,0.995,0.0
Completed,0.91,0,4127,12,1125,0.486,0.2
Completed,0.91,0,4713,4913,1666,0.361,0.01
Completed,0.91,0,2679,1371,4635,0.849,0.001
Completed,0.91,0,1104,4533,291,0.806,0.2
Completed,0.91,0,3081,2873,2240,0.569,0.8
Completed,0.91,0,2348,736,4422,0.872,0.0
Completed,0.91,0,3786,18,4358,0.396,0.0
Completed,0.91,1,1,1,1,0.463,0.0
Completed,0.91,0,5000,421,1702,0.992,0.0
Completed,0.91,0,5000,493,222,0.998,0.0
Completed,0.91,0,4835,1,2609,0.915,0.0
Completed,0.91,0,1,2540,5000,0.001,0.9
Completed,0.91,0,5000,1,2370,0.23,0.0
Completed,0.91,0,38,724,4801,0.655,0.9
Completed,0.91,0,5000,1,1987,0.911,0.0
Completed,0.91,0,5000,1133,1996,0.999,0.0
Completed,0.91,0,5000,1,923,0.967,0.0
Completed,0.91,0,5000,1261,1,0.999,0.0
Completed,0.91,0,5000,5000,845,0.667,0.9
Completed,0.91,0,3359,2682,5000,0.999,0.9
Completed,0.91,0,1,5000,1,0.685,0.0
Completed,0.91,0,4271,79,2423,0.829,0.0
Completed,0.91,0,4945,1889,1,0.999,0.0
Completed,0.91,0,5000,1,5000,0.513,0.9
Completed,0.91,0,5000,1533,2648,0.999,0.9
Completed,0.91,0,609,1,4858,0.614,0.0
Completed,0.91,18,5000,1,526,0.999,0.0
Completed,0.91,0,4471,1,1051,0.919,0.0
Completed,0.91,1,2773,1,1,0.001,0.0
Completed,0.91,0,4326,1901,1,0.999,0.0
Completed,0.91,0,1,1,3204,0.608,0.0
Completed,0.91,0,2307,3262,5000,0.001,0.0
Completed,0.91,479,4022,84,15,0.757,0.0
Completed,0.92,332,4627,22,300,0.985,0.0
Completed,0.91,0,1182,493,152,0.294,0.0
Completed,0.92,337,4909,252,1,0.999,0.0
Completed,0.91,0,4984,390,460,0.201,0.0
Completed,0.91,165,4627,367,40,0.962,0.0
Completed,0.91,0,2741,4958,4592,0.488,0.9
Completed,0.91,25,107,2,504,0.311,0.0
Completed,0.91,0,4278,4257,2482,0.337,0.4
Completed,0.91,0,3652,291,3473,0.96,0.9
Completed,0.91,0,3325,721,228,0.001,0.0
Completed,0.91,0,3746,4766,2625,0.339,0.2
Completed,0.91,0,2649,4892,2642,0.105,0.1
Completed,0.91,0,378,4000,4262,0.999,0.0
Completed,0.91,0,153,2387,1513,0.626,0.5
Completed,0.91,538,4118,1,94,0.975,0.0
Completed,0.91,0,4591,425,3209,0.604,0.9
Completed,0.91,0,794,4972,3018,0.333,0.001
