Dataset,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
Electricity,range:int:1.0|5000.0,range:int:0.0|7.0,range:int:1.0|500.0,range:int:1.0|2000.0,range:int:1.0|500.0
ForestCovertype,range:int:1.0|5000.0,range:int:0.0|53.0,range:int:1.0|500.0,range:int:1.0|2000.0,range:int:1.0|500.0
GasSensor,range:int:1.0|5000.0,range:int:0.0|127.0,range:int:1.0|500.0,range:int:1.0|2000.0,range:int:1.0|500.0
NOAAWeather,range:int:1.0|5000.0,range:int:0.0|7.0,range:int:1.0|500.0,range:int:1.0|2000.0,range:int:1.0|500.0
OutdoorObjects,range:int:1.0|5000.0,range:int:0.0|20.0,range:int:1.0|500.0,range:int:1.0|2000.0,range:int:1.0|500.0
Ozone,range:int:1.0|5000.0,range:int:0.0|71.0,range:int:1.0|500.0,range:int:1.0|2000.0,range:int:1.0|500.0
PokerHand,range:int:1.0|5000.0,range:int:0.0|9.0,range:int:1.0|500.0,range:int:1.0|2000.0,range:int:1.0|500.0
RialtoBridgeTimelapse,range:int:1.0|5000.0,range:int:0.0|26.0,range:int:1.0|500.0,range:int:1.0|2000.0,range:int:1.0|500.0
SensorStream,range:int:1.0|5000.0,range:int:0.0|4.0,range:int:1.0|500.0,range:int:1.0|2000.0,range:int:1.0|500.0
