source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
benchmark_pareto,0.56,4.0,0.56,3.0,Completed,1,1,0.068,0.396,314,EDFSMode.RANDOM
benchmark_pareto,0.58,7.0,0.58,4.0,Completed,2022,1,0.999,0.999,665,EDFSMode.RANDOM
benchmark_pareto,0.59,9.0,0.59,5.0,Completed,1,68,0.001,0.001,147,EDFSMode.RANDOM
benchmark_pareto,0.63,12.0,0.63,7.0,Completed,46,4,0.001,0.989,100,EDFSMode.RANDOM
benchmark_pareto,0.64,19.0,0.64,8.0,Completed,206,88,0.014,0.832,282,EDFSMode.RANDOM
benchmark_pareto,0.65,22.0,0.65,13.0,Completed,364,1,0.001,0.074,216,EDFSMode.RANDOM
benchmark_pareto,0.66,25.0,0.66,14.0,Completed,433,1,0.082,0.668,241,EDFSMode.RANDOM
benchmark_pareto,0.67,38.0,0.67,20.0,Completed,2717,1,0.314,0.436,226,EDFSMode.RANDOM
benchmark_pareto,0.68,45.0,0.68,25.0,Completed,2700,1,0.257,0.394,162,EDFSMode.RANDOM
benchmark_pareto,0.69,61.0,0.69,26.0,Completed,737,27,0.413,0.47,261,EDFSMode.RANDOM
benchmark_pareto,0.7,64.0,0.7,39.0,Completed,1138,100,0.001,0.001,153,EDFSMode.RANDOM
benchmark_pareto,0.71,69.0,0.71,40.0,Completed,3281,1,0.127,0.999,138,EDFSMode.RANDOM
benchmark_pareto,0.72,75.0,0.72,44.0,Completed,2721,79,0.001,0.001,100,EDFSMode.RANDOM
benchmark_pareto,0.75,105.0,0.75,61.0,Completed,4989,68,0.001,0.463,133,EDFSMode.RANDOM
benchmark_max_rt,,6839.0,,528.0,Completed,1289,74,0.757,0.649,850,EDFSMode.RANDOM
benchmark_min_acc,0.48,,0.48,,Completed,1,1,0.001,0.001,739,EDFSMode.RANDOM
paper_default,-1.0,-1.0,0.52,8.0,Completed,1000,10,0.1,0.01,1000,EDFSMode.RANDOM
paper_default,-1.0,-1.0,0.55,11.0,Completed,2000,10,0.1,0.01,1000,EDFSMode.RANDOM
recommendation_system,0.7072826110416689,0.9615251514044966,0.56,8.0,Completed,1450,7,0.0035486915912479,0.1525625014398247,1000,EDFSMode.RANDOM
recommendation_system,0.721409960812135,0.9550694091297552,0.58,13.0,Completed,1752,20,0.0112699338385565,0.1686682754172125,822,EDFSMode.RANDOM
recommendation_system,0.7220706155760502,0.9546964125604144,0.62,16.0,Completed,1995,17,0.0054949723184108,0.275150606457144,636,EDFSMode.RANDOM
recommendation_system,0.7408494293548642,0.9495054365357743,0.6,13.0,Completed,3512,20,0.0112699338385565,0.3675654523417698,621,EDFSMode.RANDOM
recommendation_system,0.7442375421813827,0.9491759279853312,0.55,13.0,Completed,3648,20,0.001765913218308,0.3248872329763505,671,EDFSMode.RANDOM
recommendation_system,0.7529530252356337,0.944570270690896,0.57,14.0,Completed,4020,25,0.0028464467403431,0.4258361859732532,679,EDFSMode.RANDOM
recommendation_system,0.7658193721871256,0.9034452407642138,0.64,20.0,Completed,3467,20,0.001765913218308,0.9943380016651248,341,EDFSMode.RANDOM
recommendation_system,0.7736650178860326,0.888892208227609,0.64,22.0,Completed,3467,69,0.001765913218308,0.9757474213012346,309,EDFSMode.RANDOM
recommendation_system,0.7865358128854504,0.8482894156406416,0.64,26.0,Completed,3819,100,0.0084205715209014,0.429091580242428,307,EDFSMode.RANDOM
recommendation_system,0.798985160035885,0.7063923350550962,0.68,18.0,Completed,2536,58,0.0013803315849278,0.9956399008420616,160,EDFSMode.RANDOM
recommendation_system,0.8063419990503327,0.6935399725833338,0.71,31.0,Completed,1165,99,0.0025031735724506,0.9757474213012346,146,EDFSMode.RANDOM
recommendation_system,0.8071375403984102,0.6899202726909069,0.7,37.0,Completed,1680,61,0.0117009361624352,0.9572611005161497,173,EDFSMode.RANDOM
recommendation_system,0.817023828962235,0.688351933486339,0.7,41.0,Completed,1871,60,0.0108718747738748,0.9499946843720972,164,EDFSMode.RANDOM
recommendation_system,0.825041909244808,0.68062525172941,0.64,17.0,Completed,2436,52,0.0041840759778967,0.9948523692190556,145,EDFSMode.RANDOM
recommendation_system,0.8330850074509494,0.658257299130648,0.72,42.0,Completed,3467,23,0.0112699338385565,0.9757474213012346,121,EDFSMode.RANDOM
recommendation_system,0.8350518258579852,0.649713344455364,0.72,42.0,Completed,3467,23,0.001765913218308,0.9757474213012346,121,EDFSMode.RANDOM
recommendation_system,0.8497845981179317,0.6122223227929472,0.71,46.0,Completed,3697,98,0.0124713841269094,0.5479618668074975,136,EDFSMode.RANDOM
recommendation_system,0.8682896082714919,0.580740476142711,0.72,57.0,Completed,3948,99,0.0075141419420248,0.4521808279874135,121,EDFSMode.RANDOM
recommendation_system,0.871078311449688,0.561083546919169,0.72,60.0,Completed,4635,96,0.0281826659103439,0.5353620114113756,125,EDFSMode.RANDOM
recommendation_system,0.883192018663033,0.5461409104085811,0.72,64.0,Completed,4008,99,0.0374374033142151,0.4868266076131363,121,EDFSMode.RANDOM
