source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
benchmark_pareto,0.55,0.0,0.55,0.0,Completed,2390,1,0.112,0.303,1000,EDFSMode.RANDOM
benchmark_pareto,0.57,1.0,0.57,1.0,Completed,2583,1,0.187,0.999,136,EDFSMode.RANDOM
benchmark_pareto,0.58,2.0,0.58,2.0,Completed,4996,39,0.001,0.999,155,EDFSMode.RANDOM
benchmark_max_rt,,860.0,,380.0,Completed,3619,94,0.954,0.278,796,EDFSMode.RANDOM
benchmark_min_acc,0.55,,0.55,,Completed,646,49,0.779,0.044,514,EDFSMode.RANDOM
paper_default,-1.0,-1.0,0.55,0.0,Completed,1000,10,0.1,0.01,1000,EDFSMode.RANDOM
paper_default,-1.0,-1.0,0.55,0.0,Completed,2000,10,0.1,0.01,1000,EDFSMode.RANDOM
recommendation_system,0.6629279316809508,0.731190998136033,0.56,0.0,Completed,680,26,0.0070614182583067,0.5264291980366445,353,EDFSMode.RANDOM
recommendation_system,0.6653720688865611,0.7286552161704747,0.56,0.0,Completed,680,37,0.0070614182583067,0.5264291980366445,353,EDFSMode.RANDOM
recommendation_system,0.6682950754961624,0.7262924217234377,0.56,0.0,Completed,749,26,0.0070614182583067,0.477131001343392,353,EDFSMode.RANDOM
recommendation_system,0.6785191988634013,0.7210106037040139,0.56,0.0,Completed,528,31,0.0085124020665213,0.4945195367615195,269,EDFSMode.RANDOM
recommendation_system,0.8026879057827125,0.6440811150281806,0.57,1.0,Completed,749,28,0.010906752320805,0.537524331982892,139,EDFSMode.RANDOM
recommendation_system,0.8057898350531206,0.6408032440875117,0.57,1.0,Completed,793,31,0.011041708582732,0.6008100370110309,150,EDFSMode.RANDOM
recommendation_system,0.8232865959858716,0.6285027460812102,0.57,1.0,Completed,788,28,0.0086263716333178,0.5510841304110564,127,EDFSMode.RANDOM
recommendation_system,0.8235715713433102,0.6252003167907652,0.57,1.0,Completed,749,28,0.010906752320805,0.5264291980366445,123,EDFSMode.RANDOM
recommendation_system,0.8244943317105152,0.6245271960322324,0.57,1.0,Completed,749,28,0.010906752320805,0.537524331982892,123,EDFSMode.RANDOM
recommendation_system,0.8333479552742837,0.608165553849199,0.57,1.0,Completed,749,28,0.010906752320805,0.7594656780627084,123,EDFSMode.RANDOM
recommendation_system,0.8379665515867204,0.6023942040279755,0.57,1.0,Completed,747,26,0.0046503760211695,0.6356946730271544,110,EDFSMode.RANDOM
recommendation_system,0.8669620356607072,0.5605405388966134,0.57,1.0,Completed,3320,24,0.0056009880982449,0.4735843223843862,123,EDFSMode.RANDOM
recommendation_system,0.8756599102945722,0.5484339554513811,0.57,1.0,Completed,3320,24,0.0056009880982449,0.7594656780627084,123,EDFSMode.RANDOM
recommendation_system,0.8769872498676848,0.5455370122738088,0.57,1.0,Completed,3320,28,0.010906752320805,0.8163328115730238,123,EDFSMode.RANDOM
recommendation_system,0.8776356631157355,0.5429081894065685,0.57,1.0,Completed,3381,32,0.0034276731200516,0.5391454262398183,122,EDFSMode.RANDOM
recommendation_system,0.8834070311063065,0.5409455727324174,0.57,1.0,Completed,3370,36,0.0059370523744863,0.6721239579698358,118,EDFSMode.RANDOM
recommendation_system,0.8834996010207367,0.5312370887382142,0.57,1.0,Completed,3131,54,0.0198458663910064,0.919526821430318,113,EDFSMode.RANDOM
recommendation_system,0.8839993440536921,0.5278683351357075,0.57,1.0,Completed,3427,33,0.0132234572925796,0.5308906237620493,104,EDFSMode.RANDOM
recommendation_system,0.892679953567635,0.5272034390038894,0.57,1.0,Completed,3351,35,0.0054106221247935,0.7261950996865921,108,EDFSMode.RANDOM
recommendation_system,0.8941717888034322,0.4809058787678755,0.57,1.0,Completed,4242,66,0.001738827793079,0.5230636202597037,113,EDFSMode.RANDOM
