source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
benchmark_pareto,0.76,77.0,0.76,64.0,Completed,2196,25,0.073,0.958,810,EDFSMode.RANDOM
benchmark_pareto,0.84,86.0,0.84,65.0,Completed,97,6,0.123,0.23,243,EDFSMode.RANDOM
benchmark_pareto,0.87,100.0,0.87,68.0,Completed,429,11,0.172,0.001,704,EDFSMode.RANDOM
benchmark_pareto,0.9,148.0,0.9,106.0,Completed,458,10,0.196,0.938,370,EDFSMode.RANDOM
benchmark_pareto,0.91,212.0,0.91,151.0,Completed,619,8,0.11,0.999,362,EDFSMode.RANDOM
benchmark_pareto,0.92,268.0,0.92,202.0,Completed,4174,24,0.188,0.78,759,EDFSMode.RANDOM
benchmark_pareto,0.93,311.0,0.93,253.0,Completed,3143,33,0.082,0.741,358,EDFSMode.RANDOM
benchmark_max_rt,,13937.0,,8654.0,Completed,4338,72,0.784,0.797,356,EDFSMode.RANDOM
benchmark_min_acc,0.49,,0.49,,Completed,13,1,0.181,0.001,832,EDFSMode.RANDOM
paper_default,-1.0,-1.0,0.87,130.0,Completed,1000,10,0.1,0.01,1000,EDFSMode.RANDOM
paper_default,-1.0,-1.0,0.91,178.0,Completed,2000,10,0.1,0.01,1000,EDFSMode.RANDOM
recommendation_system,0.6152977916474294,0.7940177385823103,0.77,45.0,Completed,183,42,0.0040219037418222,0.5614762388956309,893,EDFSMode.RANDOM
recommendation_system,0.6164573996186316,0.7933028338659392,0.81,52.0,Completed,303,42,0.0026909652538618,0.5969808055267646,893,EDFSMode.RANDOM
recommendation_system,0.6920266723346431,0.7912395049186787,0.7,39.0,Completed,9,40,0.0051538831660611,0.739457808048224,239,EDFSMode.RANDOM
recommendation_system,0.693201285429546,0.7878132037019677,0.73,41.0,Completed,15,40,0.0043090015786853,0.7036124294862008,242,EDFSMode.RANDOM
recommendation_system,0.6978587106666814,0.7832044888412856,0.77,75.0,Completed,37,40,0.0040331455804264,0.7438484412350712,240,EDFSMode.RANDOM
recommendation_system,0.707834405932232,0.7808784344811298,0.82,78.0,Completed,53,40,0.0038941289835709,0.7932093738438012,231,EDFSMode.RANDOM
recommendation_system,0.7237380212380211,0.7741239194637788,0.83,65.0,Completed,108,42,0.0040219037418222,0.810427450026714,223,EDFSMode.RANDOM
recommendation_system,0.7352167672638685,0.7715342208430211,0.87,61.0,Completed,108,42,0.0040219037418222,0.7543251129105542,217,EDFSMode.RANDOM
recommendation_system,0.7399503137093714,0.7710135811978814,0.87,99.0,Completed,108,42,0.0017229015649093,0.7149211955953891,217,EDFSMode.RANDOM
recommendation_system,0.7646150491349768,0.7542462829864955,0.92,122.0,Completed,364,40,0.0040219037418222,0.6571286904937104,215,EDFSMode.RANDOM
recommendation_system,0.7658720731093921,0.7495341500629089,0.91,137.0,Completed,364,42,0.0092046626702848,0.6282286493062241,217,EDFSMode.RANDOM
recommendation_system,0.7771729793287765,0.7423529894458237,0.92,183.0,Completed,500,42,0.0011133340394037,0.7743051452286229,214,EDFSMode.RANDOM
recommendation_system,0.7991842266027052,0.7342170072083329,0.93,232.0,Completed,834,40,0.0017229015649093,0.6466647901532124,241,EDFSMode.RANDOM
recommendation_system,0.7998625398353666,0.73341976987304,0.93,236.0,Completed,790,30,0.010028494602662,0.7329151402992493,217,EDFSMode.RANDOM
recommendation_system,0.8163140556437659,0.7194492886736922,0.93,299.0,Completed,829,42,0.0025683113966979,0.6891488857099874,191,EDFSMode.RANDOM
recommendation_system,0.8206044457644701,0.7164520921117976,0.93,301.0,Completed,790,59,0.0126135780161542,0.7448117968214643,198,EDFSMode.RANDOM
recommendation_system,0.8245503803988107,0.715774185279369,0.93,321.0,Completed,1112,59,0.0060118994968029,0.7448117968214643,214,EDFSMode.RANDOM
recommendation_system,0.8265164926547779,0.7138929567575576,0.93,371.0,Completed,1112,59,0.0040219037418222,0.7581935420082169,198,EDFSMode.RANDOM
recommendation_system,0.8280003889695923,0.7079221270551055,0.93,388.0,Completed,1106,61,0.0133582362121796,0.767558196272074,194,EDFSMode.RANDOM
recommendation_system,0.850510465111915,0.6024038917647461,0.92,593.0,Completed,3856,82,0.0684178011110052,0.8332117732279003,192,EDFSMode.RANDOM
