Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.19,31,4129,3335,0.495,0.753
Completed,0.19,33,4579,47,0.133,0.927
Completed,0.19,28,1841,3050,0.842,0.056
Completed,0.19,28,580,1672,0.282,0.617
Completed,0.19,32,3321,3982,0.741,0.491
Completed,0.19,33,3217,1792,0.107,0.818
Completed,0.19,30,3495,667,0.363,0.078
Completed,0.19,29,3872,2465,0.762,0.653
Completed,0.19,27,1201,552,0.58,0.831
Completed,0.19,32,56,2803,0.947,0.934
Completed,0.19,28,2948,1163,0.018,0.144
Completed,0.19,28,4876,4637,0.645,0.612
Completed,0.19,27,2142,1750,0.324,0.34
Completed,0.19,27,4994,1073,0.903,0.799
Completed,0.19,28,2830,4376,0.277,0.456
Completed,0.19,30,97,1660,0.69,0.746
Completed,0.19,30,3751,3235,0.505,0.965
Completed,0.19,31,131,3680,0.66,0.938
Completed,0.19,33,1351,2302,0.214,0.377
Completed,0.19,35,4515,2853,0.518,0.256
Completed,0.19,28,4340,1150,0.844,0.425
Completed,0.19,31,2080,3215,0.178,0.56
Completed,0.19,30,819,2132,0.697,0.123
Completed,0.19,33,3081,4754,0.28,0.987
Completed,0.19,27,2631,519,0.651,0.572
Completed,0.19,27,996,2595,0.326,0.442
Completed,0.19,27,2215,1512,0.798,0.879
Completed,0.19,31,3852,4124,0.224,0.011
Completed,0.19,28,4927,2422,0.397,0.187
Completed,0.19,33,1415,4487,0.563,0.797
Completed,0.19,31,331,3868,0.931,0.196
Completed,0.19,31,2017,1036,0.543,0.139
Completed,0.19,29,59,3234,0.0,0.919
Completed,0.81,82,2108,4989,0.0,0.999
Completed,0.19,28,725,2222,0.999,0.554
Completed,0.19,31,3096,3180,0.0,0.945
Completed,0.19,26,1254,84,0.0,0.001
Completed,0.19,27,4029,1154,0.0,0.522
Completed,0.19,27,4955,539,0.0,0.292
Completed,0.19,28,5000,2828,0.999,0.864
Completed,0.19,28,3136,4862,0.0,0.45
Completed,0.19,28,4401,3086,0.0,0.854
Completed,0.81,81,4697,4338,0.0,0.999
Completed,0.19,29,4107,5000,0.0,0.178
Completed,0.19,27,4978,2251,0.999,0.902
Completed,0.81,88,3617,1509,0.0,0.999
Completed,0.19,29,4891,4906,0.999,0.656
Completed,0.19,28,99,4993,0.0,0.001
Completed,0.19,34,1945,3174,0.0,0.9
Completed,0.19,28,3990,42,0.52,0.346
Completed,0.19,28,578,5000,0.999,0.356
Completed,0.19,29,2944,1,0.999,0.999
Completed,0.19,29,1242,2687,0.0,0.963
Completed,0.19,27,1863,2971,0.999,0.666
Completed,0.19,27,1376,93,0.999,0.357
Completed,0.19,31,2261,4901,0.999,0.08
Completed,0.19,30,4082,1,0.0,0.388
Completed,0.83,66,425,4670,0.0,0.999
Completed,0.19,27,1280,178,0.0,0.746
Completed,0.19,27,3853,97,0.999,0.498
Completed,0.19,30,4629,4689,0.0,0.606
Completed,0.19,28,122,91,0.999,0.754
Completed,0.19,27,80,4302,0.999,0.884
Completed,0.19,28,4039,4985,0.999,0.419
Completed,0.19,28,2937,7,0.999,0.179
Completed,0.19,28,2131,4840,0.999,0.15
Completed,0.19,28,1591,4926,0.999,0.583
Completed,0.19,29,884,3,0.0,0.781
Completed,0.19,28,1192,4840,0.999,0.884
Completed,0.19,35,4102,4900,0.0,0.387
Completed,0.19,28,4608,4887,0.999,0.245
Completed,0.19,27,1379,585,0.0,0.209
Completed,0.19,26,240,164,0.0,0.853
Completed,0.19,28,1149,4919,0.0,0.072
Completed,0.74,73,1,4995,0.221,0.999
Completed,0.19,27,4833,228,0.999,0.778
Completed,0.19,27,1005,285,0.0,0.667
Completed,0.19,31,3384,4843,0.0,0.559
Completed,0.19,31,1208,3249,0.999,0.999
Completed,0.19,27,1045,12,0.999,0.715
Completed,0.19,26,2498,196,0.999,0.292
Completed,0.19,28,4105,4817,0.999,0.722
Completed,0.19,29,1666,274,0.0,0.173
Completed,0.19,26,3173,1251,0.999,0.765
Completed,0.19,29,2312,3759,0.999,0.999
Completed,0.81,74,1,3592,0.0,0.999
Completed,0.19,28,822,54,0.0,0.883
Completed,0.19,28,347,4891,0.0,0.256
Completed,0.19,27,4308,570,0.999,0.999
Completed,0.71,73,4339,1202,0.999,0.999
Completed,0.19,29,2305,4849,0.0,0.825
Completed,0.19,29,1184,2773,0.999,0.001
Completed,0.19,32,3759,4804,0.0,0.937
Completed,0.19,28,4689,819,0.999,0.953
Completed,0.73,62,4896,4156,0.266,0.999
Completed,0.19,31,1126,2964,0.999,0.412
Completed,0.19,29,149,2140,0.0,0.711
Completed,0.61,64,4863,3519,0.468,0.999
Completed,0.19,27,194,3015,0.999,0.801
Completed,0.2,28,4194,944,0.0,0.999
Completed,0.19,27,1299,1676,0.0,0.067
Completed,0.44,56,3731,3925,0.562,0.999
Completed,0.19,28,4742,2901,0.0,0.689
Completed,0.46,46,4181,2916,0.999,0.999
Completed,0.19,27,2036,164,0.0,0.557
Completed,0.19,26,618,57,0.999,0.433
Completed,0.19,27,3418,355,0.999,0.999
Completed,0.19,27,5000,1,0.0,0.999
Completed,0.19,28,214,4110,0.0,0.985
Completed,0.19,27,4766,3445,0.0,0.99
Completed,0.19,27,827,949,0.999,0.616
Completed,0.19,29,4554,4954,0.999,0.816
Completed,0.19,28,3047,534,0.0,0.999
Completed,0.19,29,1853,3805,0.999,0.804
Completed,0.64,54,4241,3231,0.42,0.999
Completed,0.19,27,4953,19,0.999,0.918
Completed,0.19,26,4437,742,0.999,0.999
Completed,0.41,44,1876,3700,0.212,0.999
Completed,0.19,28,245,2754,0.999,0.597
Completed,0.19,28,4462,19,0.0,0.257
Completed,0.19,30,1628,4570,0.0,0.109
Completed,0.19,28,4211,4498,0.999,0.04
Completed,0.19,29,3201,16,0.0,0.111
Completed,0.19,26,433,69,0.999,0.817
Completed,0.19,29,3037,3355,0.999,0.62
Completed,0.19,28,453,3768,0.0,0.339
Completed,0.19,29,853,4969,0.0,0.22
Completed,0.19,28,3882,4628,0.999,0.851
Completed,0.19,29,1727,1838,0.999,0.035
Completed,0.19,28,697,4895,0.0,0.751
Completed,0.19,29,2646,1309,0.0,0.972
Completed,0.19,27,210,8,0.999,0.534
Completed,0.19,29,1186,637,0.0,0.032
Completed,0.19,27,3241,1866,0.999,0.979
Completed,0.19,28,3170,2243,0.999,0.218
Completed,0.19,27,2398,1270,0.999,0.472
Completed,0.19,26,4850,108,0.999,0.116
Completed,0.19,28,1730,4741,0.0,0.038
Completed,0.19,28,829,3801,0.0,0.642
Completed,0.19,28,3802,2703,0.0,0.34
Completed,0.19,28,4232,3075,0.0,0.521
Completed,0.19,27,552,58,0.0,0.599
Completed,0.19,27,4041,1664,0.0,0.583
Completed,0.19,27,1492,4995,0.0,0.128
Completed,0.19,28,3888,2704,0.0,0.157
Completed,0.19,31,441,3807,0.0,0.152
Completed,0.19,26,4412,103,0.0,0.818
Completed,0.19,31,167,2341,0.999,0.513
Completed,0.83,79,1896,2217,0.0,0.999
Completed,0.48,39,4209,4261,0.661,0.999
Completed,0.48,48,924,3890,0.667,0.999
Completed,0.31,37,280,5000,0.628,0.999
Completed,0.2,27,3475,1126,0.0,0.999
Completed,0.19,28,1356,4941,0.999,0.492
Completed,0.19,28,2216,3631,0.963,0.999
