Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.32,11,4306,4866,0.0,0.369
Completed,0.32,11,1,5000,0.999,0.001
Completed,0.5,31,316,3176,0.0,0.757
Completed,0.36,19,4078,92,0.999,0.894
Completed,0.32,14,4382,3526,0.999,0.999
Completed,0.32,11,291,1,0.0,0.288
Completed,0.36,22,1825,128,0.0,0.795
Completed,0.49,31,2646,4983,0.0,0.406
Completed,0.5,31,99,4928,0.0,0.91
Completed,0.42,27,4679,1113,0.0,0.879
Completed,0.32,11,3579,4980,0.999,0.344
Completed,0.32,11,21,4694,0.429,0.073
Completed,0.46,30,4642,1521,0.0,0.704
Completed,0.38,22,1859,4910,0.408,0.522
Completed,0.35,17,524,2869,0.999,0.744
Completed,0.32,12,3429,2117,0.705,0.375
Completed,0.46,29,1725,4999,0.135,0.835
Completed,0.41,24,2409,4907,0.303,0.842
Completed,0.48,28,389,3283,0.05,0.999
Completed,0.32,11,4432,4988,0.0,0.378
Completed,0.32,12,464,4891,0.999,0.527
Completed,0.35,16,1119,2856,0.999,0.566
Completed,0.41,29,302,4982,0.212,0.66
Completed,0.32,11,4670,1957,0.0,0.351
Completed,0.49,32,948,2791,0.0,0.393
Completed,0.35,21,1020,1,0.651,0.646
Completed,0.46,30,2038,2069,0.0,0.905
Completed,0.32,11,3,4968,0.0,0.257
Completed,0.32,11,3560,1,0.999,0.068
Completed,0.42,25,3702,4992,0.212,0.821
Completed,0.48,31,4975,4739,0.0,0.532
Completed,0.38,25,1592,38,0.999,0.856
Completed,0.32,11,149,4064,0.0,0.365
Completed,0.42,31,3731,4958,0.141,0.906
Completed,0.34,18,4173,4852,0.615,0.495
Completed,0.49,27,4500,4262,0.0,0.784
Completed,0.41,24,2702,4977,0.228,0.935
Completed,0.43,33,2806,4884,0.104,0.999
Completed,0.44,28,769,4842,0.195,0.563
Completed,0.32,11,1502,30,0.0,0.081
Completed,0.32,11,205,2382,0.999,0.287
Completed,0.32,11,1018,4526,0.0,0.354
Completed,0.5,36,309,4439,0.0,0.52
Completed,0.46,31,2086,4834,0.081,0.808
Completed,0.32,14,1481,4954,0.999,0.203
Completed,0.5,30,3128,4800,0.0,0.399
Completed,0.48,43,1767,4810,0.0,0.78
Completed,0.32,11,248,2922,0.489,0.307
Completed,0.5,36,2325,3796,0.0,0.756
Completed,0.46,30,4964,2365,0.0,0.805
Completed,0.32,12,2349,4891,0.491,0.309
Completed,0.39,28,2635,4710,0.289,0.56
Completed,0.47,32,1023,4944,0.131,0.75
Completed,0.35,24,4675,1947,0.999,0.562
Completed,0.45,35,3400,1263,0.0,0.798
Completed,0.44,29,3903,4927,0.124,0.57
