Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.55,0,2293,4679,0.438,0.158
Completed,0.55,0,2150,1234,0.685,0.388
Completed,0.55,0,3801,3269,0.399,0.926
Completed,0.55,0,3157,1413,0.979,0.238
Completed,0.55,0,257,4067,0.202,0.698
Completed,0.55,0,1234,760,0.158,0.189
Completed,0.55,0,2884,3724,0.878,0.743
Completed,0.55,0,1,5000,0.999,0.001
Completed,0.55,0,1,1,0.0,0.999
Completed,0.55,0,4608,2523,0.636,0.144
Completed,0.55,0,2675,2153,0.243,0.957
Completed,0.55,0,712,4810,0.965,0.481
Completed,0.55,0,42,1301,0.576,0.34
Completed,0.55,0,3412,4276,0.355,0.847
Completed,0.55,0,4017,1055,0.773,0.038
Completed,0.55,0,1623,1785,0.08,0.024
Completed,0.55,0,13,1823,0.656,0.901
Completed,0.55,0,4992,3813,0.866,0.546
Completed,0.55,0,3059,864,0.254,0.353
Completed,0.55,0,940,3522,0.532,0.829
Completed,0.55,0,436,12,0.923,0.974
Completed,0.55,0,3650,2987,0.148,0.468
Completed,0.55,0,1898,3390,0.061,0.529
Completed,0.55,0,2391,2444,0.813,0.798
Completed,0.55,0,4198,4480,0.098,0.26
Completed,0.55,0,3553,201,0.522,0.578
Completed,0.55,0,497,2857,0.299,0.118
Completed,0.55,0,4345,4082,0.798,0.279
Completed,0.55,1,750,1051,0.007,0.73
Completed,0.55,0,1607,3304,0.603,0.211
Completed,0.55,0,3327,1487,0.343,0.787
Completed,0.55,0,4255,2344,0.722,0.649
Completed,0.55,0,5000,5000,0.468,0.001
Completed,0.55,0,1,2581,0.0,0.001
Completed,0.55,0,1938,5000,0.0,0.999
Completed,0.55,0,55,4770,0.648,0.999
Completed,0.55,0,5000,1382,0.0,0.999
Completed,0.55,0,1,5000,0.0,0.467
Completed,0.55,0,98,1,0.423,0.999
Completed,0.55,0,5000,1027,0.999,0.999
Completed,0.55,0,5000,3857,0.0,0.999
Completed,0.55,0,1,1531,0.0,0.999
Completed,0.55,0,1,1,0.0,0.536
Completed,0.55,0,1,1621,0.999,0.001
Completed,0.55,0,3716,5000,0.0,0.001
Completed,0.55,0,1971,5000,0.0,0.001
Completed,0.55,0,1403,1,0.999,0.999
Completed,0.55,0,2016,5000,0.999,0.001
Completed,0.55,0,1873,4936,0.999,0.999
Completed,0.55,0,5000,1,0.592,0.001
Completed,0.55,0,5000,5000,0.999,0.296
Completed,0.55,0,5000,843,0.656,0.999
Completed,0.55,0,3357,5000,0.0,0.999
Completed,0.55,0,1185,1,0.657,0.001
Completed,0.55,0,5000,1,0.598,0.999
Completed,0.55,0,3933,1,0.179,0.384
Completed,0.55,0,1,3044,0.999,0.001
Completed,0.55,0,4160,5000,0.999,0.999
Completed,0.55,0,1043,1,0.0,0.349
Completed,0.55,0,105,4158,0.0,0.999
Completed,0.55,0,5000,3586,0.999,0.001
Completed,0.55,0,4773,4875,0.585,0.999
Completed,0.55,0,1,1,0.337,0.001
Completed,0.55,0,5000,1,0.999,0.434
Completed,0.55,0,842,5000,0.999,0.315
Completed,0.55,0,5000,5000,0.748,0.001
Completed,0.55,0,800,4610,0.999,0.999
Completed,0.55,0,5000,2794,0.999,0.001
Completed,0.55,0,3245,70,0.999,0.999
Completed,0.55,0,1499,1,0.0,0.001
Completed,0.55,0,4869,27,0.0,0.369
Completed,0.55,0,4982,3787,0.0,0.001
Completed,0.55,0,3712,1,0.999,0.001
Completed,0.55,0,1,4187,0.0,0.001
Completed,0.55,0,1,749,0.0,0.001
Completed,0.55,0,5000,773,0.362,0.999
Completed,0.55,0,422,1398,0.0,0.604
Completed,0.55,0,5000,1086,0.0,0.001
