Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.73,1,237,4508,0.999,0.752
Completed,0.73,1,3058,2495,0.999,0.894
Completed,0.73,1,236,3437,0.999,0.941
Completed,0.73,1,213,174,0.0,0.091
Completed,0.74,2,113,4054,0.0,0.578
Completed,0.74,2,1125,2501,0.0,0.991
Completed,0.73,1,1195,2822,0.999,0.73
Completed,0.73,1,1556,4944,0.999,0.885
Completed,0.73,1,197,2348,0.0,0.001
Completed,0.73,1,4939,2841,0.999,0.939
Completed,0.74,2,40,3485,0.121,0.932
Completed,0.73,1,949,4991,0.999,0.12
Completed,0.73,1,429,2822,0.255,0.589
Completed,0.73,1,4640,2647,0.414,0.934
Completed,0.74,2,720,3735,0.0,0.648
Completed,0.73,2,1221,2455,0.688,0.921
Completed,0.73,1,4833,3805,0.148,0.637
Completed,0.73,1,594,3392,0.0,0.463
Completed,0.73,1,799,4237,0.389,0.63
Completed,0.73,1,31,3363,0.0,0.423
Completed,0.73,1,72,3440,0.236,0.633
Completed,0.74,2,1604,2579,0.375,0.962
Completed,0.74,2,3739,4220,0.0,0.661
Completed,0.73,1,1142,4181,0.0,0.487
Completed,0.73,1,3422,3844,0.512,0.615
Completed,0.74,2,4517,2883,0.0,0.999
Completed,0.73,1,4778,3347,0.0,0.449
Completed,0.73,2,99,2685,0.445,0.955
Completed,0.73,1,30,2943,0.615,0.925
Completed,0.74,2,670,4924,0.0,0.662
Completed,0.73,1,4550,3983,0.287,0.635
Completed,0.74,2,22,2920,0.0,0.999
Completed,0.73,2,4961,2693,0.321,0.97
Completed,0.73,2,120,2613,0.302,0.976
Completed,0.73,1,4431,4533,0.0,0.411
Completed,0.74,2,4788,3224,0.0,0.641
Completed,0.73,1,807,4359,0.0,0.447
Completed,0.73,1,193,4692,0.534,0.633
Completed,0.74,2,4755,3892,0.0,0.703
Completed,0.74,2,595,3432,0.0,0.613
Completed,0.73,1,717,3277,0.412,0.622
Completed,0.73,2,67,3500,0.385,0.952
Completed,0.73,1,162,2846,0.56,0.938
Completed,0.73,1,1306,3605,0.118,0.637
Completed,0.73,2,4972,1373,0.375,0.943
Completed,0.73,1,4109,1437,0.574,0.614
Completed,0.72,1,1053,84,0.994,0.942
Completed,0.73,1,4400,4370,0.603,0.614
Completed,0.73,2,4570,182,0.765,0.916
Completed,0.73,1,4134,293,0.484,0.617
Completed,0.73,1,4182,1950,0.944,0.057
Completed,0.74,2,2701,1682,0.373,0.955
Completed,0.73,2,589,2858,0.999,0.999
Completed,0.73,1,3532,169,0.663,0.92
Completed,0.73,1,2861,414,0.0,0.409
Completed,0.73,1,564,4441,0.914,0.867
Completed,0.73,1,2020,84,0.387,0.605
