Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.52,7,2013,2003,0.0,0.206
Completed,0.52,6,2685,168,0.0,0.462
Completed,0.52,7,197,3314,0.035,0.247
Completed,0.52,7,2004,3512,0.815,0.813
Completed,0.52,7,1,5000,0.146,0.77
Completed,0.52,7,4215,3538,0.0,0.895
Completed,0.52,7,1904,3580,0.252,0.861
Completed,0.52,8,2653,2151,0.054,0.534
Completed,0.52,7,2309,4993,0.092,0.845
Completed,0.52,7,4703,24,0.0,0.312
Completed,0.52,7,627,2427,0.213,0.883
Completed,0.52,7,3524,3759,0.24,0.001
Completed,0.55,11,3991,2692,0.004,0.999
Completed,0.52,10,365,4740,0.133,0.91
Completed,0.54,19,482,4677,0.122,0.998
Completed,0.55,17,326,3562,0.098,0.999
Completed,0.52,8,2585,4691,0.999,0.893
Completed,0.52,10,388,2824,0.075,0.987
Completed,0.52,7,2276,4056,0.147,0.897
Completed,0.52,8,419,3094,0.066,0.923
Completed,0.52,7,85,3098,0.11,0.886
Completed,0.52,8,167,4689,0.649,0.433
Completed,0.52,7,1,5000,0.721,0.6
Completed,0.52,8,1470,4668,0.999,0.463
Completed,0.52,9,820,5000,0.143,0.938
Completed,0.52,7,139,237,0.0,0.87
Completed,0.52,9,85,4106,0.999,0.865
Completed,0.55,19,4976,4345,0.097,0.999
Completed,0.51,13,180,2367,0.0,0.999
Completed,0.52,8,5000,5000,0.999,0.907
Completed,0.52,7,4833,4480,0.152,0.92
Completed,0.52,8,81,4734,0.853,0.577
Completed,0.52,9,641,2643,0.086,0.843
Completed,0.52,9,224,474,0.785,0.49
Completed,0.52,8,4340,4985,0.61,0.605
Completed,0.52,8,305,1985,0.0,0.972
Completed,0.52,10,420,354,0.0,0.596
Completed,0.52,7,4646,4637,0.737,0.514
Completed,0.52,8,1222,4568,0.2,0.283
Completed,0.52,7,176,4937,0.506,0.188
Completed,0.56,15,21,3692,0.041,0.999
Completed,0.52,10,2034,4901,0.093,0.195
Completed,0.52,7,3752,3551,0.097,0.98
Completed,0.52,8,2208,60,0.101,0.979
Completed,0.52,7,4481,2,0.724,0.833
Completed,0.52,7,4928,895,0.414,0.906
Completed,0.52,6,4771,1081,0.071,0.9
Completed,0.52,7,31,2002,0.711,0.714
Completed,0.52,7,867,59,0.999,0.777
Completed,0.52,6,4776,526,0.276,0.91
Completed,0.52,8,4623,1407,0.619,0.902
Completed,0.52,8,3401,224,0.576,0.898
Completed,0.52,7,3536,37,0.645,0.723
Completed,0.52,7,4107,375,0.679,0.912
Completed,0.52,7,4143,115,0.126,0.095
Completed,0.52,7,119,1107,0.467,0.292
Completed,0.52,7,4897,1607,0.0,0.886
Completed,0.52,6,106,67,0.152,0.229
Completed,0.52,7,4644,69,0.0,0.16
Completed,0.52,7,2991,1,0.999,0.864
Completed,0.52,6,332,279,0.302,0.274
Completed,0.52,6,269,977,0.999,0.989
Completed,0.52,7,561,1551,0.603,0.262
Completed,0.52,7,4990,40,0.827,0.89
Completed,0.52,8,4388,18,0.807,0.837
Completed,0.52,7,3679,1002,0.999,0.064
Completed,0.52,6,4718,81,0.195,0.914
Completed,0.52,7,565,3181,0.156,0.991
Completed,0.52,7,4763,499,0.343,0.907
Completed,0.52,7,347,54,0.999,0.2
Completed,0.52,6,951,441,0.337,0.247
Completed,0.52,7,1424,563,0.0,0.1
Completed,0.52,7,111,350,0.416,0.697
Completed,0.52,7,3931,4259,0.0,0.937
Completed,0.52,7,4347,3678,0.0,0.938
Completed,0.52,7,2520,3587,0.0,0.917
Completed,0.52,7,4245,3463,0.0,0.986
Completed,0.52,7,4776,3656,0.0,0.866
Completed,0.52,7,330,3800,0.0,0.947
Completed,0.52,7,1,3986,0.0,0.964
Completed,0.52,8,3197,3593,0.0,0.95
Completed,0.52,7,4954,3167,0.653,0.999
Completed,0.52,6,222,3641,0.0,0.925
Completed,0.52,7,2192,3410,0.999,0.999
Completed,0.52,8,2195,3650,0.446,0.999
Completed,0.52,7,5000,2856,0.999,0.961
Completed,0.52,7,1,3781,0.0,0.958
Completed,0.52,7,5,3942,0.0,0.892
Completed,0.52,8,5000,3759,0.0,0.99
Completed,0.56,14,4140,3715,0.0,0.999
Completed,0.52,7,2306,3349,0.0,0.319
Completed,0.52,7,579,3853,0.0,0.977
Completed,0.52,8,4798,3335,0.376,0.926
Completed,0.52,7,4816,3705,0.999,0.001
Completed,0.52,7,395,3668,0.373,0.935
Completed,0.52,6,4864,1,0.391,0.234
Completed,0.52,6,4809,1855,0.0,0.001
Completed,0.52,7,4903,3451,0.0,0.916
Completed,0.52,8,1269,3549,0.592,0.999
Completed,0.52,7,4973,3869,0.0,0.962
Completed,0.52,7,4931,55,0.0,0.921
Completed,0.52,7,4051,2925,0.999,0.999
Completed,0.52,6,4558,2167,0.0,0.33
Completed,0.52,7,4061,4644,0.591,0.977
Completed,0.52,7,672,4907,0.0,0.979
Completed,0.52,7,486,4925,0.0,0.968
Completed,0.52,7,3411,4627,0.333,0.974
Completed,0.52,7,2464,4808,0.0,0.484
Completed,0.52,7,775,4921,0.741,0.978
Completed,0.52,7,1209,4884,0.999,0.366
Completed,0.52,7,802,4199,0.221,0.973
Completed,0.52,7,4758,2987,0.579,0.978
Completed,0.52,7,4442,4670,0.586,0.373
