Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.91,0,5000,4958,0.646,0.999
Completed,0.91,0,4831,46,0.249,0.001
Completed,0.91,0,3123,2582,0.0,0.999
Completed,0.91,0,839,5000,0.0,0.999
Completed,0.91,0,1327,5000,0.999,0.999
Completed,0.91,0,1874,5000,0.829,0.001
Completed,0.91,0,1,5000,0.468,0.253
Completed,0.91,0,4072,1,0.0,0.999
Completed,0.91,0,1,2338,0.0,0.999
Completed,0.91,0,5000,3030,0.481,0.324
Completed,0.91,0,1,2591,0.0,0.001
Completed,0.91,0,1,4923,0.88,0.999
Completed,0.91,0,2832,1,0.999,0.999
Completed,0.91,0,4945,368,0.731,0.999
Completed,0.91,0,3179,4903,0.752,0.863
Completed,0.91,0,4143,4966,0.999,0.001
Completed,0.91,0,5000,4831,0.0,0.001
Completed,0.91,0,72,4044,0.0,0.001
Completed,0.91,0,4994,2418,0.0,0.413
Completed,0.91,0,3902,4933,0.0,0.001
Completed,0.91,0,2909,4968,0.459,0.423
Completed,0.91,0,1552,1,0.999,0.999
Completed,0.91,0,5000,510,0.0,0.999
Completed,0.91,0,3787,3074,0.0,0.323
Completed,0.91,0,1,1,0.317,0.999
Completed,0.91,0,4980,2765,0.999,0.417
Completed,0.91,0,1223,1092,0.0,0.999
Completed,0.91,0,5000,1,0.0,0.792
Completed,0.91,0,429,55,0.497,0.224
Completed,0.91,0,52,92,0.999,0.999
Completed,0.91,0,1,1,0.999,0.486
Completed,0.91,0,1,5000,0.139,0.001
Completed,0.91,0,1,2783,0.195,0.423
Completed,0.91,0,1,1,0.841,0.377
Completed,0.91,0,4100,4881,0.785,0.999
Completed,0.91,0,29,1,0.999,0.802
Completed,0.91,0,1,4750,0.46,0.001
Completed,0.91,0,2974,4372,0.0,0.246
Completed,0.91,0,47,3557,0.496,0.001
Completed,0.91,0,2536,4705,0.0,0.45
Completed,0.91,0,2348,1,0.999,0.632
Completed,0.91,0,2300,5000,0.476,0.001
Completed,0.91,0,1,1,0.999,0.673
Completed,0.91,0,1,2128,0.397,0.001
Completed,0.91,0,116,5000,0.0,0.999
Completed,0.91,0,5000,3260,0.0,0.999
Completed,0.91,0,4248,1,0.0,0.001
Completed,0.91,0,5000,2015,0.999,0.999
Completed,0.91,0,3461,1,0.369,0.999
Completed,0.91,0,1112,1,0.0,0.001
Completed,0.91,0,4747,118,0.341,0.999
Completed,0.91,0,1,1132,0.0,0.001
Completed,0.91,0,5000,4298,0.0,0.777
Completed,0.91,0,4971,4498,0.999,0.001
Completed,0.91,0,2928,4983,0.999,0.001
Completed,0.91,0,61,4976,0.999,0.999
Completed,0.91,0,1842,1,0.615,0.001
Completed,0.91,0,1,4470,0.999,0.001
Completed,0.91,0,5000,3867,0.999,0.001
Completed,0.91,0,5000,16,0.0,0.999
Completed,0.91,0,4414,61,0.714,0.999
Completed,0.91,0,1,1877,0.0,0.001
Completed,0.91,0,5000,666,0.0,0.001
Completed,0.91,0,951,1985,0.387,0.999
Completed,0.91,0,29,56,0.0,0.999
Completed,0.91,0,1080,4906,0.999,0.429
Completed,0.91,0,3161,5000,0.496,0.001
Completed,0.91,0,3704,4664,0.0,0.001
Completed,0.91,0,4878,4810,0.999,0.832
Completed,0.91,0,4788,15,0.429,0.283
Completed,0.91,0,4666,5000,0.0,0.999
Completed,0.91,0,1834,1,0.0,0.001
Completed,0.91,0,5000,4414,0.0,0.001
Completed,0.91,0,3507,2420,0.999,0.999
Completed,0.91,0,200,28,0.0,0.001
Completed,0.91,0,1429,4064,0.999,0.259
Completed,0.91,0,786,1,0.999,0.192
Completed,0.91,0,2502,1,0.342,0.999
Completed,0.91,0,4938,967,0.999,0.273
Completed,0.91,0,4169,5000,0.576,0.001
Completed,0.91,0,1041,756,0.999,0.001
Completed,0.91,0,5000,5000,0.0,0.921
Completed,0.91,0,3609,1,0.999,0.001
Completed,0.91,0,4961,1,0.269,0.999
Completed,0.91,0,1,1031,0.0,0.999
Completed,0.91,0,5000,3958,0.0,0.999
Completed,0.91,0,1,4638,0.0,0.56
Completed,0.91,0,5000,1,0.0,0.296
Completed,0.91,0,146,5000,0.0,0.001
Completed,0.91,0,5000,4212,0.999,0.999
Completed,0.91,0,4925,1,0.999,0.001
Completed,0.91,0,580,5000,0.334,0.999
Completed,0.91,0,1467,4921,0.0,0.509
Completed,0.91,0,68,2405,0.999,0.609
Completed,0.91,0,5000,2855,0.999,0.999
Completed,0.91,0,7,3813,0.999,0.594
Completed,0.91,0,3120,4486,0.999,0.001
Completed,0.91,0,2267,5000,0.0,0.999
Completed,0.91,0,792,1,0.999,0.001
Completed,0.91,0,1,3759,0.999,0.999
Completed,0.91,0,3923,1,0.999,0.999
Completed,0.91,0,5000,2112,0.323,0.25
Completed,0.91,0,1807,1,0.999,0.999
Completed,0.91,0,2286,5000,0.999,0.237
Completed,0.91,0,4957,1658,0.653,0.001
Completed,0.91,0,4923,2251,0.576,0.001
Completed,0.91,0,4948,498,0.999,0.409
Completed,0.91,0,4762,5000,0.0,0.999
Completed,0.91,0,93,2084,0.249,0.999
Completed,0.91,0,1462,4986,0.126,0.001
Completed,0.91,0,1,5000,0.744,0.001
Completed,0.91,0,1,1,0.489,0.551
Completed,0.91,0,1,2885,0.683,0.383
Completed,0.91,0,5000,5000,0.722,0.001
Completed,0.91,0,5000,4930,0.278,0.999
Completed,0.91,0,5000,1,0.764,0.999
Completed,0.91,0,4960,5000,0.999,0.001
Completed,0.91,0,5000,1,0.179,0.001
Completed,0.91,0,1,5000,0.999,0.587
Completed,0.91,0,1,1645,0.999,0.999
Completed,0.91,0,1,1678,0.716,0.999
Completed,0.91,0,2321,4964,0.232,0.238
Completed,0.91,0,5000,5000,0.417,0.354
Completed,0.91,0,4750,4843,0.399,0.667
Completed,0.91,0,3464,112,0.999,0.821
Completed,0.91,0,16,2730,0.242,0.66
Completed,0.91,0,1653,1698,0.999,0.999
Completed,0.91,0,1606,4889,0.435,0.692
Completed,0.91,0,2012,67,0.585,0.969
Completed,0.91,0,1447,5000,0.0,0.001
Completed,0.91,0,593,1658,0.611,0.999
Completed,0.91,0,5000,488,0.999,0.999
Completed,0.91,0,4900,240,0.584,0.001
Completed,0.91,0,3504,5000,0.999,0.999
Completed,0.91,0,2745,4746,0.595,0.999
Completed,0.91,0,16,3143,0.999,0.001
Completed,0.91,0,223,4730,0.646,0.999
Completed,0.91,0,832,4946,0.999,0.806
Completed,0.91,0,244,4971,0.694,0.594
Completed,0.91,0,1,5000,0.999,0.67
Completed,0.91,0,5000,5000,0.819,0.999
Completed,0.91,0,1,4629,0.999,0.999
Completed,0.91,0,100,2128,0.0,0.356
Completed,0.91,0,5000,2582,0.0,0.999
Completed,0.91,0,1847,1856,0.0,0.999
Completed,0.91,0,2885,37,0.317,0.008
Completed,0.91,0,5000,2247,0.0,0.001
Completed,0.91,0,3385,89,0.736,0.999
Completed,0.91,0,4251,5000,0.0,0.001
Completed,0.91,0,3138,23,0.0,0.601
Completed,0.91,0,247,4954,0.601,0.999
Completed,0.91,0,4905,4757,0.213,0.001
Completed,0.91,0,3640,4977,0.456,0.999
Completed,0.91,0,2077,1,0.475,0.059
Completed,0.91,0,800,185,0.271,0.999
Completed,0.91,0,1,3715,0.0,0.734
Completed,0.91,0,4950,239,0.528,0.999
Completed,0.91,0,246,44,0.0,0.338
Completed,0.91,0,47,2441,0.999,0.286
Completed,0.91,0,69,4812,0.0,0.217
Completed,0.91,0,1,4985,0.0,0.001
Completed,0.91,0,736,327,0.0,0.999
Completed,0.91,0,1656,3564,0.0,0.001
Completed,0.91,0,2695,149,0.818,0.555
Completed,0.91,0,1,5000,0.999,0.105
Completed,0.91,0,4519,5000,0.0,0.406
Completed,0.91,0,5000,1493,0.999,0.999
Completed,0.91,0,1,862,0.999,0.001
Completed,0.91,0,4989,4990,0.999,0.573
Completed,0.91,0,5000,826,0.0,0.001
Completed,0.91,0,3160,4910,0.0,0.001
Completed,0.91,0,4973,4879,0.572,0.001
Completed,0.91,0,1,5000,0.292,0.999
Completed,0.91,0,1466,5000,0.0,0.999
Completed,0.91,0,5000,1048,0.999,0.001
Completed,0.91,0,4968,2972,0.469,0.665
Completed,0.91,0,1,3,0.0,0.999
Completed,0.91,0,1919,3007,0.0,0.999
Completed,0.91,0,1433,1763,0.999,0.682
Completed,0.91,0,5000,217,0.999,0.81
Completed,0.91,0,5000,2727,0.999,0.001
Completed,0.91,0,4071,3091,0.0,0.672
Completed,0.91,0,1661,5000,0.999,0.999
Completed,0.91,0,1052,477,0.0,0.646
Completed,0.91,0,632,5000,0.0,0.001
Completed,0.91,0,134,15,0.736,0.999
Completed,0.91,0,2902,5000,0.999,0.454
Completed,0.91,0,3619,5000,0.0,0.999
Completed,0.91,0,316,5000,0.999,0.001
Completed,0.91,0,38,230,0.999,0.133
Completed,0.91,0,3526,564,0.999,0.385
Completed,0.91,0,1,4228,0.999,0.001
Completed,0.91,0,4992,3506,0.184,0.001
Completed,0.91,0,3619,4857,0.999,0.001
Completed,0.91,0,2869,37,0.747,0.465
Completed,0.91,0,1,3019,0.0,0.001
Completed,0.91,0,3018,42,0.774,0.001
Completed,0.91,0,3853,900,0.0,0.999
Completed,0.91,0,1875,4846,0.999,0.001
Completed,0.91,0,4814,4950,0.799,0.529
Completed,0.91,0,1,2137,0.999,0.001
Completed,0.91,0,4869,237,0.61,0.999
Completed,0.91,0,3335,4781,0.685,0.001
Completed,0.91,0,3071,1613,0.552,0.001
Completed,0.91,0,2885,4931,0.0,0.467
Completed,0.91,0,40,4846,0.671,0.8
Completed,0.91,0,2562,1,0.552,0.635
Completed,0.91,0,4960,1038,0.586,0.389
Completed,0.91,0,65,598,0.999,0.001
Completed,0.91,0,1,1,0.298,0.656
Completed,0.91,0,15,2353,0.999,0.999
Completed,0.91,0,4824,4877,0.658,0.535
Completed,0.91,0,12,4633,0.448,0.633
Completed,0.91,0,4901,5000,0.999,0.414
Completed,0.91,0,4770,2724,0.416,0.001
Completed,0.91,0,4932,4491,0.461,0.999
Completed,0.91,0,5000,4502,0.999,0.999
Completed,0.91,0,1369,4174,0.638,0.466
Completed,0.91,0,4984,3386,0.0,0.451
Completed,0.91,0,4904,4935,0.801,0.001
Completed,0.86,0,972,31,0.0,0.999
Completed,0.91,0,4921,3252,0.999,0.229
Completed,0.91,0,5000,1,0.0,0.196
Completed,0.91,0,5000,3815,0.999,0.472
Completed,0.91,0,5000,277,0.999,0.001
Completed,0.91,0,2447,2241,0.784,0.999
Completed,0.91,0,5000,1331,0.999,0.527
Completed,0.91,0,693,5000,0.571,0.222
Completed,0.91,0,4917,1478,0.42,0.001
Completed,0.91,0,6,2573,0.726,0.001
Completed,0.91,0,4791,4052,0.557,0.039
Completed,0.91,0,4997,1087,0.199,0.001
Completed,0.91,0,1682,1,0.999,0.001
Completed,0.91,0,5000,5000,0.706,0.78
Completed,0.91,0,5000,3266,0.334,0.999
Completed,0.91,0,1446,3971,0.99,0.999
Completed,0.91,0,4852,1351,0.766,0.853
Completed,0.91,0,5000,4128,0.692,0.341
Completed,0.91,0,5000,3825,0.999,0.249
Completed,0.91,0,5000,3836,0.315,0.775
Completed,0.91,0,5000,2122,0.675,0.148
Completed,0.91,0,1154,2183,0.999,0.408
Completed,0.91,0,22,25,0.623,0.224
Completed,0.91,0,374,2948,0.0,0.999
Completed,0.91,0,4936,1551,0.885,0.001
Completed,0.91,0,5000,1,0.813,0.341
Completed,0.91,0,4714,3790,0.299,0.368
Completed,0.91,0,4830,4304,0.206,0.475
Completed,0.91,0,5000,5000,0.254,0.38
Completed,0.91,0,4769,2191,0.999,0.001
Completed,0.91,0,4837,2755,0.999,0.855
Completed,0.91,0,2208,1303,0.691,0.001
Completed,0.91,0,4992,4925,0.999,0.821
Completed,0.91,0,5000,1,0.999,0.132
Completed,0.91,0,2393,3751,0.62,0.001
Completed,0.91,0,5000,5000,0.164,0.001
Completed,0.91,0,1,4052,0.795,0.001
Completed,0.91,0,88,3231,0.334,0.999
Completed,0.91,0,489,4847,0.343,0.67
Completed,0.91,0,99,3903,0.999,0.759
Completed,0.91,0,4981,1435,0.999,0.321
Completed,0.91,0,1200,1938,0.999,0.001
Completed,0.91,0,5000,823,0.718,0.001
Completed,0.91,0,76,1445,0.999,0.001
Completed,0.91,0,1223,2952,0.718,0.001
Completed,0.91,0,4147,2105,0.821,0.001
Completed,0.91,0,1686,154,0.514,0.392
Completed,0.91,0,1394,3033,0.999,0.001
Completed,0.91,0,5000,3123,0.697,0.001
Completed,0.91,0,807,201,0.163,0.999
Completed,0.91,0,102,4540,0.589,0.424
Completed,0.91,0,4684,1529,0.544,0.603
Completed,0.91,0,2283,3025,0.288,0.001
Completed,0.91,0,2468,2596,0.994,0.999
Completed,0.91,0,4761,3148,0.643,0.995
Completed,0.91,0,341,1601,0.924,0.32
Completed,0.91,0,131,133,0.656,0.001
Completed,0.91,0,3699,3618,0.999,0.999
Completed,0.91,0,3342,1197,0.33,0.001
Completed,0.91,0,5000,4016,0.701,0.532
Completed,0.91,0,5000,5000,0.0,0.81
Completed,0.91,0,1,1,0.878,0.001
Completed,0.91,0,197,4362,0.229,0.001
Completed,0.91,0,3131,2097,0.999,0.999
Completed,0.91,0,3114,3021,0.0,0.001
Completed,0.91,0,7,3475,0.194,0.001
Completed,0.91,0,3947,4964,0.394,0.755
Completed,0.91,0,3059,2691,0.999,0.505
Completed,0.91,0,1353,4791,0.39,0.001
Completed,0.91,0,5000,778,0.356,0.348
Completed,0.91,0,2474,4903,0.999,0.999
Completed,0.91,0,4992,1250,0.716,0.999
Completed,0.91,0,3099,4934,0.774,0.595
Completed,0.91,0,973,130,0.266,0.999
Completed,0.91,0,644,2372,0.999,0.999
Completed,0.91,0,1828,2395,0.999,0.396
Completed,0.91,0,3695,4802,0.664,0.361
Completed,0.91,0,5000,4272,0.0,0.313
Completed,0.91,0,4720,42,0.821,0.651
Completed,0.91,0,2433,1535,0.999,0.021
Completed,0.91,0,368,2268,0.999,0.822
Completed,0.91,0,5000,4031,0.0,0.001
Completed,0.91,0,5000,1,0.999,0.094
Completed,0.91,0,4837,3525,0.765,0.619
Completed,0.91,0,3818,762,0.349,0.615
Completed,0.91,0,1651,4776,0.0,0.342
Completed,0.91,0,1212,3047,0.299,0.151
Completed,0.91,0,945,5000,0.671,0.999
Completed,0.91,0,533,3155,0.541,0.001
Completed,0.91,0,4674,4904,0.595,0.221
Completed,0.91,0,2543,3150,0.0,0.997
Completed,0.91,0,4821,5000,0.0,0.121
Completed,0.91,0,4987,3821,0.436,0.507
Completed,0.91,0,5000,1536,0.999,0.001
Completed,0.91,0,4607,4991,0.15,0.307
Completed,0.91,0,1867,4964,0.999,0.633
Completed,0.91,0,2865,3890,0.0,0.001
Completed,0.91,0,4940,4950,0.464,0.572
Completed,0.91,0,1648,4972,0.253,0.816
Completed,0.91,0,3363,2872,0.999,0.291
Completed,0.91,0,3655,1789,0.999,0.001
Completed,0.91,0,1382,4788,0.152,0.999
Completed,0.91,0,5000,1498,0.242,0.001
Completed,0.91,0,4931,1591,0.999,0.69
Completed,0.91,0,4984,3030,0.999,0.43
Completed,0.91,0,5000,1,0.344,0.391
Completed,0.91,0,65,96,0.435,0.001
Completed,0.91,0,66,1873,0.999,0.587
Completed,0.91,0,2516,3163,0.0,0.875
Completed,0.91,0,480,1466,0.722,0.001
Completed,0.91,0,4895,2160,0.0,0.634
Completed,0.91,0,4584,778,0.0,0.999
Completed,0.91,0,5000,3530,0.671,0.264
Completed,0.91,0,3070,3783,0.899,0.5
Completed,0.91,0,1331,3571,0.941,0.063
Completed,0.91,0,4745,4521,0.535,0.437
Completed,0.91,0,233,3176,0.43,0.383
Completed,0.91,0,1,5000,0.609,0.001
Completed,0.91,0,1,488,0.999,0.57
Completed,0.91,0,4825,4734,0.488,0.001
Completed,0.91,0,5000,5000,0.0,0.646
Completed,0.91,0,3518,1850,0.614,0.961
Completed,0.91,0,15,4545,0.423,0.243
Completed,0.91,0,2039,1093,0.755,0.537
Completed,0.91,0,4308,2538,0.191,0.256
Completed,0.91,0,4847,175,0.253,0.375
Completed,0.91,0,1503,3730,0.693,0.657
Completed,0.91,0,712,1909,0.111,0.123
Completed,0.91,0,2827,4213,0.926,0.841
Completed,0.91,0,2611,762,0.016,0.737
Completed,0.91,0,967,2831,0.957,0.456
Completed,0.91,0,1756,1556,0.346,0.765
Completed,0.91,0,4634,4878,0.663,0.047
Completed,0.91,0,3938,2203,0.851,0.167
Completed,0.91,0,2448,3880,0.159,0.885
Completed,0.91,0,427,506,0.52,0.335
Completed,0.91,0,3146,3438,0.453,0.617
Completed,0.91,0,3354,408,0.977,0.074
Completed,0.91,0,615,3184,0.043,0.853
Completed,0.91,0,2342,2456,0.651,0.429
Completed,0.91,0,3813,3978,0.342,0.648
Completed,0.91,0,4524,1302,0.155,0.518
Completed,0.91,0,1627,4780,0.839,0.299
Completed,0.91,0,1169,859,0.48,0.983
Completed,0.91,0,2794,3084,0.54,0.203
Completed,0.91,0,3010,2124,0.388,0.344
Completed,0.91,0,914,4271,0.57,0.563
Completed,0.91,0,1375,116,0.249,0.154
Completed,0.91,0,4738,3515,0.807,0.934
Completed,0.91,0,4183,1152,0.744,0.805
Completed,0.91,0,1933,2753,0.311,0.024
Completed,0.91,0,204,1635,0.882,0.693
Completed,0.91,0,3726,4487,0.076,0.474
Completed,0.91,0,3617,1006,0.369,0.216
Completed,0.91,0,273,2606,0.686,0.995
Completed,0.91,0,1982,1761,0.009,0.283
Completed,0.91,0,4097,4614,0.95,0.501
Completed,0.91,0,4787,1977,0.513,0.629
Completed,0.91,0,1285,4125,0.446,0.411
Completed,0.91,0,809,243,0.874,0.868
Completed,0.91,0,3078,3642,0.182,0.089
Completed,0.91,0,2669,1468,0.779,0.491
Completed,0.91,0,1178,4947,0.215,0.709
Completed,0.91,0,1657,674,0.605,0.012
Completed,0.91,0,4376,2899,0.415,0.792
Completed,0.91,0,3841,575,0.103,0.919
Completed,0.91,0,2198,3350,0.918,0.14
Completed,0.91,0,486,2270,0.277,0.581
Completed,0.91,0,3364,3792,0.716,0.364
Completed,0.91,0,3255,2368,0.226,0.826
Completed,0.91,0,358,4046,0.783,0.109
Completed,0.91,0,2400,321,0.396,0.675
Completed,0.91,0,4024,3252,0.578,0.394
Completed,0.91,0,4584,928,0.89,0.273
Completed,0.91,0,1846,2996,0.084,0.553
Completed,0.91,0,1073,1370,0.721,0.231
Completed,0.91,0,2543,4693,0.288,0.948
Completed,0.91,0,2952,29,0.628,0.598
Completed,0.91,0,703,3583,0.319,0.317
Completed,0.91,0,1473,2036,0.985,0.899
Completed,0.91,0,4995,4340,0.051,0.182
Completed,0.91,0,4279,1703,0.488,0.06
Completed,0.91,0,2184,4399,0.548,0.777
Completed,0.91,0,144,1220,0.131,0.439
Completed,0.91,0,3507,2665,0.815,0.719
Completed,0.91,0,3477,307,0.17,0.328
Completed,0.91,0,102,3627,0.851,0.609
Completed,0.91,0,2143,2011,0.467,0.175
Completed,0.91,0,4247,4081,0.525,0.892
Completed,0.91,0,4957,1758,0.963,0.772
Completed,0.91,0,1428,4686,0.03,0.055
Completed,0.91,0,655,951,0.664,0.728
Completed,0.91,0,2917,2632,0.357,0.448
Completed,0.91,0,2506,2342,0.696,0.1
Completed,0.91,0,1027,3789,0.262,0.817
Completed,0.91,0,1798,600,0.932,0.399
Completed,0.91,0,4548,3294,0.124,0.68
Completed,0.91,0,3994,657,0.436,0.559
Completed,0.91,0,2357,2964,0.62,0.28
Completed,0.91,0,318,1426,0.199,0.937
Completed,0.91,0,3221,4979,0.759,0.22
Completed,0.91,0,3404,1368,0.297,0.716
Completed,0.91,0,520,4764,0.739,0.498
Completed,0.91,0,2228,872,0.065,0.781
Completed,0.91,0,3885,3023,0.882,0.002
Completed,0.91,0,4423,386,0.57,0.131
Completed,0.91,0,1693,3236,0.377,0.91
Completed,0.91,0,1216,2401,0.801,0.368
Completed,0.91,0,2714,4004,0.235,0.586
Completed,0.91,0,3125,1205,0.832,0.991
Completed,0.91,0,844,2729,0.142,0.211
Completed,0.91,0,1323,1660,0.537,0.51
Completed,0.91,0,4832,4432,0.472,0.292
Completed,0.91,0,4137,2109,0.035,0.422
Completed,0.91,0,2014,4335,0.974,0.64
Completed,0.91,0,304,53,0.329,0.082
Completed,0.91,0,3659,3529,0.645,0.861
Completed,0.91,0,3688,1923,0.908,0.574
Completed,0.91,0,159,4150,0.1,0.355
Completed,0.91,0,1885,219,0.704,0.928
Completed,0.91,0,4148,3695,0.27,0.148
Completed,0.91,0,4707,1020,0.207,0.02
Completed,0.91,0,1332,2543,0.767,0.8
Completed,0.91,0,873,1825,0.412,0.483
Completed,0.91,0,2977,4599,0.596,0.702
Completed,0.91,0,2764,513,0.444,0.845
Completed,0.91,0,1126,3363,0.502,0.065
Completed,0.91,0,1587,2254,0.177,0.653
Completed,0.91,0,4491,3858,0.859,0.434
Completed,0.91,0,3775,1494,0.671,0.306
Completed,0.91,0,2297,4891,0.364,0.525
Completed,0.91,0,568,726,0.939,0.192
Completed,0.91,0,3318,2876,0.007,0.973
Completed,0.91,0,3193,785,0.56,0.462
Completed,0.91,0,462,3091,0.496,0.743
Completed,0.91,0,2485,1279,0.824,0.036
Completed,0.91,0,3984,4832,0.134,0.754
Completed,0.91,0,4673,2469,0.321,0.876
