Status,ACCURACY,RUNTIME,recent_samples_size,batch_size,theta,lambida
Completed,0.58,35,2596,3389,0.2,0.507
Completed,0.58,35,4124,707,0.675,0.296
Completed,0.58,35,611,4553,0.529,0.054
Completed,0.58,35,4078,2972,0.426,0.503
Completed,0.58,34,1416,1607,0.806,0.4
Completed,0.71,146,1392,2958,0.007,0.762
Completed,0.58,35,4375,1826,0.634,0.148
Completed,0.58,38,1393,4801,0.26,0.409
Completed,0.58,36,2085,2260,0.125,0.254
Completed,0.58,38,4459,4070,0.728,0.785
Completed,0.58,34,2717,1112,0.409,0.182
Completed,0.58,38,116,3029,0.803,0.653
Completed,0.58,34,301,1032,0.229,0.47
Completed,0.58,39,2532,2953,0.623,0.943
Completed,0.58,35,4664,2493,0.304,0.088
Completed,0.58,35,1879,4306,0.908,0.625
Completed,0.58,36,1519,1759,0.709,0.716
Completed,0.71,162,2847,1465,0.133,0.517
Completed,0.58,39,4979,3170,0.938,0.39
Completed,0.58,33,2190,33,0.332,0.914
Completed,0.71,148,1835,2654,0.033,0.759
Completed,0.58,35,3940,1683,0.905,0.879
Completed,0.58,35,3260,3722,0.209,0.028
Completed,0.71,122,784,576,0.566,0.559
Completed,0.7,117,1099,3763,0.177,0.979
Completed,0.58,36,3570,1940,0.532,0.45
Completed,0.58,35,4250,2734,0.353,0.58
Completed,0.58,35,3678,3995,0.497,0.672
Completed,0.58,34,991,2176,0.851,0.149
Completed,0.58,35,676,3492,0.404,0.314
Completed,0.7,114,3368,339,0.761,0.851
Completed,0.58,34,1700,380,0.596,0.247
Completed,0.71,144,3769,1554,0.0,0.553
Completed,0.71,160,540,2632,0.346,0.999
Completed,0.68,93,183,1908,0.28,0.71
Completed,0.58,39,3257,2673,0.033,0.001
Completed,0.7,155,4815,3829,0.369,0.999
Completed,0.58,39,976,2295,0.503,0.001
Completed,0.7,130,257,4579,0.811,0.999
Completed,0.58,36,2722,2662,0.0,0.482
Completed,0.7,165,4745,9,0.286,0.517
Completed,0.7,180,4852,400,0.712,0.59
Completed,0.58,35,4628,2126,0.112,0.001
Completed,0.58,45,5000,5000,0.563,0.401
Completed,0.71,181,4926,1546,0.016,0.606
Completed,0.58,33,110,68,0.296,0.643
Completed,0.7,113,4977,1,0.737,0.625
Completed,0.58,37,5000,1,0.554,0.458
Completed,0.7,123,1036,4760,0.399,0.999
Completed,0.58,35,3972,1428,0.604,0.001
Completed,0.58,36,997,2905,0.089,0.001
Completed,0.58,36,4462,4900,0.301,0.873
Completed,0.58,34,169,2363,0.302,0.857
Completed,0.58,42,750,4463,0.635,0.529
Completed,0.7,130,4539,3766,0.846,0.999
Completed,0.7,140,4364,3021,0.407,0.999
Completed,0.58,35,115,4942,0.124,0.859
Completed,0.58,36,1,3327,0.011,0.001
Completed,0.7,119,4266,146,0.0,0.699
Completed,0.7,110,1717,768,0.434,0.827
Completed,0.58,34,971,31,0.385,0.946
Completed,0.58,34,4014,1039,0.999,0.527
Completed,0.58,34,837,1552,0.411,0.543
Completed,0.58,37,4243,4857,0.64,0.744
Completed,0.71,151,1842,1476,0.0,0.686
Completed,0.68,93,4256,1051,0.508,0.807
Completed,0.71,134,4725,1218,0.0,0.964
Completed,0.58,34,638,2741,0.402,0.551
Completed,0.7,125,745,1168,0.409,0.539
Completed,0.7,137,2922,219,0.11,0.679
Completed,0.58,34,2683,226,0.59,0.341
Completed,0.71,143,4461,3796,0.0,0.694
Completed,0.71,127,1594,202,0.0,0.707
Completed,0.58,35,4173,4842,0.694,0.707
Completed,0.7,135,3148,32,0.999,0.823
Completed,0.58,34,1776,136,0.0,0.357
Completed,0.58,34,54,43,0.353,0.841
Completed,0.58,33,3717,556,0.208,0.409
Completed,0.58,35,315,4645,0.926,0.12
Completed,0.58,33,1272,923,0.999,0.611
Completed,0.58,37,4119,3774,0.475,0.827
Completed,0.58,35,4959,4562,0.56,0.168
Completed,0.58,33,4998,248,0.999,0.353
Completed,0.58,34,750,87,0.555,0.379
Completed,0.58,35,1700,4079,0.065,0.356
Completed,0.58,34,1396,129,0.0,0.383
Completed,0.58,35,4824,4338,0.102,0.126
Completed,0.58,35,3080,761,0.999,0.805
Completed,0.58,36,3155,4255,0.999,0.268
Completed,0.71,117,4662,136,0.449,0.763
Completed,0.58,35,1,5000,0.999,0.914
Completed,0.58,32,3152,600,0.999,0.233
Completed,0.58,36,303,4603,0.999,0.491
Completed,0.58,36,866,59,0.999,0.447
Completed,0.58,34,4758,279,0.999,0.001
Completed,0.58,35,5000,5000,0.0,0.001
Completed,0.58,38,371,4479,0.999,0.748
Completed,0.58,37,12,2541,0.999,0.287
Completed,0.58,34,4304,19,0.532,0.876
Completed,0.58,38,692,4997,0.838,0.315
Completed,0.71,152,4896,4937,0.0,0.565
Completed,0.58,34,3769,1986,0.387,0.718
Completed,0.7,122,4944,750,0.34,0.736
Completed,0.7,127,4942,302,0.639,0.762
Completed,0.7,130,4782,1812,0.141,0.756
Completed,0.58,34,314,4783,0.999,0.406
Completed,0.58,37,4566,4843,0.999,0.216
Completed,0.58,35,32,4941,0.999,0.859
Completed,0.58,35,1,5000,0.0,0.137
Completed,0.58,34,4731,260,0.72,0.158
Completed,0.58,36,1201,570,0.0,0.192
Completed,0.58,35,3907,5000,0.999,0.699
Completed,0.58,38,4285,4870,0.24,0.744
Completed,0.58,35,611,4705,0.358,0.639
Completed,0.58,34,980,4870,0.0,0.45
Completed,0.58,37,154,4760,0.999,0.318
Completed,0.58,37,764,5000,0.999,0.953
Completed,0.71,147,5000,1354,0.0,0.999
Completed,0.71,130,3554,183,0.0,0.791
Completed,0.58,37,238,4836,0.31,0.497
Completed,0.58,34,450,1098,0.999,0.93
Completed,0.7,130,3588,158,0.0,0.906
Completed,0.58,39,136,152,0.331,0.264
Completed,0.58,35,1013,4941,0.325,0.119
Completed,0.58,36,1397,4869,0.396,0.22
Completed,0.7,121,421,366,0.079,0.896
Completed,0.7,138,1091,210,0.0,0.827
Completed,0.58,35,4400,4930,0.718,0.078
Completed,0.58,38,1522,4361,0.647,0.001
Completed,0.72,143,121,3320,0.0,0.89
Completed,0.7,113,3796,2015,0.999,0.999
Completed,0.58,36,1,1,0.999,0.001
Completed,0.7,121,104,89,0.343,0.7
Completed,0.58,36,4273,4932,0.434,0.274
Completed,0.71,160,4414,4926,0.0,0.811
Completed,0.58,36,4872,2708,0.749,0.082
Completed,0.58,35,57,4983,0.551,0.917
Completed,0.58,39,4521,26,0.329,0.823
Completed,0.72,200,4591,3594,0.0,0.933
Completed,0.58,33,959,332,0.542,0.232
Completed,0.58,34,4384,421,0.361,0.001
Completed,0.58,37,4930,5000,0.409,0.001
Completed,0.58,35,4682,4738,0.251,0.513
Completed,0.58,36,4554,1,0.0,0.001
Completed,0.58,36,1315,4783,0.16,0.569
Completed,0.7,108,369,7,0.282,0.772
Completed,0.58,36,3935,197,0.999,0.916
Completed,0.58,35,268,4806,0.999,0.567
Completed,0.58,37,2138,77,0.75,0.46
Completed,0.7,114,2094,332,0.837,0.999
Completed,0.7,114,324,959,0.494,0.661
Completed,0.58,38,4869,4767,0.148,0.676
Completed,0.58,43,67,4933,0.505,0.634
Completed,0.58,37,298,2230,0.755,0.816
Completed,0.58,37,2914,4757,0.77,0.245
Completed,0.71,137,3224,105,0.241,0.999
Completed,0.58,35,2604,16,0.288,0.328
Completed,0.58,35,4338,4885,0.0,0.336
Completed,0.58,38,248,4287,0.521,0.859
Completed,0.58,35,3385,116,0.208,0.942
Completed,0.58,35,4511,4951,0.614,0.961
Completed,0.58,37,2102,1473,0.999,0.974
Completed,0.58,37,272,4831,0.41,0.793
Completed,0.58,34,313,1885,0.308,0.778
Completed,0.58,34,1340,15,0.857,0.316
Completed,0.71,158,3048,813,0.0,0.587
Completed,0.71,147,1041,1993,0.0,0.789
Completed,0.69,100,5000,1,0.842,0.999
Completed,0.58,35,728,4507,0.165,0.785
Completed,0.58,33,462,72,0.91,0.724
Completed,0.58,35,274,363,0.0,0.457
Completed,0.7,112,3827,14,0.156,0.76
Completed,0.58,36,3839,4927,0.467,0.52
Completed,0.58,36,4937,4944,0.914,0.82
Completed,0.58,34,3459,104,0.483,0.106
Completed,0.7,120,1346,140,0.665,0.818
Completed,0.58,36,599,1404,0.821,0.4
Completed,0.68,84,4008,54,0.704,0.888
Completed,0.58,36,4760,984,0.732,0.915
Completed,0.58,33,4856,920,0.268,0.189
Completed,0.58,35,4935,4033,0.999,0.079
Completed,0.71,139,1363,5000,0.169,0.999
Completed,0.58,33,4470,159,0.839,0.23
Completed,0.58,38,4545,1283,0.83,0.001
Completed,0.58,35,315,4763,0.229,0.279
Completed,0.58,35,4901,1688,0.756,0.499
Completed,0.58,37,4879,4462,0.782,0.92
Completed,0.71,153,1,2004,0.0,0.999
Completed,0.7,126,610,4914,0.052,0.651
Completed,0.58,36,120,3846,0.516,0.443
Completed,0.58,38,4218,4258,0.837,0.47
Completed,0.58,35,3178,4883,0.764,0.873
Completed,0.58,38,1945,4948,0.0,0.073
Completed,0.69,140,2956,4825,0.644,0.988
Completed,0.58,39,40,4750,0.714,0.465
Completed,0.58,41,1300,4386,0.237,0.001
Completed,0.58,35,4791,2446,0.0,0.154
Completed,0.7,145,293,116,0.012,0.952
Completed,0.58,40,868,6,0.516,0.616
Completed,0.58,38,2526,227,0.771,0.078
Completed,0.58,36,4679,1561,0.463,0.667
