Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
Completed,0.73,1,3746,2389,1920,True
Completed,0.73,1,4396,1885,3039,True
Completed,0.73,1,4318,678,1771,True
Completed,0.73,38,2209,4643,2860,False
Completed,0.73,3,1566,137,4644,False
Completed,0.73,1,4927,3943,733,True
Completed,0.73,21,3471,2111,3182,False
Completed,0.73,1,1182,1414,429,True
Completed,0.73,1,2713,4165,3450,True
Completed,0.73,7,758,511,2351,False
Completed,0.73,1,799,4249,3845,True
Completed,0.74,4,2598,442,237,False
Completed,0.73,1,3935,3506,2725,True
Completed,0.73,5,1982,2430,1314,False
Completed,0.73,5,1334,2953,1184,False
Completed,0.73,1,4539,1724,4773,True
Completed,0.73,50,3239,4958,2262,False
Completed,0.73,24,2825,2642,4321,False
Completed,0.74,5,3893,2204,1076,False
Completed,0.73,1,2097,3747,4996,True
Completed,0.73,1,1453,1651,2502,True
Completed,0.74,6,4502,3040,1423,False
Completed,0.73,1,3359,1220,4049,True
Completed,0.73,2,156,4716,147,False
Completed,0.73,18,383,1889,4192,False
Completed,0.73,1,3742,3431,594,True
Completed,0.73,4,4729,201,3008,False
Completed,0.73,1,1837,3855,1587,True
Completed,0.73,1,2485,901,917,True
Completed,0.73,38,4125,4396,4496,False
Completed,0.73,1,581,3185,2074,True
Completed,0.73,21,487,2548,3831,False
Completed,0.73,1,1,4274,1,False
Completed,0.73,2,1343,2274,1,True
Completed,0.73,1,1,3646,1,False
Completed,0.73,1,3671,2867,5000,True
Completed,0.73,1,5000,1020,5000,True
Completed,0.74,3,4949,2266,1,True
Completed,0.73,1,1,3850,1,False
Completed,0.73,1,704,3787,1,False
Completed,0.75,5,2760,344,1,True
Completed,0.73,1,2396,400,2996,True
Completed,0.73,1,5000,2856,5000,True
Completed,0.73,1,956,5000,5000,True
Completed,0.73,1,1,3483,1,True
Completed,0.73,1,5000,2153,5000,True
Completed,0.73,2,3702,2899,1,True
Completed,0.73,1,1242,5000,2393,True
Completed,0.73,1,4677,2240,2943,True
Completed,0.73,1,5000,1135,2775,True
Completed,0.73,1,1,4118,1,True
Completed,0.75,5,5000,990,1,True
Completed,0.73,1,1076,3612,1,False
Completed,0.73,1,1,4119,1,False
Completed,0.73,1,5000,2382,5000,True
Completed,0.73,1,4297,2337,5000,True
Completed,0.73,1,1,3374,1,False
Completed,0.73,1,5000,2432,2594,True
Completed,0.73,2,5000,1,5000,False
Completed,0.73,1,3885,1399,635,True
Completed,0.73,2,1,1,2138,True
Completed,0.73,1,1,809,799,True
Completed,0.75,4,4086,1236,1,True
Completed,0.73,1,3632,1438,1084,True
Completed,0.73,1,4016,1389,283,True
Completed,0.73,1,1,3252,5000,True
Completed,0.73,2,5000,3319,1,False
Completed,0.73,2,1,1,5000,False
Completed,0.73,1,5000,5000,1,True
Completed,0.74,3,971,826,1,True
Completed,0.73,2,5000,1,789,True
Completed,0.73,1,5000,4129,5000,True
Completed,0.73,1,1,1268,1,False
