Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
Completed,0.71,2,2423,554,2418,True
Completed,0.71,2,2429,3340,4166,True
Completed,0.71,52,3932,1892,2132,False
Completed,0.71,2,3680,2680,2000,True
Completed,0.71,2,2581,2407,140,True
Completed,0.71,27,4044,885,3138,False
Completed,0.71,2,1867,590,2598,True
Completed,0.69,38,875,3639,1324,False
Completed,0.71,2,4318,2094,4193,True
Completed,0.69,14,4172,3523,858,False
Completed,0.71,2,709,1977,3722,True
Completed,0.71,69,1701,3776,2350,False
Completed,0.71,2,3259,317,4633,True
Completed,0.71,2,3099,4418,2741,True
Completed,0.65,23,2177,1002,493,False
Completed,0.71,2,552,2952,4375,True
Completed,0.66,40,4648,1373,1457,False
Completed,0.71,2,1226,4926,1051,True
Completed,0.71,55,1516,1725,4748,False
Completed,0.69,13,3406,4049,321,False
Completed,0.71,36,2933,1199,2209,False
Completed,0.71,2,2030,4614,4463,True
Completed,0.67,10,405,1414,679,False
Completed,0.71,2,4482,2993,3591,True
Completed,0.71,4,5000,3,1184,True
Completed,0.71,92,279,4088,3320,False
Completed,0.71,2,2450,2289,2172,True
Completed,0.71,84,2747,3209,4890,False
Completed,0.71,46,3533,1687,3031,False
Completed,0.68,80,2304,3328,2861,False
Completed,0.71,2,132,278,1655,True
Completed,0.71,104,3928,4190,3822,False
Completed,0.73,11,5000,1307,1,True
Completed,0.71,2,5000,3894,1532,True
Completed,0.71,2,5000,1177,3661,True
Completed,0.66,3,2159,715,1,True
Completed,0.71,2,1,5000,1753,True
Completed,0.69,32,5000,5000,1669,False
Completed,0.71,2,1,1393,1252,True
Completed,0.71,2,2895,3476,5000,True
Completed,0.71,2,1784,912,5000,True
Completed,0.71,2,5000,1537,2525,True
Completed,0.71,4,2377,1,1175,True
Completed,0.71,2,1,986,3738,True
Completed,0.72,113,5000,5000,5000,False
Completed,0.71,2,5000,4369,4293,True
Completed,0.71,2,1884,989,625,True
Completed,0.71,2,1,3894,5000,True
Completed,0.71,2,1,932,2065,True
Completed,0.7,4,3468,3543,1,True
Completed,0.71,4,2931,1,3492,True
Completed,0.71,2,2304,3775,1104,True
Completed,0.71,2,5000,957,2027,True
Completed,0.71,2,2887,5000,1951,True
Completed,0.71,2,5000,3840,723,True
Completed,0.71,4,2748,1,1,True
Completed,0.7,2,1,2434,1,True
Completed,0.71,2,5000,1598,1592,True
Completed,0.71,2,2959,2593,3014,True
Completed,0.71,2,5000,5000,2417,True
Completed,0.71,2,5000,2338,4734,True
Completed,0.71,4,1,1,4272,True
Completed,0.71,2,1,5000,4746,True
Completed,0.71,4,5000,1,2345,True
Completed,0.71,2,1,5000,4078,True
Completed,0.71,2,5000,5000,414,True
Completed,0.71,2,1,2255,4739,True
Completed,0.71,2,1,2154,2845,True
Completed,0.71,2,1,5000,2454,True
Completed,0.71,2,5000,2697,3121,True
Completed,0.71,4,5000,1,4187,True
Completed,0.69,93,5000,5000,4115,False
Completed,0.71,2,5000,4134,4759,True
Completed,0.71,2,5000,5000,3373,True
Completed,0.71,2,2691,3512,3924,True
Completed,0.71,92,1,5000,4094,False
Completed,0.71,2,5000,2935,2918,True
Completed,0.71,2,1,3144,3216,True
Completed,0.71,48,5000,1716,4017,False
Completed,0.71,2,1,5000,484,True
Completed,0.71,4,1,1,2493,True
Completed,0.71,2,5000,5000,4004,True
Completed,0.71,2,5000,5000,4730,True
Completed,0.71,2,1,2065,3207,True
Completed,0.71,4,5000,1,3862,False
Completed,0.71,2,5000,1121,4769,True
Completed,0.71,2,1,5000,3438,True
Completed,0.71,2,1,2390,2973,True
Completed,0.71,2,5000,4367,1016,True
Completed,0.71,16,1,402,5000,False
Completed,0.71,2,4061,1281,1665,True
Completed,0.71,15,1,352,3886,False
Completed,0.71,14,5000,349,5000,False
Completed,0.71,2,1,486,4749,True
Completed,0.71,2,1,4151,1527,True
Completed,0.71,2,1,3907,2360,True
Completed,0.71,2,1,541,3897,True
Completed,0.71,13,1,341,3281,False
Completed,0.71,2,5000,4522,1525,True
Completed,0.71,2,1,3828,3502,True
Completed,0.71,2,5000,635,5000,True
Completed,0.71,12,5000,294,4296,False
Completed,0.71,2,1,4393,5000,True
Completed,0.71,2,1,4280,1000,True
Completed,0.71,15,1,383,4432,False
Completed,0.71,2,2970,1406,1373,True
Completed,0.71,2,1,547,5000,True
Completed,0.71,2,1,3429,4910,True
Completed,0.71,2,5000,4482,614,True
Completed,0.71,2,1763,1392,5000,True
Completed,0.71,2,3263,3341,1651,True
Completed,0.71,12,2297,319,5000,False
Completed,0.71,2,5000,1577,5000,True
Completed,0.71,19,1,566,5000,False
Completed,0.71,2,5000,3420,1204,True
Completed,0.71,2,1,3777,4096,True
Completed,0.71,2,5000,1283,1558,True
Completed,0.71,2,1,1502,4367,True
Completed,0.71,2,4262,1629,378,True
Completed,0.66,50,5000,4017,2223,False
Completed,0.71,2,1069,1052,974,True
Completed,0.71,2,3478,1633,496,True
Completed,0.71,2,5000,1595,221,True
Completed,0.72,2,1,2728,1,False
Completed,0.69,74,5000,4135,2424,False
Completed,0.72,93,5000,3935,2014,False
Completed,0.65,2,1,4864,1,False
Completed,0.71,4,1,1,1,False
Completed,0.71,2,715,778,1084,True
Completed,0.68,1,1,3235,1,False
Completed,0.71,2,2703,1683,592,True
Completed,0.71,2,4748,1611,318,True
Completed,0.66,43,5000,4020,2554,False
Completed,0.71,2,469,2556,1106,True
Completed,0.64,51,5000,3665,1942,False
Completed,0.71,4,1,1,1704,False
Completed,0.7,2,1,2359,1,False
Completed,0.71,4,1,1,2081,False
Completed,0.68,4,1,4784,497,False
Completed,0.71,2,5000,1590,91,True
Completed,0.71,2,3918,1640,426,True
Completed,0.72,2,1,5000,1,False
Completed,0.67,73,5000,3963,1759,False
Completed,0.56,2,1,4367,1,False
Completed,0.71,5,5000,1,1,False
Completed,0.71,4,1,1,713,False
Completed,0.72,2,1,3595,1,False
Completed,0.71,2,1829,2140,765,True
Completed,0.64,2,1,3996,1,True
Completed,0.7,5,5000,3141,1,False
Completed,0.71,4,5000,1,3181,False
Completed,0.71,2,5000,4027,3422,True
Completed,0.71,4,1,1,1633,True
Completed,0.71,2,1,3098,579,True
Completed,0.71,2,1,1182,3056,True
Completed,0.71,4,5000,1,2496,False
Completed,0.71,2,5000,2771,1502,True
Completed,0.71,2,5000,3875,3916,True
Completed,0.71,2,5000,1220,3055,True
Completed,0.7,4,5000,3107,1,True
Completed,0.66,4,5000,3885,1,True
Completed,0.71,2,5000,3272,2281,True
Completed,0.72,4,5000,5000,1,False
Completed,0.71,4,78,1,2126,True
Completed,0.71,2,1,3710,2740,True
Completed,0.71,2,1,2835,972,True
Completed,0.71,4,1,1,2667,False
Completed,0.71,2,1,1523,3988,True
Completed,0.71,2,2867,3692,2429,True
Completed,0.7,1,1,3102,1,True
Completed,0.71,2,1,5000,1048,True
Completed,0.71,2,5000,4176,2465,True
Completed,0.71,2,1,671,2609,True
Completed,0.71,2,5000,3236,4373,True
Completed,0.71,2,1,2293,1499,True
Completed,0.71,2,1,4233,438,True
Completed,0.71,2,5000,5000,818,True
Completed,0.71,2,5000,1821,3730,True
Completed,0.71,2,1,2555,2066,True
Completed,0.71,4,5000,1,1877,True
Completed,0.71,4,5000,1,2884,True
Completed,0.71,2,3585,661,4314,True
Completed,0.71,2,5000,1812,4406,True
Completed,0.71,2,5000,5000,1806,True
Completed,0.66,2,1,1292,1,False
Completed,0.71,2,1,2972,4053,True
Completed,0.71,4,5000,1,560,False
Completed,0.71,4,5000,1,3788,True
Completed,0.71,2,5000,1121,4222,True
Completed,0.71,4,1,1,4654,False
Completed,0.71,4,2502,1,5000,True
Completed,0.71,4,5000,1,4474,False
Completed,0.71,4,5000,1,1051,False
Completed,0.71,4,5000,1,707,True
Completed,0.71,4,5000,1,3577,False
Completed,0.71,2,5000,2017,2931,True
Completed,0.71,4,1,1,4578,True
Completed,0.71,2,1,3348,4473,True
Completed,0.71,2,1641,1650,2157,True
Completed,0.71,4,1,1,1262,False
Completed,0.71,2,1,4470,4435,True
Completed,0.71,2,3622,3739,3060,True
Completed,0.71,2,2175,5000,4265,True
Completed,0.71,4,1,1,435,False
Completed,0.71,2,1,5000,4441,True
Completed,0.71,2,2493,3217,834,True
Completed,0.71,4,1,1,301,True
Completed,0.71,2,513,4476,2050,True
Completed,0.71,2,5000,4225,2909,True
Completed,0.71,2,1,1424,1945,True
Completed,0.71,4,2398,1,2800,False
Completed,0.71,2,1001,4211,3144,True
Completed,0.71,4,5000,1,1640,False
Completed,0.71,2,3455,2250,2540,True
Completed,0.71,2,5000,687,2596,True
Completed,0.71,2,1,2090,514,True
Completed,0.71,4,5000,1,490,True
Completed,0.71,4,5000,1,1527,True
Completed,0.71,2,2326,3416,4363,True
Completed,0.71,2,5000,2369,2089,True
Completed,0.7,6,5000,2152,1,False
Completed,0.71,2,2413,1782,3114,True
Completed,0.71,2,5000,4095,5000,True
Completed,0.71,2,1,2893,5000,True
Completed,0.71,2,1868,924,3611,True
Completed,0.71,2,2302,5000,2433,True
Completed,0.74,13,5000,986,1,False
Completed,0.71,2,2156,5000,190,True
Completed,0.71,2,4759,5000,4441,True
Completed,0.71,2,2473,5000,3110,True
Completed,0.71,2,5000,1743,3416,True
Completed,0.71,2,2669,4658,3300,True
Completed,0.71,2,1939,2838,1719,True
Completed,0.71,2,2547,2304,1335,True
Completed,0.71,2,1,3666,907,True
Completed,0.71,2,5000,3462,3197,True
Completed,0.71,2,5000,2919,395,True
Completed,0.71,2,2421,4839,738,True
Completed,0.71,2,2562,1657,4687,True
Completed,0.71,2,2331,5000,1230,True
Completed,0.71,2,1,1320,4865,True
Completed,0.71,2,2954,886,3153,True
Completed,0.71,2,1999,5000,3676,True
Completed,0.71,2,2531,4810,5000,True
Completed,0.71,2,210,945,4479,True
Completed,0.71,2,1,5000,1378,True
Completed,0.71,2,2591,1802,3711,True
Completed,0.71,2,899,2185,4041,True
Completed,0.71,2,3533,3871,4346,True
Completed,0.71,2,1910,3606,326,True
Completed,0.68,4,5000,3817,1,False
Completed,0.71,4,3082,1,4196,True
Completed,0.71,2,1,51,880,True
Completed,0.71,2,5000,495,3111,True
Completed,0.71,2,5000,66,4483,True
Completed,0.71,4,1,1,1156,True
Completed,0.71,2,2859,4730,1598,True
Completed,0.71,2,456,3365,2018,True
Completed,0.71,2,2175,1141,2529,True
Completed,0.71,2,1,2214,4247,True
Completed,0.71,4,2001,1,3034,True
Completed,0.71,2,5000,4231,273,True
Completed,0.71,4,2169,1,2283,True
Completed,0.71,2,1,794,854,True
Completed,0.71,2,2512,2001,2817,True
Completed,0.71,4,1,1,2388,False
Completed,0.71,2,5000,2352,5000,True
Completed,0.71,2,5000,3877,2208,True
Completed,0.71,2,1987,4252,4181,True
Completed,0.69,3,3463,4346,1,True
Completed,0.71,2,1662,698,2076,True
Completed,0.71,2,3503,4239,1669,True
Completed,0.71,2,1,4480,2641,True
Completed,0.71,2,905,4183,4434,True
Completed,0.71,2,2177,3698,3508,True
Completed,0.71,2,1,726,382,True
Completed,0.71,2,2786,1434,1814,True
Completed,0.71,4,1413,1,3339,False
Completed,0.71,2,1,1443,2368,True
Completed,0.71,2,2146,4120,5000,True
Completed,0.71,2,5000,2112,566,True
Completed,0.71,4,1906,1,1496,False
Completed,0.71,2,2964,999,4277,True
Completed,0.71,2,1782,3536,2283,True
Completed,0.71,2,5000,4521,2010,True
Completed,0.71,2,5000,2182,1085,True
Completed,0.71,2,2746,3958,2164,True
Completed,0.71,2,2451,5000,4701,True
Completed,0.71,2,3033,2940,2530,True
Completed,0.67,5,5000,5000,255,False
Completed,0.71,2,3486,2568,4428,True
Completed,0.71,2,5000,2643,4054,True
Completed,0.71,2,1990,2487,4697,True
Completed,0.71,2,5000,727,767,True
Completed,0.71,2,2436,4370,433,True
Completed,0.71,2,1,5000,3760,True
Completed,0.71,2,1,720,3152,True
Completed,0.71,4,2125,1,1,False
Completed,0.61,2,1,1822,1,False
Completed,0.68,6,2615,2734,662,False
Completed,0.69,9,5000,2746,603,False
Completed,0.71,6,1,2603,798,False
Completed,0.67,6,1,2229,785,False
Completed,0.71,6,5000,2268,1,True
Completed,0.71,2,5000,475,1458,True
Completed,0.67,2,1,1632,1,False
Completed,0.69,5,2163,2922,547,False
Completed,0.67,2,1,1902,1,True
Completed,0.69,25,4480,2713,824,False
Completed,0.71,2,2206,405,924,True
Completed,0.56,5,1,2934,561,False
Completed,0.71,2,1,4611,1,True
