Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
Completed,0.73,854,4014,885,2551,False
Completed,0.58,29,391,3810,420,True
Completed,0.58,29,649,555,1877,True
Completed,0.67,403,4995,4730,4844,False
Completed,0.58,33,2979,2475,1241,True
Completed,0.7,386,1368,2831,3293,False
Completed,0.75,752,1766,1087,659,False
Completed,0.58,29,2597,4256,3562,True
Completed,0.72,585,4450,1670,2478,False
Completed,0.58,33,1199,3657,4556,True
Completed,0.58,29,305,1961,3054,True
Completed,0.72,347,4085,2698,229,False
Completed,0.58,49,3558,129,3813,True
Completed,0.58,244,1,5000,3629,False
Completed,0.58,157,4827,344,519,True
Completed,0.66,268,2281,1555,4336,False
Completed,0.58,31,2650,2673,2119,True
Completed,0.68,252,812,4997,2762,False
Completed,0.68,325,535,640,4845,False
Completed,0.58,32,3865,4043,2186,True
Completed,0.58,31,1,4714,1,False
Completed,0.58,28,599,4096,2666,True
Completed,0.73,422,3342,1599,2343,False
Completed,0.58,30,3787,3008,4678,True
Completed,0.74,265,2275,499,332,False
Completed,0.61,254,2089,4995,4891,False
Completed,0.7,339,3547,3592,3074,False
Completed,0.58,30,3,1087,1933,True
Completed,0.58,29,1174,2551,997,True
Completed,0.58,88,2690,58,3996,False
Completed,0.58,32,4442,3961,1642,True
Completed,0.58,31,3327,3162,1447,True
Completed,0.76,688,1278,982,1,False
Completed,0.67,370,1850,5000,4508,False
Completed,0.66,73,2443,5000,1,False
Completed,0.74,526,5000,1887,1,False
Completed,0.58,60,2816,1,2128,False
Completed,0.69,192,3979,5000,1,True
Completed,0.69,136,3248,5000,1,True
Completed,0.64,54,2249,5000,1,True
Completed,0.69,141,1287,5000,1,False
Completed,0.77,632,2914,702,1,False
Completed,0.58,30,3380,5000,5000,True
Completed,0.58,62,2148,1,1,True
Completed,0.74,368,3049,1515,728,False
Completed,0.74,437,1110,1495,1202,False
Completed,0.58,60,575,1,1,False
Completed,0.73,457,3870,1963,1,True
Completed,0.58,71,3272,23,1180,False
Completed,0.7,144,2869,3331,1,False
Completed,0.73,412,5000,2405,910,False
Completed,0.7,150,920,3207,1,False
Completed,0.58,29,3817,5000,3918,True
Completed,0.58,59,863,1,1,False
Completed,0.68,142,1408,5000,1,True
Completed,0.58,62,1250,1,1,True
Completed,0.58,62,1306,1,1,False
Completed,0.69,258,4067,5000,3182,False
Completed,0.74,455,1687,1839,1,False
Completed,0.73,301,1398,2266,1,False
Completed,0.58,63,1,1,5000,False
Completed,0.74,617,1860,1530,1,False
Completed,0.7,301,5000,3756,1,False
Completed,0.58,31,1291,5000,4936,True
Completed,0.7,271,5000,3801,1,True
Completed,0.58,28,650,2747,5000,True
Completed,0.74,611,3902,1799,1,False
Completed,0.7,362,813,1870,5000,False
Completed,0.69,130,1062,4163,1,False
Completed,0.73,422,5000,2252,1,True
Completed,0.58,30,773,1057,5000,True
Completed,0.76,720,3435,1037,1,True
Completed,0.7,160,961,3198,1,True
Completed,0.69,144,1117,4513,1,True
Completed,0.71,243,1448,3090,1,False
Completed,0.58,28,1,2934,5000,True
Completed,0.73,393,1545,2032,1,False
Completed,0.75,737,4088,1419,1,True
Completed,0.7,200,1261,3709,1,False
Completed,0.73,488,3937,2082,1,False
Completed,0.69,212,4242,4256,1,True
Completed,0.58,29,4536,706,5000,True
Completed,0.58,29,1,826,5000,True
Completed,0.69,237,3868,4079,1,False
Completed,0.71,302,5000,3387,1,False
Completed,0.58,30,900,1850,5000,True
Completed,0.72,254,1072,2317,1,False
Completed,0.68,88,384,2759,1,True
Completed,0.58,65,3348,1,1,True
Completed,0.8,900,2583,262,1,False
Completed,0.58,29,2543,2808,5000,True
Completed,0.58,29,1086,5000,1814,True
Completed,0.58,40,661,2764,1510,True
Completed,0.58,61,2591,1,1,False
Completed,0.72,540,3591,1760,3496,False
Completed,0.58,61,4665,1,3823,False
Completed,0.71,173,811,2489,1,True
Completed,0.78,627,2594,492,1,False
Completed,0.58,28,1,2620,1964,True
Completed,0.7,201,1488,3723,1,True
Completed,0.58,61,4246,1,5000,False
Completed,0.69,245,915,3486,1751,False
