Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
Completed,0.06,340,863,473,3282,True
Completed,0.18,398,1601,3045,20,False
Completed,0.06,89,4019,1847,4366,True
Completed,0.06,91,4780,3435,2614,True
Completed,0.03,889,2042,2082,1771,False
Completed,0.06,98,418,4559,4733,True
Completed,0.24,536,2684,864,883,False
Completed,0.06,89,2503,4399,3233,True
Completed,0.19,713,549,712,2384,False
Completed,0.06,92,1911,3273,4121,True
Completed,0.15,522,2872,2163,775,False
Completed,0.14,541,2826,2533,4425,False
Completed,0.06,2143,1384,1666,85,True
Completed,0.06,100,4557,1827,1734,True
Completed,0.06,627,876,432,1142,True
Completed,0.06,118,24,3603,2178,True
Completed,0.06,3082,3843,4765,268,True
Completed,0.06,600,246,1348,1211,True
Completed,0.05,626,2213,3889,2911,False
Completed,0.26,457,4961,1931,264,False
Completed,0.2,441,3839,2883,1716,False
Completed,0.06,91,1734,1697,2670,True
Completed,0.09,402,731,4164,632,False
Completed,0.06,245,3620,321,4984,True
Completed,0.06,97,3137,3711,949,True
Completed,0.18,584,1186,2357,4687,False
Completed,0.06,90,1279,4908,1388,True
Completed,0.28,706,4322,1213,2978,False
Completed,0.17,512,4457,4049,3792,False
Completed,0.06,96,486,1259,4071,True
Completed,0.09,471,2411,2722,322,False
Completed,0.14,428,3440,4325,2334,False
Completed,0.18,1226,3416,286,5000,False
Completed,0.17,1110,3412,406,2822,False
Completed,0.29,579,4054,1396,1,False
Completed,0.06,95,1,4996,1738,True
Completed,0.25,582,5000,1813,3831,False
Completed,0.24,913,4073,1410,5000,False
Completed,0.15,1133,3721,566,5000,False
Completed,0.17,392,3538,3292,1,False
Completed,0.47,2821,3443,244,1,False
Completed,0.06,92,1,4965,3672,True
Completed,0.3,516,3567,1192,1,False
Completed,0.06,5245,5000,5000,125,True
Completed,0.39,940,3436,508,1,False
Completed,0.28,473,5000,1610,1,False
Completed,0.15,1180,3513,513,3186,False
Completed,0.19,1982,3321,189,5000,False
Completed,0.17,1147,3441,370,5000,False
Completed,0.26,710,4037,1505,3883,False
Completed,0.22,438,5000,2460,1,True
Completed,0.06,92,5000,2535,4150,True
Completed,0.44,1623,3336,306,1,False
Completed,0.06,92,5000,2367,2961,True
Completed,0.17,1423,3949,337,3527,False
Completed,0.14,542,2386,1419,2776,False
Completed,0.27,563,5000,1646,2501,False
Completed,0.06,92,3663,4979,3885,True
Completed,0.2,2041,4852,243,1051,False
