Status,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
Completed,0.52,4,270,2230,2517,True
Completed,0.57,24,3540,4858,2443,False
Completed,0.52,4,3611,2467,3794,True
Completed,0.52,15,4,4783,1249,False
Completed,0.62,23,3252,2345,3862,False
Completed,0.58,10,2247,1229,2851,False
Completed,0.58,20,3032,3087,3462,False
Completed,0.62,26,2599,899,211,False
Completed,0.58,18,1572,2093,1847,False
Completed,0.52,8,3299,279,2822,False
Completed,0.59,14,571,1527,1338,False
Completed,0.47,18,3912,172,328,False
Completed,0.59,32,4786,4664,1960,False
Completed,0.59,28,4595,1821,4371,False
Completed,0.62,32,4093,982,4574,False
Completed,0.59,18,773,652,2209,False
Completed,0.61,29,4746,2027,729,False
Completed,0.52,4,314,2595,2142,True
Completed,0.52,4,1545,1168,3375,True
Completed,0.58,16,4842,3464,1585,False
Completed,0.65,50,4106,594,606,False
Completed,0.52,4,2086,2907,4437,True
Completed,0.57,16,742,1794,2189,False
Completed,0.52,4,3067,4088,2771,True
Completed,0.52,4,2517,776,1888,True
Completed,0.59,18,1097,3382,3076,False
Completed,0.52,5,2327,1919,280,True
Completed,0.54,39,4062,4545,4758,False
Completed,0.58,25,4575,1400,3681,False
Completed,0.52,5,1618,4008,1283,True
Completed,0.58,21,3600,3984,2467,False
Completed,0.54,14,1309,3696,391,False
Completed,0.52,5,4434,1,2402,False
Completed,0.57,27,4374,1293,1131,False
Completed,0.61,32,4166,1247,360,False
Completed,0.52,5,1,1,3883,True
Completed,0.52,5,1,1,1162,True
Completed,0.52,4,5000,3939,5000,True
Completed,0.52,12,4516,516,2118,False
Completed,0.52,5,1,1,2415,False
Completed,0.61,29,4399,1135,1777,False
Completed,0.52,4,1,909,5000,True
Completed,0.52,5,5000,1,4969,False
Completed,0.52,4,5000,5000,3606,True
Completed,0.52,5,3515,1,959,True
Completed,0.57,28,4046,1315,939,False
Completed,0.59,36,4518,899,999,False
Completed,0.52,5,5000,1,3969,False
Completed,0.59,30,4020,1207,1,False
Completed,0.61,27,4195,1368,1230,False
Completed,0.52,5,4851,1,2211,False
Completed,0.52,5,1616,1,3850,True
Completed,0.52,5,1464,1,5000,False
Completed,0.52,4,1,5000,3530,True
Completed,0.52,4,822,1741,5000,True
Completed,0.58,37,4606,707,1625,False
Completed,0.52,4,1,4146,5000,True
Completed,0.6,30,4099,1270,607,False
Completed,0.52,11,5000,605,4972,False
Completed,0.52,9,5000,420,4480,False
Completed,0.52,13,5000,801,5000,False
Completed,0.61,27,5000,1688,1,False
Completed,0.62,33,5000,962,5000,False
Completed,0.52,14,1,494,5000,False
Completed,0.52,8,1,318,4026,False
Completed,0.52,4,1,1531,1,False
Completed,0.52,12,5000,700,4864,False
Completed,0.59,27,5000,1490,1,False
Completed,0.59,24,5000,2067,3512,False
Completed,0.52,10,5000,515,4169,False
Completed,0.52,4,1,3527,2284,True
Completed,0.52,4,1,1854,1,False
Completed,0.55,8,5000,4442,1,True
Completed,0.5,11,5000,4563,1,False
Completed,0.52,9,5000,371,5000,False
Completed,0.58,11,5000,3140,1,True
Completed,0.52,11,1,865,5000,False
Completed,0.61,21,5000,1969,2099,False
Completed,0.52,8,5000,292,3905,False
Completed,0.52,11,1,666,5000,False
Completed,0.57,26,5000,2185,5000,False
Completed,0.59,27,5000,1412,1,True
Completed,0.61,27,5000,1088,5000,False
Completed,0.52,4,1,3158,1,True
Completed,0.57,24,5000,1618,2082,False
Completed,0.52,4,1,3393,5000,True
Completed,0.56,25,5000,1845,1,False
Completed,0.52,4,5000,496,5000,True
Completed,0.48,6,1,2260,353,False
Completed,0.52,4,1,1459,1281,True
Completed,0.53,8,2349,2157,976,False
Completed,0.52,4,5000,1558,2777,True
Completed,0.6,30,5000,1152,3122,False
Completed,0.52,4,1,4391,1,True
Completed,0.48,5,1,894,1,False
Completed,0.52,8,1,980,2011,False
Completed,0.54,4,1,1344,1,True
Completed,0.52,4,1,3028,1,False
Completed,0.62,24,5000,2173,1612,False
Completed,0.52,4,5000,3305,1661,True
Completed,0.52,4,5000,1803,5000,True
Completed,0.59,26,5000,1349,5000,False
Completed,0.58,19,2946,1064,2961,False
Completed,0.56,4,1,324,1,True
Completed,0.52,4,1,4607,2044,True
Completed,0.52,4,5000,1397,2134,True
Completed,0.56,19,1570,2167,1,False
Completed,0.57,21,5000,2152,1,False
Completed,0.52,4,5000,2713,1509,True
Completed,0.58,17,3214,2088,1814,False
Completed,0.52,4,1,2115,1,False
Completed,0.52,4,5000,4501,4537,True
Completed,0.54,8,1,2496,1873,False
Completed,0.52,4,5000,4990,1745,True
Completed,0.52,4,5000,2353,5000,True
Completed,0.62,38,1796,861,1,False
Completed,0.59,24,5000,1778,5000,False
Completed,0.52,4,1,1599,1817,True
Completed,0.57,11,2528,1923,1082,False
Completed,0.6,20,3699,1800,1462,False
Completed,0.53,5,1,5000,1,False
Completed,0.52,11,2894,607,3425,False
Completed,0.53,4,1,4135,1,False
Completed,0.52,4,5000,2085,3087,True
Completed,0.52,6,1287,1,1,True
Completed,0.61,21,1741,1930,907,False
Completed,0.59,25,4127,1663,1728,False
Completed,0.52,4,2474,5000,2232,True
Completed,0.6,27,2652,526,1,True
Completed,0.52,5,1,502,2430,True
Completed,0.52,5,5000,3206,5000,True
Completed,0.58,18,2672,782,3185,False
Completed,0.62,22,3542,1950,1314,False
Completed,0.62,19,1102,1812,1043,False
Completed,0.61,14,2880,1930,1097,False
Completed,0.52,4,2872,1878,2609,True
Completed,0.58,9,2100,1872,1110,False
Completed,0.52,4,1,5000,5000,True
Completed,0.52,4,1,4508,1,False
Completed,0.52,4,5000,585,3332,True
Completed,0.56,8,3042,3474,1,True
Completed,0.52,5,1,1,1,True
Completed,0.49,9,1332,5000,1,False
Completed,0.52,4,2136,610,3134,True
Completed,0.54,8,5000,5000,1,True
Completed,0.52,5,5000,3774,2910,True
Completed,0.52,4,5000,2022,1781,True
Completed,0.52,10,2915,467,3430,False
Completed,0.62,14,799,1844,899,False
Completed,0.58,19,5000,2376,1,True
Completed,0.62,27,1574,1965,719,False
Completed,0.52,5,2781,1,2675,True
Completed,0.52,4,1,1070,2196,True
Completed,0.51,8,2364,1911,1,False
Completed,0.52,15,1,2424,5000,False
Completed,0.56,20,3274,1789,2606,False
Completed,0.57,18,1517,2420,1735,False
Completed,0.52,4,2498,1183,5000,True
Completed,0.57,20,2714,4128,1,True
Completed,0.52,20,5000,4461,2537,True
Completed,0.52,4,2484,3984,5000,True
Completed,0.52,4,1,3930,1,True
Completed,0.59,14,990,2062,1,False
Completed,0.52,5,5000,1,3205,True
Completed,0.57,23,3705,1679,594,False
Completed,0.57,24,1888,1890,1,False
Completed,0.58,12,1375,2652,1,True
Completed,0.6,25,3539,1860,1440,False
Completed,0.52,4,2993,1456,3368,True
Completed,0.58,10,3257,2526,1,True
Completed,0.56,20,1403,1817,1,False
Completed,0.6,22,1927,2091,2416,False
Completed,0.61,17,1022,2278,1272,False
Completed,0.62,30,1870,1871,1024,False
Completed,0.52,4,3074,1338,2095,True
Completed,0.56,12,5000,3968,1,True
Completed,0.52,5,1,2146,5000,True
Completed,0.52,5,3096,1,1,True
Completed,0.58,20,1329,1901,2366,False
Completed,0.54,7,1811,5000,1,True
Completed,0.6,20,925,2534,338,False
Completed,0.57,16,1221,2109,1888,False
Completed,0.52,4,2364,3041,676,True
Completed,0.58,25,1370,1963,3138,False
Completed,0.6,16,1010,2401,818,False
Completed,0.61,11,841,2727,1,False
Completed,0.52,4,2558,2841,1447,True
Completed,0.62,31,1361,1640,1785,False
Completed,0.59,8,2296,2986,1,True
Completed,0.52,5,1192,2544,1307,True
Completed,0.52,6,1131,1,2226,True
Completed,0.59,15,1133,2217,1547,False
Completed,0.52,11,1159,511,3170,False
Completed,0.53,6,1150,5000,1,True
Completed,0.52,4,1295,5000,5000,True
Completed,0.52,5,5000,1,5000,True
Completed,0.52,6,1985,5000,5000,True
Completed,0.52,5,1,1,5000,True
Completed,0.59,25,1304,2187,2413,False
Completed,0.56,54,1347,2429,4823,False
Completed,0.52,7,1101,233,2924,False
Completed,0.59,8,1093,3332,1,True
Completed,0.6,21,1229,680,2806,False
Completed,0.52,6,2284,1,1329,True
Completed,0.57,35,5000,2903,2871,False
