index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_clusters,threshold
0,0.6898878416947851,0.8226334669527796,55.0,235.0,2.0,4.722820977475634
1,0.7134129650843521,0.8127669613759589,55.0,198.0,3.0,4.158522670178655
2,0.7324291212525208,0.8049042608191987,19.0,135.0,3.0,4.421188729507681
3,0.779460859757997,0.7832614026365174,53.0,94.0,3.0,4.564098937564265
4,0.7796969822721366,0.7816303037482454,55.0,94.0,3.0,4.564098937564265
5,0.7799239405197175,0.7753411897584084,53.0,88.0,3.0,4.674176969175974
6,0.7806375303383852,0.763709842803717,38.0,104.0,11.0,4.322653294408523
7,0.7806406515825234,0.7625036861235573,55.0,75.0,3.0,4.674176969175974
8,0.7904919752870981,0.7593248886750906,55.0,92.0,11.0,4.382983979550279
9,0.7928590982664239,0.7593005158900665,108.0,130.0,3.0,4.546416833928101
10,0.7963939341764651,0.74844846848639,124.0,130.0,6.0,4.484602232093986
11,0.8041307344215239,0.7324790042527608,95.0,86.0,11.0,4.179701725201418
12,0.8087128800351606,0.7279964018377099,155.0,130.0,3.0,4.399478453768868
13,0.8179653894408848,0.7201489040224132,120.0,94.0,10.0,4.237035987761295
14,0.8264478017539786,0.700317577853424,155.0,103.0,10.0,4.378207060041521
15,0.827584824490299,0.6967522709914654,212.0,128.0,10.0,4.363627493732657
16,0.8411149211379586,0.6362991817409739,1658.0,130.0,15.0,4.722820977475634
17,0.8416207566934908,0.6306228197893383,1658.0,92.0,14.0,4.722820977475634
18,0.848119075139178,0.6262505213766196,1667.0,106.0,15.0,4.722820977475634
19,0.8499535223683617,0.6243901115876657,1658.0,96.0,15.0,4.722820977475634
