index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_clusters,threshold
0,0.4006394190604714,0.6818829170880087,1588.0,3380.0,1.0,0.9980579533241688
1,0.4042933867664588,0.6807468871221992,1474.0,3108.0,1.0,0.9936418038550764
2,0.4252407453798976,0.6780114016403134,1358.0,2818.0,1.0,0.9880937162581832
3,0.5246714554287227,0.6752487195208171,11.0,238.0,1.0,0.9955033690518426
4,0.546238454788333,0.6675239519854824,5.0,200.0,2.0,0.9980980889505158
5,0.5570663087230104,0.6580461994750182,69.0,273.0,2.0,0.9956713336173966
6,0.6635586215257638,0.6287104315578381,171.0,161.0,2.0,0.9755689053852112
7,0.669846284867833,0.6254979633454354,160.0,139.0,1.0,0.996165224888806
8,0.6717922880929313,0.6242086195561912,239.0,224.0,2.0,0.992560343128478
9,0.6783049838778119,0.6176203531547148,268.0,222.0,2.0,0.9815001117435136
10,0.7004201521276113,0.61226178423264,172.0,110.0,2.0,0.9912703901624984
11,0.765682267065123,0.5605458040564517,2137.0,124.0,3.0,0.8856171025346666
12,0.7752199507080938,0.522454576157906,631.0,99.0,2.0,0.8856171025346666
13,0.7870707409143116,0.5063226344808153,514.0,81.0,5.0,0.8142401957530528
14,0.844248752274829,0.4210699606050639,634.0,99.0,10.0,0.7937740696291857
15,0.8492672896924636,0.4124660323468601,657.0,99.0,10.0,0.7664479857298199
16,0.8785445119414118,0.364019711158512,779.0,97.0,10.0,0.7015756930865886
17,0.8790939131725755,0.3592915610111279,821.0,97.0,10.0,0.700702113862145
18,0.8921348815906146,0.3266359747610067,847.0,36.0,10.0,0.6906075709442336
19,0.892352240621889,0.3237227293762839,734.0,27.0,10.0,0.6777729560182002
