index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_clusters,threshold
0,0.3396312884240516,0.8434655911926312,1.0,2138.0,1.0,0.9690738614797592
1,0.4473120675620672,0.8349686539373995,7.0,792.0,1.0,0.8727739852666855
2,0.4514772668851614,0.831235569558017,97.0,1010.0,1.0,0.9841550475656986
3,0.5142465552235292,0.8147149925092998,2690.0,1556.0,1.0,0.90960859644413
4,0.5343792256333979,0.801871342884288,3563.0,1999.0,1.0,0.9441863399123528
5,0.5383804934932186,0.8010546805983654,3591.0,1894.0,1.0,0.9371099171206514
6,0.5401758894349963,0.7988968143569035,3403.0,1761.0,1.0,0.956039724588394
7,0.5513401797763638,0.7983928423704759,2884.0,1397.0,1.0,0.9964876429399204
8,0.5844059809565348,0.7746402178569852,3644.0,1352.0,1.0,0.9074598558247088
9,0.5980724712665506,0.7726288359799836,60.0,255.0,2.0,0.9892932810791292
10,0.6145185959021492,0.7616345054250336,65.0,214.0,3.0,0.9110051195844068
11,0.6510834289979028,0.7396589205820907,180.0,218.0,2.0,0.8762867420017719
12,0.6570184434949186,0.7340176306444073,307.0,273.0,2.0,0.9944241174617054
13,0.6728410984228367,0.7215945802620505,352.0,255.0,2.0,0.9630949898456702
14,0.6828495752137486,0.7095965406905823,137.0,99.0,3.0,0.9197294477120498
15,0.7175315478746404,0.6657314365216036,983.0,317.0,2.0,0.7625750903152393
16,0.7970245654072443,0.5105185847735334,575.0,92.0,10.0,0.9914763604773688
17,0.8070886003244137,0.4880506149123202,809.0,130.0,10.0,0.9795395790338516
18,0.8354065411800095,0.3744946280932561,919.0,68.0,10.0,0.8108177866190959
19,0.8447530461299647,0.3139722879498531,1126.0,49.0,10.0,0.7940952140675033
