index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_clusters,threshold
0,0.7304684083681193,0.929381335772924,1058.0,4801.0,1.0,1.047198796136671
1,0.7325574479891357,0.928130863873008,655.0,4813.0,1.0,1.183806470611848
2,0.7352925818260136,0.9276103379247684,1759.0,4689.0,1.0,1.0330281398175478
3,0.7507736566550712,0.9255987912088816,20.0,582.0,1.0,1.2511263713564988
4,0.7563387302297205,0.9203924269851604,27.0,519.0,1.0,1.6841492178164148
5,0.7578852528439346,0.9145343195489152,717.0,1611.0,1.0,1.223009699771522
6,0.8372893032356664,0.7436653017906394,147.0,87.0,7.0,4.448360080187572
7,0.8415722999545683,0.7209111706046739,407.0,124.0,10.0,1.254507941470549
8,0.8448722764100679,0.7164412481051677,448.0,125.0,16.0,1.2383688073800927
9,0.8547997433767787,0.6749739485111657,599.0,124.0,10.0,1.2383688073800927
10,0.8548323968774552,0.66993030040788,599.0,124.0,10.0,1.4280201875873804
11,0.8567512091698138,0.6666552393659568,599.0,124.0,10.0,2.2761000927558674
12,0.8574917961022612,0.655383458895798,599.0,124.0,10.0,2.759179905432348
13,0.8586628309244588,0.6377111101915579,599.0,124.0,10.0,3.441289567944356
14,0.8595362639728914,0.6374149992974343,658.0,77.0,8.0,2.7707783728175515
15,0.8669236732259988,0.6009653389280692,953.0,101.0,10.0,4.294662615700528
16,0.874970322098229,0.5926489020202236,1791.0,103.0,10.0,4.530806626018312
17,0.8785834918741888,0.5857958503519857,1917.0,109.0,16.0,4.835935745368579
18,0.8817848346205905,0.5565052224463777,2081.0,96.0,18.0,3.8113685310353578
19,0.8831706319627831,0.5555674578014103,2019.0,104.0,17.0,3.83147819784214
