index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_clusters,threshold
0,0.5488509156450557,0.8291948219756735,4805.0,3483.0,1.0,0.9965550132729112
1,0.5498158319733446,0.8164755509449936,4683.0,3401.0,1.0,0.962008605670184
2,0.5581237084150945,0.808243338156922,4776.0,2975.0,1.0,0.89016509186849
3,0.5850992051349302,0.8075593405111003,4142.0,2485.0,1.0,0.8919990197271108
4,0.5905821504781705,0.7956746107096261,3857.0,1861.0,1.0,0.8878373134517938
5,0.5926454925265366,0.795298906795613,4792.0,1905.0,1.0,0.939552206452936
6,0.5970337331655092,0.7922852336012345,3857.0,1861.0,1.0,0.8598001735344556
7,0.6470739038992456,0.7601460170384087,124.0,193.0,3.0,0.97890366749838
8,0.6512086484702367,0.7442654170250707,204.0,269.0,3.0,0.9903813824761905
9,0.672436273352464,0.7297563395740192,123.0,137.0,1.0,0.9880279090739038
10,0.7099089485665072,0.7020860037846094,174.0,137.0,1.0,0.8468744151124387
11,0.7153895610135826,0.6895979688122117,177.0,136.0,10.0,0.9407573228030832
12,0.7190582597482083,0.6787562482111867,260.0,137.0,1.0,0.9940829116175915
13,0.7297789890410156,0.6712075137842711,195.0,101.0,10.0,0.9409826765717704
14,0.7371867496951808,0.65205513412411,299.0,142.0,10.0,0.9235051918370256
15,0.7427192890929536,0.6257947670302677,366.0,124.0,10.0,0.9045964050739748
16,0.7450692087129968,0.6164621608923067,466.0,133.0,1.0,0.9192151915244758
17,0.7624683855221808,0.6092930462501163,398.0,99.0,10.0,0.9366919594837552
18,0.7682711876296334,0.5821542324545231,875.0,137.0,1.0,0.9880279090739038
19,0.7728390651281727,0.5481960607982223,734.0,108.0,10.0,0.9321179543135472
