index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,n_clusters,threshold
0,0.6224368659611157,0.8361115084421368,2.0,1131.0,1.0,4.52896416824666
1,0.6298764784277329,0.8357702507775829,58.0,1302.0,1.0,4.579237869266011
2,0.6328704978737978,0.8348698869194718,46.0,903.0,1.0,4.621502847524872
3,0.6362701915417641,0.8345395899159564,24.0,1063.0,1.0,4.544703253297395
4,0.638802191655276,0.8336871161116207,39.0,896.0,2.0,4.812128279825148
5,0.6479923018637825,0.831544709562338,58.0,995.0,1.0,4.506378226931916
6,0.6504349385824292,0.831241650733551,78.0,1091.0,2.0,4.705049287681414
7,0.6654073203842938,0.8306216584219741,143.0,1050.0,1.0,4.653588903148661
8,0.7415046155920657,0.7777514824996039,319.0,704.0,3.0,4.705049287681414
9,0.7585144615467679,0.7700030240990651,1212.0,1008.0,3.0,4.314418290071174
10,0.7908291018118747,0.7369528801232091,448.0,502.0,3.0,4.759659939236652
11,0.8025963270962064,0.707304535633659,319.0,354.0,3.0,4.76030172779312
12,0.8090417394929807,0.7004569098169008,398.0,356.0,3.0,4.772895059883129
13,0.8196911188538333,0.6879065285544351,159.0,148.0,3.0,4.776198709011483
14,0.820403624034744,0.6853569162206748,159.0,148.0,3.0,4.705049287681414
15,0.839594102479414,0.6527541883853384,280.0,113.0,3.0,4.759659939236652
16,0.8675327208462918,0.5687819391841658,2013.0,111.0,10.0,4.451681712421398
17,0.8694994750902801,0.5532854484425866,2019.0,87.0,10.0,4.501294125904495
18,0.8708837191781655,0.5301751434074431,1279.0,113.0,12.0,4.119809244095408
19,0.8715798369553219,0.527876276381277,993.0,132.0,13.0,3.295851835226129
