Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.55,13568,605,0.868,0.222,2401,1647,667
Completed,0.54,10807,2498,0.914,0.461,4238,3104,2387
Completed,0.53,3651,92,0.14,0.66,1221,4747,118
Completed,0.53,5970,179,0.646,0.276,4441,1076,4030
Completed,0.53,4491,143,0.481,0.99,251,743,2560
Completed,0.53,4715,2233,0.422,0.602,115,1778,3487
Completed,0.56,3002,2032,0.57,0.047,1275,4955,2937
Completed,0.54,9164,380,0.346,0.839,3278,2818,4580
Completed,0.54,9850,451,0.602,0.586,4013,2053,4261
Completed,0.53,3155,2120,0.327,0.292,858,98,3244
Completed,0.53,7678,2309,0.681,0.856,2178,3197,2543
Completed,0.55,11749,2724,0.932,0.529,983,1434,1384
Completed,0.54,7812,261,0.406,0.03,2695,4029,4962
Completed,0.57,2406,17,0.882,0.906,1658,202,1061
Completed,0.54,14097,2635,0.41,0.409,4678,2763,2784
Completed,0.54,14243,2416,0.159,0.207,3484,2027,1455
Completed,0.53,11451,2367,0.518,0.728,638,779,642
Completed,0.55,13066,2587,0.765,0.899,2453,4006,4457
Completed,0.55,2565,46,0.301,0.401,3871,1450,1816
Completed,0.53,9024,309,0.793,0.535,528,2777,2904
Completed,0.55,11555,694,0.71,0.337,4351,3238,2819
Completed,0.55,9561,2279,0.011,0.335,4953,4450,4542
Completed,0.52,6472,2167,0.996,0.766,3615,1340,3998
Completed,0.55,10359,421,0.215,0.097,1868,810,3448
Completed,0.54,11643,352,0.954,0.35,1040,4065,2517
Completed,0.54,4515,2082,0.239,0.521,4135,3708,4941
Completed,0.53,7557,2205,0.753,0.082,2953,520,4236
Completed,0.55,12219,2766,0.502,0.285,3946,4694,550
Completed,0.53,6086,229,0.038,0.781,2220,2334,3222
Completed,0.53,4806,121,0.56,0.156,3371,3504,2122
Completed,0.55,8475,2449,0.277,0.981,1446,4347,323
Completed,0.58,2014,2013,0.731,0.418,286,2380,1029
Completed,0.55,13121,556,0.448,0.711,4533,395,1417
Completed,0.54,12764,569,0.527,0.423,1413,2527,3266
Completed,0.73,841,2001,0.311,0.691,3414,4624,4278
Completed,0.56,10838,2529,0.945,0.49,3584,3148,1170
Completed,0.55,12870,656,0.974,0.199,1771,2611,182
Completed,0.55,14085,801,0.365,0.462,4917,4237,58
Completed,0.52,7754,211,0.988,0.072,4102,4416,1473
Completed,0.53,7584,2221,0.207,0.807,1083,2812,1083
Completed,0.53,4548,2107,0.786,0.373,2265,795,378
Completed,0.53,6367,324,0.004,0.514,2918,1353,2178
Completed,0.55,9946,409,0.759,0.76,4996,3674,1860
Completed,0.53,5107,2180,0.044,0.119,495,4102,684
Completed,0.53,7442,2301,0.964,0.562,1833,2318,140
Completed,0.53,8965,289,0.248,0.325,3660,533,2404
Completed,0.54,3058,63,0.724,0.737,2002,4362,3504
Completed,0.53,10225,2349,0.441,0.377,2519,3491,4052
Completed,0.55,11543,497,0.269,0.177,683,2344,2959
Completed,0.55,10738,546,0.906,0.639,3440,1102,4959
Completed,0.55,7913,2399,0.859,0.933,353,4744,3239
Completed,0.55,3390,34,0.085,0.197,4776,3110,4258
