Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.83,8931,2991,0.549,0.212,283,284,3217
Completed,0.83,9712,4869,0.015,0.295,366,3296,6
Completed,0.83,9110,2442,0.402,0.184,718,555,171
Completed,0.83,10601,4637,0.785,0.401,3297,64,2933
Completed,0.85,10297,79,0.481,0.952,1383,721,3026
Completed,0.84,14208,1234,0.648,0.671,2490,432,4783
Completed,0.83,10763,3413,0.033,0.884,4748,181,2076
Completed,0.8,13464,340,0.172,0.103,654,919,3603
Completed,0.87,2127,36,0.059,0.717,578,113,1521
Completed,0.85,3756,2484,0.742,0.463,1905,40,4665
Completed,0.66,3516,4253,0.393,0.566,112,1268,548
Completed,0.71,6734,1819,0.249,0.449,312,2713,280
Completed,0.66,3722,2309,0.339,0.966,180,2754,402
Completed,0.84,6983,378,0.081,0.869,740,396,2854
Completed,0.84,6160,2143,0.642,0.123,1758,307,959
Completed,0.85,2166,283,0.546,0.617,3043,16,4159
Completed,0.85,5292,2200,0.232,0.374,4529,158,2343
Completed,0.84,6059,803,0.51,0.296,1354,123,3012
Completed,0.85,2845,2255,0.867,0.152,3630,58,3649
Completed,0.58,5026,1445,0.03,0.238,162,1649,759
Completed,0.84,7056,2569,0.73,0.592,486,328,3907
Completed,0.83,5028,2154,0.255,0.399,156,353,4926
Completed,0.85,6802,327,0.944,0.655,2420,265,1860
Completed,0.61,3237,909,0.085,0.369,75,769,570
Completed,0.84,4752,2718,0.397,0.308,4546,18,3573
Completed,0.85,5459,114,0.694,0.243,1048,329,2016
Completed,0.84,5928,2406,0.006,0.999,1436,254,3833
Completed,0.84,6672,1181,0.76,0.821,220,51,3168
Completed,0.84,4668,488,0.182,0.494,2729,81,662
Completed,0.84,5176,2645,0.023,0.118,955,106,4433
Completed,0.85,2697,2077,0.991,0.935,938,130,4197
Completed,0.86,3454,404,0.308,0.182,1640,43,2302
Completed,0.85,6803,941,0.636,0.51,4130,74,4808
