Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Failed,,,1304,0.097,0.486,927,1910,1056
Failed,,,2494,0.974,0.075,534,1555,2479
Failed,,,2727,0.189,0.664,2517,3516,3275
Failed,,,4299,0.522,0.265,2271,4351,4002
Failed,,,785,0.299,0.971,4684,681,423
Failed,,,962,0.785,0.327,3105,4647,853
Failed,,,3849,0.004,0.909,107,343,4745
Failed,,,2863,0.708,0.012,4725,2438,3002
Failed,,,2007,0.488,0.726,2079,2513,1269
Failed,,,1253,0.948,0.786,2571,942,1337
Failed,,,3518,0.232,0.447,471,3990,3070
Failed,,,4446,0.557,0.595,4621,3146,4813
Failed,,,462,0.278,0.139,2325,1825,921
Failed,,,3133,0.777,0.282,4849,812,1155
Failed,,,1648,0.058,0.949,1949,4178,4422
Failed,,,2587,0.638,0.553,3698,3925,1519
Failed,,,2194,0.418,0.214,759,1026,2901
Failed,,,1510,0.546,0.345,370,525,4305
Failed,,,3623,0.26,0.887,2685,4507,101
Failed,,,4668,0.966,0.036,2459,2735,2157
Failed,,,523,0.244,0.695,4501,2336,3578
Failed,,,349,0.995,0.437,1074,4232,197
Failed,,,2409,0.671,0.919,4810,3042,816
Failed,,,2802,0.384,0.315,2144,2029,4707
Failed,,,4238,0.842,0.728,2995,208,3041
Failed,,,876,0.118,0.006,56,4824,1308
Failed,,,171,0.478,0.768,1402,461,1018
Failed,,,187,0.94,0.168,3769,4981,3522
Failed,,,4956,0.225,0.569,1787,51,2131
Failed,,,3325,0.549,0.484,3436,2185,123
Failed,,,1837,0.27,0.753,1024,2886,4356
Failed,,,1936,0.641,0.681,5,3710,2967
Failed,,,2952,0.429,0.084,3043,1280,1537
Failed,,,3763,0.844,0.996,2175,875,741
Failed,,,1028,0.071,0.267,4783,4076,4936
Failed,,,889,0.58,0.934,2615,618,3802
Failed,,,4253,0.364,0.329,594,4452,546
Failed,,,1389,0.751,0.422,1355,1808,4395
Failed,,,3500,0.039,0.815,4353,3143,1099
Failed,,,4467,0.735,0.23,826,4017,1622
Failed,,,324,0.459,0.507,3473,973,2702
Failed,,,538,0.705,0.36,1901,3106,1084
Failed,,,4682,0.489,0.902,4899,1926,4653
Failed,,,3598,0.784,0.052,279,310,2608
Failed,,,1486,0.006,0.711,2926,4761,1802
Failed,,,2210,0.875,0.846,3163,4335,408
Failed,,,51,0.195,0.964,321,1598,185
Failed,,,1630,0.235,0.319,3224,3619,1388
Failed,,,312,0.285,0.4,2521,2407,2842
Failed,,,263,0.635,0.825,897,837,4436
Failed,,,4870,0.419,0.407,3563,4194,1141
Failed,,,3415,0.87,0.509,1308,3671,1584
Failed,,,1776,0.092,0.225,4247,1399,2663
Failed,,,2031,0.962,0.344,4636,2067,3764
Failed,,,2886,0.25,0.925,2321,2923,507
Failed,,,3834,0.54,0.027,2545,4862,2241
Failed,,,2479,0.45,0.987,3055,3262,4975
Failed,,,1328,0.57,0.572,3287,2670,3562
Failed,,,4770,0.072,0.972,763,4928,3171
Failed,,,3198,0.656,0.075,4133,2833,3929
Failed,,,1710,0.431,0.656,1409,2137,320
Failed,,,2083,0.56,0.775,2427,1313,1734
Failed,,,3099,0.278,0.491,4527,3738,2539
Failed,,,3929,0.948,0.592,375,4104,4585
Failed,,,1055,0.982,0.942,1724,2525,2789
Failed,,,3794,0.196,0.291,3823,2445,1710
Failed,,,2925,0.531,0.626,1078,321,1187
Failed,,,1905,0.307,0.107,3373,4610,4483
Failed,,,1809,0.685,0.46,2980,3796,3387
Failed,,,3295,0.402,0.807,60,1216,2269
Failed,,,1799,0.399,0.078,2436,3693,1174
Failed,,,3939,0.229,0.944,4826,3385,2420
Failed,,,2117,0.992,0.922,4258,3626,4627
Failed,,,1170,0.296,0.026,888,4158,2650
Failed,,,683,0.807,0.677,1805,544,3627
Failed,,,4195,0.029,0.088,3904,4526,1893
Failed,,,2295,0.482,0.279,3297,2316,4119
Failed,,,957,0.543,0.858,4961,2419,1144
Failed,,,3844,0.263,0.378,2002,2652,4450
Failed,,,2877,0.963,0.541,2870,4590,2669
Failed,,,2022,0.247,0.194,185,442,1599
Failed,,,1766,0.867,0.372,1197,1109,493
Failed,,,3405,0.093,0.89,3258,3842,3760
Failed,,,4880,0.634,0.056,1609,3319,3344
Failed,,,272,0.422,0.708,3943,1670,2236
Failed,,,1991,0.833,0.518,3233,1397,699
Failed,,,2849,0.113,0.249,1212,3654,4903
Failed,,,3875,0.661,0.834,3957,4187,2847
Failed,,,985,0.377,0.432,1584,825,1425
Failed,,,850,0.897,0.771,628,4474,2324
Failed,,,4361,0.174,0.495,3665,497,3432
Failed,,,2672,0.6,0.581,1547,2269,3848
Failed,,,2442,0.313,0.187,4155,2663,581
Failed,,,1288,0.691,0.255,4387,3245,1667
Failed,,,3552,0.471,0.976,2404,1767,2737
Failed,,,438,0.02,0.668,391,3972,1213
Failed,,,576,0.772,0.464,3840,1962,2562
Failed,,,4557,0.05,0.803,1858,2970,1767
Failed,,,3727,0.724,0.157,3350,4791,960
Failed,,,1465,0.438,0.613,939,180,4540
Failed,,,4148,0.926,0.638,2094,3561,363
Failed,,,633,0.144,0.096,4702,1450,3981
Failed,,,1123,0.631,0.7,2530,2599,4801
