Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.57,366,4960,0.215,0.542,4759,3047,909
Completed,0.56,332,1456,0.97,0.095,1842,2368,4424
Completed,0.54,205,803,0.3,0.927,3631,375,3464
Completed,0.55,177,3095,0.511,0.499,395,4726,2455
Completed,0.54,162,2705,0.052,0.959,1404,1043,1682
Completed,0.55,242,1194,0.76,0.404,4575,4213,3026
Completed,0.56,351,1847,0.464,0.571,267,3706,3943
Completed,0.57,401,4568,0.722,0.005,3131,1865,101
Completed,0.56,346,3950,0.359,0.371,2949,1964,1966
Completed,0.53,123,2449,0.584,0.797,1155,2624,3289
Completed,0.57,44,2017,0.001,0.693,655,1,1
Completed,0.56,414,1999,0.001,0.001,1624,1706,4443
Completed,0.55,237,3104,0.629,0.222,1205,2061,4352
Completed,0.57,364,1881,0.148,0.55,3850,3435,1102
Completed,0.55,149,601,0.132,0.224,4308,4617,4910
Completed,0.56,383,3705,0.383,0.132,675,3948,552
Completed,0.57,325,4131,0.088,0.088,90,102,4330
Completed,0.54,79,212,0.686,0.701,2801,798,4078
Completed,0.57,51,2058,0.109,0.274,2050,1304,2577
Completed,0.55,279,3314,0.936,0.67,2215,285,1087
Completed,0.55,277,3221,0.174,0.412,3456,3354,3228
Completed,0.54,101,382,0.882,0.982,567,1434,2066
Completed,0.54,78,2190,0.336,0.059,4895,693,1153
Completed,0.56,344,3896,0.595,0.609,1709,3785,4805
Completed,0.57,370,4466,0.482,0.758,1910,4889,2960
Completed,0.55,324,1636,0.707,0.316,3988,479,1787
Completed,0.54,182,945,0.005,0.647,854,2238,162
Completed,0.53,162,2642,0.809,0.217,2624,2820,3843
Completed,0.54,192,2875,0.256,0.739,4175,1658,4670
Completed,0.54,176,710,0.559,0.186,2351,3558,702
Completed,0.55,280,1403,0.231,0.855,3121,4298,2204
Completed,0.57,380,4340,0.835,0.831,3850,3126,1545
Completed,0.57,284,1882,0.001,0.999,1988,3705,1550
Completed,0.57,396,1891,0.999,0.366,2087,2617,426
Completed,0.56,367,1856,0.999,0.881,760,3406,2972
Completed,0.56,372,1867,0.001,0.897,2039,2234,180
Completed,0.55,2,2729,0.999,0.945,1,1646,4290
Completed,0.57,283,1836,0.001,0.807,474,1748,1358
Completed,0.56,339,1886,0.999,0.999,949,4357,4688
Completed,0.57,355,1946,0.999,0.705,990,2471,2545
Completed,0.56,358,1802,0.001,0.365,1786,532,98
Completed,0.57,374,4009,0.127,0.654,624,104,2804
Completed,0.55,2,3689,0.001,0.999,1,473,2265
Completed,0.57,284,3909,0.058,0.836,205,4222,4611
Completed,0.56,342,1834,0.999,0.91,1817,3307,4837
Completed,0.55,2,3343,0.999,0.962,1,513,4551
Completed,0.57,327,3891,0.396,0.768,342,1150,3438
Completed,0.57,364,1894,0.999,0.434,2099,4837,762
Completed,0.56,340,1856,0.999,0.649,1193,801,537
Completed,0.56,314,1711,0.001,0.798,1944,489,2449
Completed,0.56,396,1835,0.001,0.521,2201,2131,2532
Completed,0.57,397,4876,0.001,0.569,635,3325,1605
Completed,0.57,342,1898,0.001,0.429,1044,1483,1888
Completed,0.56,331,1804,0.827,0.289,1516,2194,485
Completed,0.57,368,4640,0.589,0.301,2005,575,1283
Completed,0.57,373,1913,0.999,0.544,1047,438,3168
Completed,0.57,351,1904,0.999,0.817,2232,693,13
Completed,0.56,328,1795,0.001,0.33,1072,582,1045
Completed,0.57,256,3998,0.958,0.17,6,4273,251
Completed,0.57,50,2021,0.001,0.999,2304,1149,4629
Completed,0.57,364,4838,0.727,0.13,2037,875,3171
Completed,0.55,2,4923,0.999,0.999,1,2296,3524
Completed,0.57,353,4919,0.47,0.007,2066,1299,2681
Completed,0.57,351,4807,0.999,0.928,1283,2923,3526
Completed,0.57,287,4973,0.999,0.928,85,2225,6
Completed,0.58,42,2003,0.101,0.276,2024,4935,3241
Completed,0.57,301,4944,0.999,0.001,102,1925,1
Completed,0.6,44,2012,0.999,0.728,2668,3614,3327
Completed,0.59,47,2005,0.001,0.999,1611,4020,1494
Completed,0.57,375,4750,0.999,0.779,2907,2855,4916
Completed,0.57,327,4873,0.999,0.999,98,4402,1993
Completed,0.57,545,5000,0.001,0.999,661,2302,1
Completed,0.58,44,2008,0.705,0.49,2739,2345,4803
Completed,0.59,45,2016,0.968,0.999,2806,1,3544
Completed,0.57,354,4565,0.999,0.823,2840,3641,2510
Completed,0.6,43,2014,0.001,0.995,2832,3260,5000
Completed,0.57,366,4167,0.001,0.25,2028,288,3676
Completed,0.57,472,4731,0.999,0.409,2844,4865,5000
Completed,0.57,469,4649,0.576,0.641,2676,3962,4759
Completed,0.6,51,2015,0.999,0.854,3001,1753,4445
Completed,0.57,369,4887,0.999,0.738,1304,1036,3820
Completed,0.57,347,4562,0.999,0.999,2348,1115,5000
Completed,0.58,48,2024,0.999,0.961,2667,4956,4423
Completed,0.57,277,4944,0.999,0.318,37,2273,2
Completed,0.55,2,5000,0.001,0.064,1,3553,1186
Completed,0.57,277,4866,0.001,0.718,115,742,683
Completed,0.6,45,2015,0.702,0.625,2561,2783,3823
Completed,0.58,47,2008,0.001,0.999,2410,3021,4215
Completed,0.56,322,1753,0.525,0.86,2894,2722,4147
Completed,0.57,317,1811,0.001,0.719,2676,2862,3790
Completed,0.57,352,1960,0.999,0.885,2885,3006,5000
Completed,0.57,392,1971,0.001,0.924,2927,3516,3643
Completed,0.55,346,1522,0.694,0.827,2769,2680,4450
Completed,0.56,344,1860,0.999,0.799,2501,3823,2127
Completed,0.55,2,1709,0.279,0.451,1,2850,2449
Completed,0.56,324,1780,0.001,0.765,2778,1977,3578
Completed,0.57,374,1936,0.001,0.757,2540,3606,1854
Completed,0.55,283,1503,0.035,0.836,2934,68,4576
Completed,0.55,318,1580,0.001,0.748,2557,1326,5000
Completed,0.57,334,1997,0.001,0.905,2890,1141,1234
Completed,0.56,346,1896,0.666,0.68,2590,4556,38
Completed,0.54,296,1449,0.999,0.719,2880,1422,4736
Completed,0.55,2,4885,0.999,0.462,1,1844,4991
Completed,0.57,364,1887,0.999,0.777,2920,2362,3311
Completed,0.54,93,2202,0.001,0.947,3056,403,5000
Completed,0.55,2,2423,0.001,0.427,1,2011,2182
Completed,0.54,292,1359,0.001,0.828,2720,74,3552
Completed,0.56,325,1572,0.999,0.822,2484,118,5000
Completed,0.57,67,2119,0.001,0.842,2900,1936,3113
Completed,0.57,373,1885,0.999,0.889,2913,3804,1109
Completed,0.56,58,2076,0.001,0.932,2936,4017,5000
Completed,0.55,97,2287,0.999,0.85,2449,4227,5000
Completed,0.55,286,1435,0.001,0.72,2623,239,3378
Completed,0.54,285,1387,0.999,0.719,2557,2111,436
Completed,0.55,2,1073,0.391,0.387,1,1458,1
Completed,0.53,122,2427,0.001,0.842,2769,4914,3289
Completed,0.56,328,1768,0.001,0.758,2460,3700,1477
Completed,0.55,258,1621,0.453,0.416,78,690,486
Completed,0.55,59,2084,0.999,0.773,2248,2422,3723
Completed,0.55,58,2097,0.568,0.843,1704,4742,3144
Completed,0.57,54,2059,0.999,0.937,2333,1954,3383
Completed,0.57,60,2091,0.999,0.689,2608,1382,5000
Completed,0.55,61,2092,0.999,0.606,2346,5000,2604
Completed,0.55,61,2092,0.999,0.903,2089,1,4458
Completed,0.55,65,2120,0.999,0.181,2955,4622,2925
Completed,0.57,62,2110,0.999,0.711,1605,4365,1667
Completed,0.56,62,2103,0.001,0.673,898,3018,1672
Completed,0.56,63,2105,0.999,0.57,2037,4539,3844
Completed,0.56,61,2095,0.999,0.999,1919,5000,2964
Completed,0.55,63,2121,0.999,0.179,3398,5000,4083
Completed,0.57,60,2091,0.092,0.999,1494,1,3232
Completed,0.55,62,2096,0.999,0.643,2636,1,3567
Completed,0.56,66,2125,0.902,0.53,514,4692,2980
Completed,0.56,68,2140,0.805,0.999,1535,1,1842
Completed,0.56,54,2057,0.999,0.75,2469,5000,3786
Completed,0.56,66,2132,0.999,0.999,1102,3405,2877
Completed,0.56,70,2143,0.999,0.587,1595,3060,4622
Completed,0.55,2,3518,0.999,0.999,1,1771,4428
Completed,0.56,61,2106,0.999,0.446,3245,992,5000
Completed,0.56,58,2095,0.268,0.777,1930,187,4263
Completed,0.55,67,2129,0.999,0.362,1052,2453,2276
Completed,0.57,64,2114,0.999,0.54,2457,5000,4815
Completed,0.56,64,2134,0.999,0.511,4166,304,5000
