Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Failed,,,3532,0.225,0.148,1774,1053,152
Failed,,,813,0.828,0.918,3810,3182,3438
Failed,,,278,0.1,0.717,4598,2657,4899
Failed,,,2880,0.953,0.474,2237,1396,1504
Failed,,,4398,0.427,0.828,3488,849,1051
Failed,,,2432,0.501,0.106,848,2110,2540
Failed,,,2410,0.087,0.377,1481,1600,3584
Failed,,,4493,0.981,0.682,4104,2854,15
Failed,,,2897,0.385,0.015,354,1868,2353
Failed,,,178,0.559,0.801,2730,614,4058
Failed,,,913,0.26,0.569,3196,84,2606
Failed,,,3515,0.684,0.372,1139,2220,991
Failed,,,3783,0.212,0.945,4889,3422,1455
Failed,,,1816,0.856,0.239,1945,1286,4956
Failed,,,1309,0.489,0.89,887,2773,4263
Failed,,,4369,0.564,0.168,3530,1517,2148
Failed,,,3398,0.037,0.53,2280,751,415
Failed,,,953,0.89,0.287,4637,2005,3183
Failed,,,452,0.162,0.085,3853,2521,4536
Failed,,,2701,0.765,0.856,1815,385,1875
Failed,,,4845,0.364,0.463,3065,931,766
Failed,,,1980,0.689,0.721,103,3067,2832
Failed,,,2087,0.333,0.136,4740,468,1635
Failed,,,4835,0.719,0.923,2099,1839,4462
Failed,,,2614,0.131,0.256,3349,3042,3061
Failed,,,481,0.797,0.561,990,1670,848
Failed,,,1236,0.007,0.824,528,1105,1907
Failed,,,3172,0.921,0.117,2562,3344,4189
Failed,,,4067,0.457,0.691,1312,2359,3411
Failed,,,1514,0.595,0.493,4277,120,497
Failed,,,1631,0.243,0.652,2891,2140,1229
Failed,,,4027,0.825,0.407,271,769,2679
Failed,,,3680,0.291,0.77,4021,1315,4726
Failed,,,649,0.652,0.047,1641,2686,1371
Failed,,,129,0.415,0.341,2429,3262,252
Failed,,,3044,0.528,0.6,4484,1024,3657
Failed,,,4562,0.119,0.206,734,258,3827
Failed,,,2283,0.95,0.977,3679,2496,2269
Failed,,,2327,0.208,0.226,299,2893,554
Failed,,,4576,0.845,0.966,2942,1638,3353
Failed,,,2971,0.256,0.353,1692,654,4130
Failed,,,105,0.672,0.581,4049,1909,1967
Failed,,,684,0.38,0.782,4514,2207,907
Failed,,,3745,0.548,0.027,2476,71,3001
Failed,,,4022,0.084,0.671,3727,1275,4403
Failed,,,1578,0.969,0.395,764,3411,1692
Failed,,,1538,0.368,0.741,2069,1501,2210
Failed,,,4139,0.7,0.449,4692,2756,3886
Failed,,,3158,0.166,0.867,943,1991,3714
Failed,,,1192,0.778,0.066,3319,736,194
Failed,,,535,0.042,0.299,2533,427,1312
Failed,,,2618,0.902,0.51,477,2563,4783
Failed,,,4772,0.492,0.186,4227,3110,2738
Failed,,,2053,0.576,0.88,1284,974,1170
Failed,,,2005,0.462,0.482,3558,1823,4858
Failed,,,4919,0.607,0.709,937,452,1553
Failed,,,2687,0.01,0.097,4688,1656,1088
Failed,,,408,0.933,0.836,2308,3027,2510
Failed,,,1006,0.135,0.542,1845,3387,3960
Failed,,,3402,0.808,0.267,3901,1148,2451
Failed,,,4306,0.337,0.91,150,164,113
Failed,,,1275,0.732,0.156,3095,2403,3486
Failed,,,1861,0.114,0.996,4073,807,2929
Failed,,,3798,0.938,0.196,1433,2179,669
