Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.71,26,3515,0.001,0.999,1,5000,1
Completed,0.71,31,3062,0.999,0.999,1,464,5000
Completed,0.74,1000,2055,0.09,0.699,2014,3308,3902
Completed,0.74,612,61,0.083,0.701,2961,2399,1296
Completed,0.75,1408,253,0.987,0.167,3553,4009,3778
Completed,0.83,238,1,0.567,0.238,3955,1556,4477
Completed,0.74,650,74,0.576,0.189,3289,4049,4529
Completed,0.74,372,26,0.647,0.999,2095,1,3253
Completed,0.75,2296,2301,0.985,0.439,3389,603,1396
Completed,0.76,3852,518,0.999,0.67,2710,576,761
Completed,0.75,4744,2670,0.822,0.532,4214,2025,1285
Completed,0.82,181,1,0.573,0.195,2777,1380,4483
Completed,0.75,5849,798,0.808,0.422,3464,453,366
Completed,0.76,4700,653,0.831,0.898,3108,554,1738
Completed,0.76,3541,2621,0.475,0.71,2447,647,546
Completed,0.76,6073,1081,0.034,0.831,760,4347,4414
Completed,0.76,3362,2430,0.656,0.961,3877,1084,4980
Completed,0.75,1230,2210,0.86,0.435,300,187,717
Completed,0.76,5551,2987,0.932,0.545,4720,3718,4697
Completed,0.76,5314,812,0.624,0.916,3321,1286,204
Completed,0.75,5188,2724,0.052,0.176,3524,624,3784
Completed,0.75,2792,325,0.965,0.083,4108,4286,2258
Completed,0.75,5722,2795,0.335,0.894,886,1230,2078
Completed,0.75,815,66,0.417,0.41,3749,3908,4831
Completed,0.75,4228,490,0.681,0.576,4525,876,4111
Completed,0.74,1409,334,0.033,0.07,689,3028,2344
Completed,0.71,26,3129,0.001,0.999,1,5000,5000
Completed,0.71,26,3485,0.001,0.001,1,5000,1
Completed,0.75,5801,1022,0.001,0.207,5000,1771,5000
Completed,0.71,27,5000,0.999,0.722,1,554,3092
Completed,0.75,1453,228,0.629,0.358,658,3276,3457
Completed,0.71,27,587,0.999,0.999,1,5000,1
Completed,0.71,29,1895,0.001,0.001,1,4660,2614
Completed,0.71,26,4850,0.001,0.999,1,487,1
Completed,0.71,27,4518,0.999,0.001,1,1,1489
Completed,0.71,27,4229,0.001,0.999,1,5000,1
Completed,0.71,26,4883,0.414,0.999,1,2937,5000
Completed,0.71,26,3614,0.918,0.672,1,1662,1
Completed,0.71,26,4712,0.496,0.001,1,1,4606
Completed,0.71,28,4408,0.999,0.077,1,493,2881
Completed,0.75,6103,1911,0.001,0.001,457,1,1
Completed,0.83,205,1,0.999,0.999,5000,1,1388
Completed,0.8,162,1,0.001,0.001,5000,1086,5000
Completed,0.83,1123,1,0.999,0.999,1458,399,1727
Completed,0.83,214,1,0.001,0.791,355,204,2519
Completed,0.8,214,1,0.001,0.001,5000,1,4138
Completed,0.71,26,1,0.001,0.999,1,1909,1528
Completed,0.82,237,1,0.001,0.477,2866,1,3158
Completed,0.83,265,1,0.999,0.611,3869,1563,2622
Completed,0.83,1324,1,0.999,0.999,3536,1466,1317
Completed,0.83,183,1,0.999,0.001,4989,314,1
Completed,0.71,26,1,0.999,0.999,1,1165,1592
Completed,0.71,26,1,0.001,0.999,1,1,1
Completed,0.74,602,2065,0.001,0.999,5000,1,548
Completed,0.71,28,1950,0.999,0.999,1,4751,2439
Completed,0.71,28,1933,0.999,0.001,1,5000,5000
Completed,0.83,220,1,0.999,0.001,5000,1,2418
Completed,0.71,27,1906,0.001,0.662,1,5000,5000
Completed,0.71,27,2058,0.999,0.999,1,5000,1
Completed,0.82,4494,1,0.001,0.404,2792,5000,1
Completed,0.82,2507,1,0.001,0.335,1906,1779,1
Completed,0.83,245,1,0.999,0.404,5000,1,1205
Completed,0.71,28,2016,0.001,0.651,1,1,5000
Completed,0.83,268,1,0.088,0.999,5000,1,1461
Completed,0.83,235,1,0.584,0.487,2798,1,2054
Completed,0.83,255,1,0.001,0.23,5000,4008,4453
Completed,0.71,26,4000,0.001,0.244,1,2054,2533
Completed,0.71,26,3833,0.999,0.417,1,5000,2104
Completed,0.71,26,3955,0.999,0.999,1,2478,4815
Completed,0.71,26,3901,0.999,0.001,1,1,4
Completed,0.71,27,3793,0.001,0.092,1,1,1199
Completed,0.83,233,1,0.999,0.001,3346,1,1143
Completed,0.74,2979,2064,0.999,0.999,1418,1,1
Completed,0.8,195,1,0.001,0.001,5000,3751,4553
Completed,0.71,26,1592,0.001,0.999,1,5000,521
Completed,0.83,186,1,0.999,0.001,2880,1,3096
Completed,0.73,400,27,0.999,0.001,2814,1,2588
Completed,0.71,26,1532,0.001,0.999,1,2757,2296
Completed,0.76,6954,3369,0.001,0.256,1958,1,5000
Completed,0.71,26,1639,0.999,0.001,1,5000,2404
Completed,0.75,7109,3346,0.001,0.001,2682,4413,4316
Completed,0.75,6310,2214,0.001,0.999,5000,5000,46
Completed,0.83,195,1,0.999,0.001,5000,5000,3410
Completed,0.74,6770,2269,0.001,0.404,2944,5000,1
Completed,0.75,2630,2220,0.001,0.999,5000,2809,1422
Completed,0.73,760,73,0.001,0.999,1661,1,1236
Completed,0.74,1016,107,0.999,0.001,4694,1,1
Completed,0.74,2028,2129,0.001,0.999,3865,5000,1275
Completed,0.71,26,4539,0.999,0.999,1,1,2283
Completed,0.74,2299,2123,0.999,0.999,3385,226,3558
Completed,0.74,2404,2168,0.999,0.999,1575,2258,4179
Completed,0.71,53,2275,0.999,0.999,1,1,4156
Completed,0.74,4258,1311,0.001,0.001,240,1,1
Completed,0.74,2274,151,0.001,0.999,1532,4202,1913
Completed,0.8,161,1,0.001,0.001,5000,2052,1894
Completed,0.76,3967,430,0.999,0.001,5000,1,5000
Completed,0.74,1997,83,0.001,0.999,5000,5000,2190
Completed,0.74,779,84,0.999,0.999,4320,1,1972
Completed,0.83,268,1,0.999,0.999,5000,1,2888
Completed,0.75,2247,236,0.001,0.999,1024,4401,84
Completed,0.79,132,1,0.001,0.001,1020,5000,5000
Completed,0.81,183,1,0.001,0.001,3388,2492,3074
Completed,0.74,2033,2078,0.999,0.999,4318,5000,4844
Completed,0.71,27,2422,0.001,0.001,1,1,3931
Completed,0.71,26,270,0.001,0.999,1,1074,1
Completed,0.71,27,4798,0.999,0.057,1,3187,2729
Completed,0.71,25,1,0.999,0.001,1,5000,3313
Completed,0.71,26,2444,0.001,0.999,1,1,1
Completed,0.83,187,1,0.999,0.001,2630,5000,5000
Completed,0.71,26,4153,0.999,0.999,1,1,2083
Completed,0.75,761,2085,0.001,0.001,5000,1,2400
Completed,0.75,6497,3256,0.001,0.001,5000,1,429
Completed,0.71,27,2168,0.001,0.001,1,1823,5000
Completed,0.71,26,4124,0.001,0.999,1,5000,4288
Completed,0.71,26,536,0.001,0.001,1,5000,1
Completed,0.71,27,3336,0.999,0.999,1,4728,1
Completed,0.8,217,1,0.001,0.001,2342,2984,4231
Completed,0.81,250,1,0.001,0.237,4216,1,1583
Completed,0.76,6105,2917,0.57,0.119,2288,4262,1553
Completed,0.75,2155,2254,0.822,0.283,1238,1516,4427
Completed,0.75,4152,773,0.62,0.463,120,3250,480
Completed,0.74,2282,223,0.798,0.917,2411,2496,1618
Completed,0.76,4679,2639,0.949,0.403,4567,2679,4060
Completed,0.75,4224,2563,0.074,0.157,2851,93,4856
Completed,0.76,6839,1133,0.732,0.761,751,4048,214
Completed,0.75,2148,302,0.18,0.647,66,4734,1985
Completed,0.75,3180,414,0.912,0.37,1780,442,1265
Completed,0.76,5429,698,0.497,0.226,2466,860,934
Completed,0.76,6869,2996,0.839,0.825,3939,4385,4331
Completed,0.75,4086,2487,0.584,0.521,2577,2341,2195
Completed,0.75,2527,2331,0.2,0.03,1396,3751,4178
Completed,0.76,4858,2840,0.439,0.318,259,1713,2349
Completed,0.76,6548,855,0.849,0.732,3646,3051,2702
Completed,0.75,4515,570,0.309,0.861,3116,3151,4477
Completed,0.74,1244,145,0.544,0.157,3903,1359,3752
Completed,0.83,184,1,0.999,0.001,5000,5000,5000
Completed,0.76,7001,1576,0.001,0.001,2656,538,4825
Completed,0.71,31,1,0.001,0.001,1,1,1372
Completed,0.8,230,1,0.001,0.001,3378,1,3414
Completed,0.71,27,3676,0.001,0.999,1,5000,5000
Completed,0.8,222,1,0.001,0.001,3947,5000,4645
Completed,0.83,196,1,0.999,0.001,5000,2592,3429
