Status,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
Completed,0.91,8,2948,0.001,0.786,600,5000,4222
Completed,0.9,132,2892,0.999,0.001,5000,4244,4279
Completed,0.91,125,3506,0.999,0.345,1220,1901,5000
Completed,0.91,1,5000,0.999,0.001,1,200,1573
Completed,0.91,1,1954,0.999,0.999,1,25,5000
Completed,0.91,1,5000,0.999,0.409,1,4388,3457
Completed,0.91,1,2745,0.999,0.484,1,1453,1
Completed,0.91,1,3017,0.999,0.001,1,5000,5000
Completed,0.92,211,2752,0.999,0.001,85,2723,1
Completed,0.91,1,2885,0.999,0.292,1,2066,87
Completed,0.91,1,2001,0.858,0.603,1,4431,27
Completed,0.91,133,3564,0.256,0.034,5000,615,952
Completed,0.93,334,2992,0.999,0.001,4927,1,1801
Completed,0.91,1,2101,0.943,0.695,1,3453,1
Completed,0.92,71,2296,0.999,0.001,3288,1,1913
Completed,0.92,388,3394,0.999,0.868,5000,885,1
Completed,0.91,204,3394,0.521,0.999,5000,1,1842
Completed,0.92,312,2926,0.999,0.5,5000,1,1
Completed,0.92,228,3187,0.54,0.001,5000,1,3520
Completed,0.92,464,3323,0.437,0.758,5000,1,1
Completed,0.92,164,2411,0.777,0.999,4129,1,5000
Completed,0.91,1,5000,0.787,0.744,1,2819,1028
Completed,0.91,1,1910,0.732,0.615,1,4676,968
Completed,0.92,171,3643,0.273,0.63,5000,1,4083
Completed,0.92,640,1954,0.999,0.999,3574,1,5000
Completed,0.91,147,5000,0.278,0.001,37,2039,5000
Completed,0.91,8,1420,0.999,0.999,4644,266,5000
Completed,0.91,1,1903,0.999,0.327,1,3984,1
Completed,0.92,506,5000,0.999,0.593,1994,2230,1
Completed,0.92,94,2661,0.476,0.329,5000,1,3609
Completed,0.91,1,5000,0.403,0.666,1,2350,3452
Completed,0.91,8,5000,0.001,0.447,1191,2181,5000
Completed,0.91,1,1854,0.72,0.794,1,4065,1
Completed,0.92,185,2589,0.999,0.999,5000,1,2399
