index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,batch_size,theta,lambida
0,0.2842152292152295,0.949627996220149,1931.0,203.0,0.9947036969605834,0.0811676114629954
1,0.2890512265512269,0.9471361960184902,1547.0,122.0,0.9976785752899718,0.0941593005541134
2,0.2922608110843407,0.9469102738858995,1678.0,372.0,0.9920605130977928,0.1182446724139154
3,0.297676212676213,0.9450243560084908,1303.0,326.0,0.9654762680092828,0.0909392123818397
4,0.2987254412254417,0.9353093353245152,13.0,1517.0,0.6664525584317744,0.1844250477384776
5,0.3120437895437899,0.9336565199520894,241.0,2208.0,0.0914525466794148,0.170158229123801
6,0.3159002835910008,0.929650149813662,57.0,68.0,0.1611384132429957,0.1284070926439017
7,0.3169545515248643,0.9289655379679548,62.0,1344.0,0.0593016823427751,0.1799250172991305
8,0.3170364694537492,0.9256046190824432,146.0,847.0,0.168114564073272,0.1836043243966996
9,0.3178874067109365,0.9233143727325532,166.0,1238.0,0.1664050696995109,0.2202603734601289
10,0.3185094636266515,0.9231576976181692,99.0,294.0,0.1735642033684998,0.1895420285835862
11,0.3250687496735294,0.9202974618685336,102.0,721.0,0.1644245793353766,0.2823140554446727
12,0.3256623931623935,0.9147574301410396,4871.0,116.0,0.1773568130526691,0.2310765404850244
13,0.3276015824453327,0.9111579751031758,150.0,1162.0,0.0205789798591285,0.1952526322491467
14,0.3298817848817853,0.9111149002612422,136.0,672.0,0.313031914726831,0.3729020856954157
15,0.3351548451548455,0.9109587544782622,863.0,558.0,0.168599267212674,0.2841755740735679
16,0.3382470090673219,0.9063088236769634,816.0,1030.0,0.1616121619557961,0.2772138829529285
17,0.3447587135087139,0.8974060685865815,814.0,153.0,0.1850103722996004,0.3066585696578598
18,0.3748858086358089,0.8843899559890567,611.0,532.0,0.3140416250952503,0.4278672126081422
19,0.6048646058802308,0.5155287615669902,4494.0,3002.0,0.1229414506114123,0.9983154764631152
