index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,batch_size,theta,lambida
0,0.2651091664326965,0.9273270016024328,4718.0,112.0,0.3456250386843458,0.1951059448830783
1,0.2657148760825238,0.9238558595041364,4071.0,112.0,0.3323863728093501,0.1759423480283294
2,0.2690397565397573,0.922843521822548,4240.0,141.0,0.3341286870902404,0.2049744345638901
3,0.2702017361723253,0.9191433257618888,3227.0,1187.0,0.3904622445646673,0.1394222049899399
4,0.2738587148145979,0.9189982209220744,4971.0,346.0,0.3478180369231849,0.1535791112501174
5,0.2756684709625894,0.9182991387379436,3882.0,565.0,0.3446169020785019,0.2321219793539494
6,0.2772445637151528,0.9158339547930658,4211.0,816.0,0.3442531200293451,0.1556155468020588
7,0.2786930879577945,0.9087101970065226,1197.0,46.0,0.1759116986570879,0.1733736697249114
8,0.2800701586845896,0.9052172225930722,4062.0,421.0,0.3377957525700331,0.2513100010920316
9,0.2920029643559061,0.893160128296628,3888.0,273.0,0.3202352717528119,0.2746117920298129
10,0.2961246814187998,0.8782998270234947,566.0,191.0,0.1828367951977998,0.3238901272173971
11,0.3112858737123448,0.8628742875841044,35.0,2787.0,0.0555135323453951,0.3146742301305237
12,0.5168311464543083,0.6060424490924686,293.0,3342.0,0.0621081238193437,0.8226173985786736
13,0.5270182454902125,0.6049800780597508,4836.0,2560.0,0.0772261104748292,0.970348212938532
14,0.5656634131289462,0.5692398936615956,4837.0,2510.0,0.0174321175273507,0.976596184466034
15,0.5775527989337729,0.5448440511148094,4075.0,4915.0,0.0506654576612636,0.9928365959879012
16,0.5904642522680207,0.5392032091956006,4963.0,4655.0,0.0670789819154888,0.9930727039054036
17,0.5943789932323937,0.5238476253998344,4719.0,2954.0,0.0807714690277353,0.998167365629226
18,0.615714300507499,0.5046479369985174,1405.0,3841.0,0.0405963304894279,0.9955069638602358
19,0.6573234533712473,0.4456235126483954,3252.0,3704.0,0.0167276090751827,0.997098371627302
