index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,batch_size,theta,lambida
0,0.2048445998445999,0.9568156239027787,4914.0,589.0,0.5842291961777956,0.0057447033300995
1,0.2111606405747031,0.9547018601064416,167.0,1116.0,0.9892576387412846,0.0019015491772443
2,0.221878676878677,0.9544550180285932,41.0,102.0,0.9928779939282686,0.0971735955309122
3,0.2398212898212899,0.952163714940657,298.0,54.0,0.0943233144767582,0.1555797505117953
4,0.2453369893994895,0.9485810529960632,286.0,1098.0,0.0788363026734441,0.1362965288404375
5,0.2463947163947165,0.9472452475930464,334.0,702.0,0.1010304622147232,0.1791070646774023
6,0.2465997890997892,0.945932348276088,4310.0,302.0,0.1008259715214371,0.0797800690662115
7,0.2579435234903985,0.944866113762117,519.0,646.0,0.0935810930602643,0.2145829980383857
8,0.2627472527472528,0.9414537484042468,252.0,555.0,0.0755666445130482,0.2358599883522838
9,0.2931457604895104,0.9091979398073472,639.0,1128.0,0.6869746858030558,0.4937883291337639
10,0.3000977971681097,0.9071326627404072,963.0,371.0,0.0866707636239007,0.3376292905006557
11,0.3242299323939948,0.8829067416401316,265.0,71.0,0.9730610404445024,0.431868857647096
12,0.3633367327117325,0.8512141488283316,1250.0,346.0,0.9624310397793367,0.5697420231142476
13,0.3829035779035777,0.8180120958553762,1261.0,469.0,0.2920626255031675,0.5802568080145866
14,0.3850422147297145,0.8176160754651763,1297.0,516.0,0.0444725613584741,0.5375749670583755
15,0.3914026034729155,0.8093687038594526,1818.0,398.0,0.9082290374832228,0.8899028497096151
16,0.402443858225108,0.8046753099371714,1501.0,410.0,0.2843039309643209,0.7037902518548071
17,0.4277719155844152,0.7585067271035403,226.0,1390.0,0.9720375441976932,0.9663495869448628
18,0.5132819307428681,0.6621422349624597,236.0,4266.0,0.2019914874695241,0.9750478436425328
19,0.5311639315545564,0.6402808290121381,3757.0,4172.0,0.0993659615619108,0.9675950156711042
