index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,batch_size,theta,lambida
0,0.8661928104575164,0.9922312874300458,3706.0,59.0,0.4908529409123585,0.0073386843539774
1,0.8673319327731092,0.9920060468210206,3552.0,103.0,0.5058230764334779,0.0017602099351241
2,0.8677684407096171,0.990581067673887,763.0,150.0,0.585277364728041,0.1425181542225182
3,0.8677684407096173,0.9904897413166938,754.0,122.0,0.6101399309126077,0.1027092426190468
4,0.8714985994397758,0.9904689835007868,827.0,1058.0,0.5828925823286408,0.2476638230603525
5,0.8717693744164334,0.9879242737516089,228.0,503.0,0.1196128903655335,0.0065526261497288
6,0.8761169467787114,0.9875568061684764,223.0,1019.0,0.8111204069936648,0.2548479429110885
7,0.8811679823444528,0.9823814056353652,280.0,122.0,0.9849063588827848,0.2211918977200985
8,0.897104978354978,0.9706278298907745,1152.0,4955.0,0.6580958660803735,0.7086274262238293
9,0.9100397179073646,0.952196845056742,753.0,346.0,0.98676468422357,0.6635708802100271
10,0.9179714158390626,0.9324457796112322,424.0,1785.0,0.4407423806888982,0.7543801042642444
11,0.922200152788388,0.9151685688785332,781.0,689.0,0.6866393151115626,0.746343403507024
12,0.9241272670684434,0.9148937070091766,407.0,601.0,0.0860564830340445,0.7173493099696934
13,0.9304876496052964,0.8900481857383578,1292.0,783.0,0.1703024060837924,0.7629771420229227
14,0.9351639645757291,0.8591322038349193,1070.0,3248.0,0.0566509334687143,0.8066850147247314
15,0.938725399566392,0.8579798988876287,3902.0,4848.0,0.0221290861163288,0.9655349616128952
16,0.9421017598958772,0.852651454636451,116.0,3394.0,0.0004410584857687,0.8090035869088024
17,0.9438641978255948,0.8489048816093324,3727.0,4260.0,0.0072420929353684,0.8807536476906389
18,0.9451384445823784,0.8357178537426637,131.0,3649.0,0.0141616769079118,0.973575505686924
19,0.9476743560429224,0.8244746362359195,4256.0,4240.0,0.0171292137689888,0.9888193800151348
