index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,batch_size,theta,lambida
0,0.3734752747252752,0.9605630999223836,4586.0,215.0,0.5468688609525562,0.0545917059071362
1,0.3902059541765429,0.9598140487488354,4609.0,38.0,0.7161433279830962,0.0313194020856171
2,0.3970383538030602,0.955133219558053,4856.0,171.0,0.7568285261336714,0.0379177217762917
3,0.3979366874955116,0.9502146258488048,4616.0,2698.0,0.9488661734825,0.3016749874018132
4,0.4010270774976662,0.9474158194568928,4908.0,278.0,0.7332257626103237,0.118756215557456
5,0.4047557480645721,0.9461738039418172,112.0,1156.0,0.8570503899632022,0.2604659853801131
6,0.4054125667360967,0.9421824891622584,4473.0,386.0,0.7990554006913679,0.284615348681221
7,0.4201599408217061,0.9400901317480232,3386.0,171.0,0.897667601633817,0.3581374790146946
8,0.4980868994839581,0.8719723221059053,4487.0,253.0,0.8868936876822263,0.4985113937072455
9,0.5118593933299813,0.8688705674042929,4447.0,91.0,0.8800554580511525,0.5238331901337951
10,0.5171046328399267,0.8514162331915356,4273.0,307.0,0.8939607910761275,0.5308817571014397
11,0.5546583889966242,0.8239406985862461,4369.0,63.0,0.6236135259317234,0.616112754734233
12,0.6465512918454092,0.733683562943526,721.0,544.0,0.2407546768588945,0.6976576213315129
13,0.7242498841028242,0.5354133760905616,2120.0,1901.0,0.0229670867258682,0.8560611690636725
14,0.7284141865759506,0.5338089264837442,1907.0,3630.0,0.0238049533590674,0.8964540355578065
15,0.7316349717820292,0.5312934979694847,1628.0,1884.0,0.0067726249527186,0.8422818558998406
16,0.7332816529875342,0.5086472946936308,2090.0,2617.0,0.0232790683116763,0.987827268909663
17,0.7357141496847368,0.5037588637487201,1291.0,3703.0,0.0190506708081811,0.9898644331581892
18,0.7369105186752233,0.4862071965183967,3852.0,3458.0,0.0271803635107353,0.9940482445992528
19,0.7399049670373191,0.4828852304219515,1588.0,3379.0,0.0154821607433259,0.9980579533241688
