index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,batch_size,theta,lambida
0,0.4281252407723006,0.9572189094965224,1974.0,587.0,0.5412925405148417,0.0349829269535839
1,0.4374227624227634,0.953849974778792,2911.0,1371.0,0.3385118114501237,0.0378503099065274
2,0.4374790732143683,0.9485954603586182,1953.0,1366.0,0.5294898352716119,0.04017030881159
3,0.4382538050185117,0.9423732449336176,1769.0,597.0,0.8470802345015108,0.2284552441313863
4,0.4387633091309568,0.940993236138386,3674.0,493.0,0.9134975339790348,0.2431542741433077
5,0.4397742872595821,0.9396517500283026,3801.0,388.0,0.9021853815196084,0.2555907087307423
6,0.4443196781432084,0.936462951182766,1363.0,613.0,0.8942176513262093,0.2597060078214854
7,0.4531401360077838,0.9330788355265068,1415.0,604.0,0.8283819419369102,0.2712735242284834
8,0.4548872233431063,0.9279436031684902,1149.0,233.0,0.907269324950874,0.2562985054794699
9,0.4620209909915799,0.925193213323114,1619.0,566.0,0.922753058985807,0.2948102315161377
10,0.4629565015594432,0.9194741146811428,1581.0,497.0,0.948106942587532,0.2729028702732176
11,0.7570772252665622,0.3921905183106666,317.0,4358.0,0.0086434382041259,0.6647609721000932
12,0.7653461780254047,0.3792605831860017,241.0,4935.0,0.0089739472855999,0.6889811193947935
13,0.7664912837706944,0.3769682044299242,1806.0,4251.0,0.0633715839749202,0.8633215783815831
14,0.7891364436217368,0.3592422416952883,4634.0,4354.0,0.0616425485936924,0.922862501695752
15,0.8096524309024299,0.3123603819354018,1842.0,3613.0,0.0088909276602789,0.9099944589305669
16,0.8134500924871068,0.3048337260717166,116.0,3394.0,0.0004410584857687,0.8090035869088024
17,0.8160064064475822,0.2901917446822959,4011.0,3831.0,0.024468981038779,0.9365368323605509
18,0.827110987120177,0.2830479692209818,418.0,3884.0,0.0020315502360463,0.9221704128198326
19,0.8274161564878469,0.2262103656749128,3960.0,3914.0,0.0135030603837221,0.9952426210567356
