index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,batch_size,theta,lambida
0,0.4078629806794517,0.9795906623686896,4640.0,297.0,0.5067101767938584,0.1833281695619225
1,0.4163413976872805,0.9790572143428043,4795.0,336.0,0.5071133134625853,0.0108462789878249
2,0.4312203150661979,0.9765454250864328,4391.0,402.0,0.5048359296675772,0.2431411794051527
3,0.4375017806267811,0.966788239897192,167.0,1254.0,0.2507321331007406,0.2830059342253953
4,0.4379173418833351,0.9667493776223264,14.0,2714.0,0.2422746105277911,0.1284551155064255
5,0.5328334132969427,0.8982348117470478,1234.0,93.0,0.2328972222606323,0.666887055685869
6,0.5650192748210394,0.8867235175836432,1292.0,77.0,0.1794553309902548,0.697884221471846
7,0.4090161085972854,0.9786916985906688,4792.0,143.0,0.4703157244557515,0.1412450011223554
8,0.4167627628145279,0.9759946453079018,4741.0,219.0,0.4905606305887923,0.1996898423824459
9,0.4235953120735479,0.9758548994164126,629.0,424.0,0.2128642713082954,0.0026289042104035
10,0.4275842131724489,0.9725147690039074,3299.0,1201.0,0.3334027000050992,0.1371576981563121
11,0.4863576400111327,0.941383558390668,1137.0,4941.0,0.1127769774086773,0.4682050805874169
12,0.490029675866073,0.937274646127225,259.0,4925.0,0.0837682190325367,0.4401462340626087
13,0.4906930977519213,0.934411901929447,208.0,2463.0,0.2214476744871101,0.5586031593354035
14,0.5003336206277382,0.9299434466354352,229.0,2789.0,0.2214476744871101,0.5586031593354035
15,0.540985302257655,0.8848469928574133,1507.0,58.0,0.1807201118501162,0.6817954313200892
16,0.5465012650530295,0.8614300646306676,1321.0,165.0,0.1564614245200765,0.6791688832032253
17,0.5465394042232276,0.8017255765678322,4814.0,3033.0,0.0683268626695498,0.8924947972055525
18,0.5478875893306038,0.7960384627184312,4940.0,3270.0,0.0719014872657135,0.923941138708964
19,0.5641751751448445,0.7834135555672268,4719.0,2954.0,0.0807714690277353,0.954204074960202
