index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,delta
0,0.7390233886483887,0.9575533800921464,1.0,0.2215103036297461
1,0.7444216470258134,0.9529981893530276,1.0,0.3039460716191679
2,0.748963393859227,0.942712912296846,3.0,0.2844024924207479
3,0.75030628707712,0.9402243133001496,3.0,0.2914376210998743
4,0.7793408790283795,0.9083656098352691,85.0,0.2827838853560388
5,0.7823225809684141,0.901823034259914,121.0,0.2932442263066768
6,0.8818638267596597,0.7421308259640504,1471.0,0.0611741494927555
7,0.8918759519801188,0.7384610596232377,2536.0,0.0019786292891949
8,0.9058307279140612,0.7250580088097092,2601.0,0.0012256319746375
9,0.9145368366201698,0.6978902494860134,2709.0,0.0013395626352816
10,0.918467011383678,0.6930558795329833,2728.0,0.0011666567706358
11,0.9194329204745868,0.6922650746064938,2720.0,0.0010821335855871
12,0.9235623597081928,0.6429626203177643,3848.0,0.0176503721307963
13,0.9286436788520118,0.6220087205487699,3841.0,0.0111796414075163
14,0.931068422318422,0.6161302789096672,3845.0,0.0059112820681184
15,0.934890021244188,0.6058485304653547,3850.0,0.003742662442848
16,0.9374527517235856,0.582788881355261,3859.0,0.0012321465592831
17,0.9377735189193528,0.5703437184384391,3931.0,0.0019248962812125
18,0.9437970478595482,0.5589949581388571,3976.0,0.001069194573909
19,0.9449967933301276,0.5236994041766985,4196.0,0.0014044842310249
