index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,delta
0,0.5495334180810371,0.9304540484725352,1.0,0.2733556947857141
1,0.5741905048214567,0.9227066909277416,1.0,0.2124582297983933
2,0.57496809363476,0.9142316400192032,3.0,0.2914376210998743
3,0.6063199254449253,0.7816732457931178,100.0,0.2383036658428609
4,0.6094724025974023,0.7772881568641374,102.0,0.2271163683347938
5,0.6458103655603656,0.7545543488194066,2444.0,0.8431641048416495
6,0.7046251202501188,0.723905558483617,905.0,0.6844223796203732
7,0.7051522967772954,0.717561375835608,872.0,0.6850340720713138
8,0.7054291927208582,0.7074747139616769,961.0,0.689490800831467
9,0.7060287197370517,0.7068850033494417,963.0,0.6864483903497457
10,0.7144749879749878,0.6912231071483887,909.0,0.5100913286283613
11,0.7817355699855684,0.5378167838314922,1443.0,0.0718656489867717
12,0.7852792207792195,0.5340576290038553,1467.0,0.071502709755674
13,0.7912000761584081,0.5286104745629302,1505.0,0.0707978933715188
14,0.7958692279942268,0.5125427645644204,1555.0,0.0683087675627321
15,0.8208839185505856,0.3591051782006944,2839.0,0.0011620820108801
16,0.8406341189674515,0.3205329342769785,3880.0,0.0164050426799803
17,0.853369368286035,0.2812814976752395,3946.0,0.0115618956014513
18,0.8549683742183741,0.2739639325012771,3852.0,0.0108384476769715
19,0.8565454144620813,0.2542332614173988,3859.0,0.0012321465592831
