index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,delta
0,0.4918407687991017,0.8895946135785414,1.0,0.0011736058667302
1,0.4929771324354652,0.8884570137003586,1.0,0.0014040105958392
2,0.4969558080808077,0.8746219130064052,4.0,0.0013100426132346
3,0.5099136503928167,0.861642212267215,1.0,0.0031642543394495
4,0.5099857603815935,0.8528170331422125,10.0,0.0010155474330989
5,0.5112840909090905,0.8465136072889177,5.0,0.0024415327497341
6,0.522579335016835,0.8286484951231455,7.0,0.0043503715563565
7,0.5463739478114473,0.7745594954619974,26.0,0.0039729744469337
8,0.5529557379349046,0.7423168193200048,56.0,0.009876156353644
9,0.614830878226711,0.7006311671297248,99.0,0.0108230517115443
10,0.656687219416385,0.6612786381199015,122.0,0.0020960643384605
11,0.6572333052749705,0.6499939922145657,128.0,0.001775253651254
12,0.6624833052749715,0.6295494911789702,178.0,0.007051849419251
13,0.7587829685746346,0.495227961059524,2548.0,0.0254585887936389
14,0.7759404461279454,0.4604416926530337,2645.0,0.0252483692076057
15,0.7846723484848478,0.4469754694312188,2686.0,0.0253580615147948
16,0.7884356219117571,0.4440406150028504,2601.0,0.0011578067317605
17,0.7968080966592321,0.4204499714125586,2617.0,0.0015852469057104
18,0.8733033810325475,0.1897097193528808,4182.0,0.005211930161342
19,0.8755648849607179,0.1833913800133947,4168.0,0.0049089740775525
