index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,delta
0,0.2693944003527336,0.8536629941650256,1.0,0.188269992031157
1,0.2772480459355458,0.8379807743699162,2.0,0.1806408678424653
2,0.2778619929453265,0.7966940199668355,3.0,0.1224870234706885
3,0.2799628627545296,0.764806453084724,5.0,0.1304868382401764
4,0.2818070687029023,0.7560390020768105,9.0,0.1231996456049382
5,0.2840027958152958,0.7545747922450441,8.0,0.1456411814112216
6,0.2890028258778258,0.7466352511123545,13.0,0.1835064346063882
7,0.3037558221099883,0.739691141608503,1.0,0.001731452917778
8,0.3040312149270479,0.7246008160271483,4.0,0.0015475560028136
9,0.3114365179573509,0.7189793233877886,4.0,0.0019340505155596
10,0.8092965969215966,0.2089113429489055,1236.0,0.0016495066961005
11,0.8240791245791244,0.2010178729036709,1238.0,0.0010542758125811
12,0.8250203603495273,0.1578363082192156,3375.0,0.0015072583332657
13,0.8256759860509861,0.1514298150409399,3469.0,0.0019638982787728
14,0.8331723665223669,0.1494282841264629,3400.0,0.0013878450393676
15,0.8449281605739934,0.1212367992288425,3643.0,0.0014424331504851
16,0.84498712321629,0.0908600199478778,3894.0,0.0018381432797759
17,0.84807866362033,0.0822626252894048,3859.0,0.0012321465592831
18,0.8596260121051789,0.0811042942791364,3931.0,0.0019248962812125
19,0.8697539181497511,0.048494696334132,3999.0,0.001324535805732
