index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0.3330972222222223,0.687381558373011,2110.0,2.0,1.0,1.0,0.1942941147743568
1,0.3444166666666667,0.6766070018928814,2294.0,1.0,1.0,4.0,0.162588854399047
2,0.3458385416666668,0.6717177866606038,2395.0,2.0,1.0,4.0,0.1928075285071468
3,0.3624340277777778,0.6656294420520064,2283.0,2.0,1.0,8.0,0.1925128316607122
4,0.3683993055555555,0.6552286845481142,2202.0,1.0,1.0,10.0,0.2551863533657834
5,0.3741354166666668,0.6515781613965645,1917.0,1.0,1.0,13.0,0.129286943154648
6,0.3772118055555556,0.6479490116585794,2203.0,2.0,1.0,15.0,0.193194710561029
7,0.4699513888888888,0.580696446201299,2229.0,8.0,9.0,9.0,0.1607964963924715
8,0.4779444444444446,0.5756361695340128,2071.0,5.0,8.0,38.0,0.6711158644088785
9,0.4860850694444444,0.5670885067415214,2143.0,7.0,9.0,20.0,0.2054295885674967
10,0.4937013888888888,0.5626289821291232,2224.0,5.0,8.0,39.0,0.246130248806389
11,0.553453125,0.5192291200973748,2027.0,50.0,27.0,16.0,0.1332734591744109
12,0.5603107638888889,0.5071220817602032,2363.0,54.0,21.0,38.0,0.0714202496407148
13,0.6252430555555555,0.4752850015236639,1677.0,54.0,68.0,38.0,0.1639519238833323
14,0.6835677083333334,0.3795481013851153,2193.0,50.0,79.0,228.0,0.1413773025739938
15,0.6861510416666665,0.3637317611823174,2698.0,40.0,77.0,206.0,0.4477018115421427
16,0.6900052083333332,0.3584243087752551,2830.0,41.0,79.0,182.0,0.4454345551884227
17,0.6964704861111112,0.3555599528355491,2698.0,46.0,78.0,254.0,0.2842218142358753
18,0.7017517361111113,0.2902020646395909,2506.0,40.0,69.0,608.0,0.5138551373397412
19,0.7047604166666666,0.2824236215202794,2983.0,43.0,74.0,605.0,0.6134891319423914
