index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0.4711331018518519,0.7164275961259111,3142.0,1.0,1.0,3.0,0.2837625738600605
1,0.4795538194444443,0.7120925861327089,2956.0,6.0,1.0,4.0,0.4215741607910607
2,0.4875104166666665,0.6952924918745367,3071.0,23.0,1.0,1.0,0.4972920064047254
3,0.5035798611111109,0.6932040066277518,3087.0,55.0,1.0,1.0,0.4925460342547593
4,0.5155127314814809,0.675097193207444,2992.0,87.0,1.0,3.0,0.4799853783630732
5,0.5169415509259256,0.6679847973029913,3096.0,3.0,1.0,30.0,0.6887919690393913
6,0.6350057870370367,0.4501894709858563,4081.0,218.0,6.0,50.0,0.9342979377030126
7,0.647529513888889,0.4340015444717627,4081.0,229.0,23.0,51.0,0.6887919690393913
8,0.4932934027777776,0.6852601061734508,3198.0,1.0,1.0,13.0,0.3347335080267064
9,0.4987968749999998,0.6844410798001727,3191.0,61.0,1.0,1.0,0.4021005105787786
10,0.5144652777777777,0.6804970378256698,4903.0,50.0,1.0,3.0,0.6477725807584325
11,0.5401718749999996,0.6446763389031323,3060.0,51.0,1.0,23.0,0.5175397859934009
12,0.5495515046296292,0.6288687768112525,3261.0,69.0,1.0,29.0,0.4652223376642811
13,0.600762152777778,0.5509363141064447,4562.0,116.0,1.0,51.0,0.8805089975656548
14,0.602271990740741,0.527546589962636,3003.0,85.0,19.0,46.0,0.4320712900823326
15,0.6085439814814816,0.5113659050637552,2976.0,91.0,22.0,60.0,0.4103979547843337
16,0.6098645833333334,0.5103174960332808,4081.0,128.0,3.0,54.0,0.9345422192908832
17,0.6101116898148151,0.495306163725129,4197.0,90.0,12.0,54.0,0.6887919690393913
18,0.6123506944444447,0.4932459807041096,4249.0,90.0,19.0,49.0,0.7047732214564686
19,0.6157170138888888,0.4850797746777101,4388.0,174.0,14.0,43.0,0.5030040787651944
