index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0.315260417,0.669484897,2140,1,1,9,0.089661715
1,0.340353009,0.662385097,2522,4,2,3,0.019413997
2,0.359371528,0.660787378,3788,1,1,7,0.469459586
3,0.378947917,0.65019898,2986,1,1,26,0.030255629
4,0.38590162,0.647633581,2872,24,1,4,0.133653508
5,0.535222222,0.565318713,2138,17,26,22,0.076604917
6,0.558484375,0.56439185,2060,24,24,17,0.33027559
7,0.572192708,0.55219697,2032,46,24,19,0.282506403
8,0.572791088,0.547929837,2409,46,21,17,0.21163313
9,0.640616319,0.492577515,2129,46,80,44,0.089050294
10,0.696652199,0.399067216,2989,54,79,203,0.286907291
11,0.341005208,0.656334956,1563,1,1,18,0.136542218
12,0.36187037,0.648442326,2645,2,1,21,0.027031171
13,0.443013889,0.605354101,1891,17,27,1,0.037761894
14,0.45640625,0.602701306,2014,22,28,4,0.02901131
15,0.556333333,0.554468444,2234,57,23,23,0.052639609
16,0.60559375,0.516705244,2066,46,58,32,0.339339267
17,0.675836806,0.440391268,2152,41,74,134,0.145188286
18,0.695326389,0.397886477,3372,46,71,190,0.342775021
19,0.70590162,0.228215455,3808,169,79,597,0.142921746
