index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0.329171875,0.650407395,31,8,3,2,0.094680686
1,0.413087384,0.603465459,464,4956,20,976,0.08417906
2,0.435358218,0.58857138,170,4880,93,995,0.129952793
3,0.484636574,0.543689317,34,27,50,27,0.148285559
4,0.508719329,0.528474696,108,47,78,8,0.253290373
5,0.53546875,0.527775422,73,41,70,35,0.127650493
6,0.545642361,0.51328218,66,46,64,66,0.038190849
7,0.55409375,0.511508747,66,46,68,65,0.096768293
8,0.55758912,0.509193933,66,46,71,65,0.147385821
9,0.573954861,0.487678826,66,46,86,65,0.19733538
10,0.584561343,0.467842826,337,46,88,81,0.07645042
11,0.358464699,0.616980522,4344,4864,1,40,0.649219841
12,0.419434606,0.601554208,66,4956,31,976,0.096768293
13,0.432774306,0.588387213,320,4920,91,877,0.217543447
14,0.457707755,0.556836315,108,34,60,3,0.25375002
15,0.470581019,0.543705435,100,22,42,20,0.211926172
16,0.508133681,0.524842238,337,46,76,6,0.096768293
17,0.520087963,0.523284265,204,34,63,32,0.069156749
18,0.534484954,0.518578625,47,47,73,33,0.2007888
19,0.535466435,0.505823962,66,46,54,65,0.096768293
