index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0.377315394,0.770009671,4613,4925,17,1000,0.026609435
1,0.387854167,0.769026592,593,4957,42,999,0.892731833
2,0.388984954,0.768197011,17,4953,21,964,0.047357512
3,0.391677662,0.767697071,17,4953,35,964,0.047357512
4,0.393781829,0.766272618,348,4953,36,964,0.047357512
5,0.398565394,0.764673549,17,4953,94,964,0.047357512
6,0.408282986,0.740163752,29,3867,75,879,0.011960639
7,0.476806713,0.572430265,2188,127,25,6,0.146106673
8,0.48815625,0.567580234,2864,49,20,6,0.205270749
9,0.491240162,0.558781909,745,49,42,6,0.260766284
10,0.496790509,0.556639168,2125,58,30,14,0.287984409
11,0.510471065,0.552517166,2073,87,25,26,0.159055171
12,0.52125463,0.537530635,745,49,72,6,0.161486435
13,0.549482639,0.501712508,1103,49,74,33,0.320409502
14,0.612072917,0.382254963,4139,62,67,143,0.854480817
15,0.612638889,0.348119453,2196,161,79,201,0.168147617
16,0.613356481,0.344388184,4555,35,63,274,0.835261418
17,0.618178241,0.342134405,4820,68,86,311,0.379657981
18,0.618405671,0.314635685,3152,33,62,501,0.866235061
19,0.623950231,0.312574187,4226,72,82,584,0.230391823
