index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0.397210648,0.692611549,1904.0,1.0,1.0,10.0,0.744008432
1,0.399406829,0.686356712,1420.0,1.0,1.0,9.0,0.733630362
2,0.408903356,0.677807494,1749.0,1.0,1.0,14.0,0.743847569
3,0.434269676,0.657710677,1555.0,1.0,1.0,27.0,0.703202149
4,0.4610625,0.649281766,1805.0,1.0,1.0,44.0,0.708344884
5,0.487045139,0.642128936,2067.0,3.0,1.0,64.0,0.698449376
6,0.568262153,0.518612032,2475.0,8.0,14.0,51.0,0.120217314
7,0.593921875,0.503819019,2725.0,8.0,14.0,51.0,0.321844784
8,0.617510995,0.491790177,2467.0,12.0,20.0,60.0,0.357225008
9,0.626571181,0.483561746,2704.0,12.0,21.0,83.0,0.188645471
10,0.629017361,0.478789215,2725.0,18.0,19.0,58.0,0.282954677
11,0.63742419,0.470395397,2767.0,30.0,15.0,51.0,0.304306367
12,0.647137153,0.467808221,2725.0,22.0,23.0,51.0,0.334010934
13,0.651314236,0.466075629,2690.0,23.0,24.0,69.0,0.283973904
14,0.662260417,0.460486434,2728.0,26.0,22.0,75.0,0.372806824
15,0.670492477,0.444848448,2236.0,47.0,26.0,85.0,0.304306367
16,0.674404514,0.444235585,3003.0,34.0,22.0,69.0,0.332792152
17,0.681851852,0.437704879,2949.0,75.0,19.0,80.0,0.354865884
18,0.698765625,0.401622868,1613.0,37.0,73.0,196.0,0.094809388
19,0.716820602,0.363490918,3238.0,41.0,78.0,362.0,0.445127877
