index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0.4485677083333333,0.6607947841329935,2793.0,1.0,1.0,7.0,0.2361394161607714
1,0.4500086805555556,0.656284514375937,2764.0,3.0,1.0,6.0,0.2058327882583816
2,0.463666087962963,0.6524185128817647,2708.0,2.0,1.0,12.0,0.1670563192789806
3,0.4649363425925926,0.6338574955324179,2772.0,2.0,1.0,18.0,0.264965616400202
4,0.465384837962963,0.6300022516867785,2764.0,1.0,1.0,22.0,0.1509584789252179
5,0.466015625,0.6205524689093392,2276.0,1.0,1.0,35.0,0.1314481033546288
6,0.5333535879629628,0.5900964558061771,2638.0,64.0,1.0,7.0,0.1241560687451908
7,0.5544965277777776,0.5658389960014591,2839.0,69.0,1.0,14.0,0.343307067112543
8,0.5669965277777776,0.551410178127769,2897.0,59.0,1.0,29.0,0.3318209386825339
9,0.5901996527777775,0.5196585830639137,2023.0,9.0,6.0,53.0,0.7795607470987375
10,0.6850723379629632,0.4556408530496353,2265.0,58.0,23.0,70.0,0.3658266976954424
11,0.698888888888889,0.4542356993589678,2265.0,58.0,27.0,81.0,0.1676087526123674
12,0.7061458333333334,0.4339718619881865,2265.0,58.0,70.0,81.0,0.1676087526123674
13,0.7330410879629629,0.3991451158863546,2800.0,53.0,74.0,81.0,0.3721225267382092
14,0.7439409722222222,0.3659838658535345,3486.0,41.0,72.0,115.0,0.3572051879502833
15,0.7545167824074074,0.3417038578861133,3020.0,58.0,67.0,256.0,0.520290805142869
16,0.7599131944444442,0.3096059041939429,4720.0,49.0,71.0,281.0,0.5562995684407651
17,0.7637037037037036,0.3017934762609844,3176.0,43.0,73.0,430.0,0.6983133269972038
18,0.7708738425925922,0.2822988863914208,1817.0,37.0,68.0,884.0,0.6480452754236757
19,0.7838368055555556,0.2637674396705615,2740.0,38.0,74.0,789.0,0.8495612717438489
