source,accuracy_estimation,runtime_estimation,ACCURACY,RUNTIME,Status,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
benchmark_pareto,0.06,2.0,0.06,1.0,Completed,3598,12,2809,H,3,stdev,0.631,90
benchmark_pareto,0.08,3.0,0.08,2.0,Completed,4446,9,2039,H,2,tstat,0.001,54
benchmark_max_rt,,2840.0,,2067.0,Completed,2332,14,1,KL,2,tstat,0.001,100
benchmark_min_acc,0.04,,0.04,,Completed,1004,6,740,str('KL'),3,str('stdev'),0.331,57
paper_default,-1.0,-1.0,0.04,2.0,Completed,100,0,100,KL,1,stdev,0.001,5
paper_default,-1.0,-1.0,0.04,2.0,Completed,100,0,100,KL,2,stdev,0.001,5
paper_default,-1.0,-1.0,0.04,2.0,Completed,100,0,100,KL,3,stdev,0.001,5
paper_default,-1.0,-1.0,0.04,4.0,Completed,100,0,100,KL,1,stdev,0.5,5
paper_default,-1.0,-1.0,0.04,3.0,Completed,100,0,100,KL,2,stdev,0.5,5
paper_default,-1.0,-1.0,0.04,3.0,Completed,100,0,100,KL,3,stdev,0.5,5
paper_default,-1.0,-1.0,0.04,2.0,Completed,100,0,100,KL,1,stdev,0.999,5
paper_default,-1.0,-1.0,0.04,3.0,Completed,100,0,100,KL,2,stdev,0.999,5
paper_default,-1.0,-1.0,0.04,2.0,Completed,100,0,100,KL,3,stdev,0.999,5
recommendation_system,0.6132458953245048,0.7395275984074863,0.06,2.0,Completed,4848,5,1620,H,3,stdev,0.0058180201546745,1
recommendation_system,0.644303737028437,0.7310985486709114,0.06,2.0,Completed,1169,5,1620,H,3,stdev,0.0058180201546745,1
recommendation_system,0.6521395126825097,0.720843861386128,0.06,2.0,Completed,1169,5,644,H,3,stdev,0.0058180201546745,1
recommendation_system,0.652262575053169,0.7138517877380334,0.06,2.0,Completed,1571,5,4924,H,1,stdev,0.6810164574247445,19
recommendation_system,0.6582031139941349,0.7137101507674642,0.06,2.0,Completed,900,5,4997,H,1,stdev,0.6777322464582851,20
recommendation_system,0.6592081700370206,0.7088868145601052,0.06,2.0,Completed,325,5,4791,H,1,stdev,0.7510149662389181,19
recommendation_system,0.6048591534323281,0.7358346747727154,0.06,2.0,Completed,4762,5,4877,H,2,stdev,0.0058180201546745,13
recommendation_system,0.6129213440736924,0.7309603472902838,0.06,2.0,Completed,4119,5,4040,H,2,stdev,0.0058180201546745,6
recommendation_system,0.6175955258260709,0.7306840297534611,0.06,2.0,Completed,1169,5,1620,H,3,stdev,0.0058180201546745,6
recommendation_system,0.6178505454386926,0.7304343346299376,0.06,2.0,Completed,4790,5,3961,H,2,stdev,0.0058180201546745,6
recommendation_system,0.6194018935973511,0.7294485607220786,0.06,2.0,Completed,1011,5,673,H,3,stdev,0.0058180201546745,6
recommendation_system,0.6388623348096548,0.728123697661164,0.06,2.0,Completed,521,5,1620,H,3,stdev,0.0058180201546745,1
recommendation_system,0.6455333423513167,0.7197902072427949,0.06,2.0,Completed,622,5,644,H,3,stdev,0.0058180201546745,1
recommendation_system,0.6463587643451634,0.7164554102546649,0.06,2.0,Completed,1534,5,4040,H,2,stdev,0.0058180201546745,1
recommendation_system,0.64691265575431,0.7117460404543329,0.06,2.0,Completed,1753,5,4040,H,2,stdev,0.0058180201546745,1
recommendation_system,0.6081002892324086,0.7320890217738552,0.06,2.0,Completed,4709,5,1620,H,2,stdev,0.0058180201546745,4
recommendation_system,0.6129879517352754,0.7294860500330657,0.06,2.0,Completed,4692,5,4040,H,2,stdev,0.0058180201546745,6
recommendation_system,0.6425403671215076,0.7189017080142944,0.06,2.0,Completed,1011,5,3203,H,2,stdev,0.0058180201546745,1
recommendation_system,0.6534550295690883,0.7066471727748044,0.06,2.0,Completed,504,5,4791,H,1,stdev,0.6904835936278191,15
recommendation_system,0.6607370096247565,0.6960948332021046,0.06,2.0,Completed,4848,5,1620,H,1,stdev,0.0058180201546745,4
