Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.52,22,4974,1831,0.579,0.493,str('intersection'),0.082,True
Completed,0.52,14,3539,3741,0.529,0.171,str('intersection'),0.048,False
Completed,0.52,22,70,373,0.398,0.874,str('kl'),0.062,True
Completed,0.52,27,891,3024,0.249,0.845,str('kl'),0.083,False
Completed,0.52,21,3033,1061,0.863,0.076,str('intersection'),0.029,True
Completed,0.52,16,4302,4676,0.354,0.58,str('intersection'),0.033,False
Completed,0.52,25,2083,1328,0.722,0.372,str('kl'),0.075,True
Completed,0.52,15,2311,3205,0.256,0.063,str('intersection'),0.058,False
Completed,0.52,21,3768,170,0.64,0.766,str('kl'),0.05,True
Completed,0.52,36,2654,4097,0.144,0.265,str('kl'),0.012,False
Completed,0.52,18,963,2446,0.774,0.533,str('intersection'),0.1,True
Completed,0.52,13,612,4785,0.611,0.69,str('intersection'),0.067,False
Completed,0.52,24,3320,1730,0.496,0.482,str('kl'),0.042,True
Completed,0.52,39,4668,2528,0.974,0.987,str('kl'),0.026,False
Completed,0.52,15,1726,896,0.107,0.216,str('intersection'),0.085,True
Completed,0.52,12,4778,2946,0.588,0.036,str('intersection'),0.037,True
Completed,0.52,22,4863,1265,0.692,0.181,str('kl'),0.07,True
Completed,0.52,23,2717,3004,0.145,0.782,str('kl'),0.079,False
Completed,0.52,15,2169,916,0.776,0.284,str('intersection'),0.03,True
Completed,0.52,38,2191,3766,0.225,0.204,str('kl'),0.019,False
Completed,0.52,22,2895,2342,0.852,0.705,str('intersection'),0.091,True
Completed,0.52,19,4529,3413,0.307,0.323,str('intersection'),0.059,False
Completed,0.52,17,75,504,0.679,0.821,str('kl'),0.05,True
Completed,0.52,38,773,2738,0.946,0.899,str('kl'),0.027,False
Completed,0.52,14,3821,1158,0.071,0.402,str('intersection'),0.084,True
Completed,0.52,11,3447,4420,0.522,0.504,str('intersection'),0.076,False
Completed,0.52,42,1649,1668,0.399,0.002,str('kl'),0.035,True
Completed,0.52,13,1585,2607,0.008,0.309,str('intersection'),0.051,False
Completed,0.52,30,3540,985,0.882,0.805,str('kl'),0.058,True
Completed,0.52,22,3884,4592,0.462,0.159,str('kl'),0.089,False
Completed,0.52,14,680,1798,0.585,0.659,str('intersection'),0.02,True
Completed,0.52,17,564,4837,0.324,0.682,str('intersection'),0.038,False
Completed,0.52,14,4544,1649,0.547,0.577,str('intersection'),0.011,True
Completed,0.52,13,3431,2765,0.05,0.08,str('intersection'),0.051,False
Completed,0.52,28,489,665,0.93,0.874,str('kl'),0.06,True
Completed,0.52,23,1076,3286,0.704,0.903,str('kl'),0.083,False
Completed,0.63,31,2534,94,0.34,0.176,str('intersection'),0.025,True
Completed,0.52,13,3881,4329,0.818,0.669,str('intersection'),0.044,False
Completed,0.52,20,2190,2209,0.201,0.378,str('kl'),0.068,True
Completed,0.52,15,2125,2949,0.791,0.188,str('intersection'),0.063,False
Completed,0.52,20,4267,1142,0.157,0.982,str('kl'),0.049,True
Completed,0.52,24,3075,4439,0.685,0.485,str('kl'),0.019,False
Completed,0.52,14,856,1560,0.304,0.717,str('intersection'),0.089,True
Completed,0.52,12,115,3869,0.093,0.559,str('intersection'),0.077,False
Completed,0.52,76,3506,2081,0.956,0.268,str('kl'),0.034,True
Completed,0.52,23,4775,3509,0.447,0.762,str('kl'),0.028,False
Completed,0.49,40,1307,610,0.565,0.034,str('intersection'),0.082,True
Completed,0.52,29,1557,3631,0.13,0.653,str('kl'),0.037,True
