Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.58,626,2192,511,0.333,0.7,str('intersection'),0.063,True
Completed,0.58,6169,3754,4879,0.944,0.366,str('kl'),0.031,False
Completed,0.61,1032,3871,1905,0.714,0.065,str('intersection'),0.011,True
Completed,0.58,1129,2309,2553,0.071,0.993,str('kl'),0.069,False
Completed,0.58,2459,111,361,0.884,0.402,str('kl'),0.084,True
Completed,0.58,504,3548,4722,0.276,0.531,str('intersection'),0.053,False
Completed,0.58,766,2818,1084,0.245,0.685,str('intersection'),0.03,True
Completed,0.58,2170,631,4156,0.602,0.256,str('kl'),0.062,False
Completed,0.58,1844,1637,1338,0.417,0.851,str('kl'),0.092,True
Completed,0.58,545,4449,3275,0.805,0.216,str('intersection'),0.034,False
Completed,0.6,1037,4868,71,0.444,0.354,str('kl'),0.047,True
Completed,0.58,648,1430,4383,0.833,0.705,str('intersection'),0.078,False
Completed,0.59,863,1148,2200,0.149,0.173,str('intersection'),0.076,True
Completed,0.58,2256,2710,2877,0.504,0.761,str('kl'),0.016,False
Completed,0.59,1361,613,3561,0.364,0.046,str('intersection'),0.098,False
Completed,0.58,1901,2126,754,0.678,0.574,str('intersection'),0.055,True
Completed,0.58,2455,4313,3855,0.037,0.492,str('kl'),0.025,False
Completed,0.58,525,4109,825,0.851,0.829,str('intersection'),0.095,False
Completed,0.58,1397,349,1744,0.556,0.633,str('kl'),0.022,False
Completed,0.58,647,3161,3651,0.167,0.301,str('intersection'),0.059,True
Completed,0.58,463,2583,2427,0.322,0.42,str('intersection'),0.081,False
Completed,0.59,832,1402,298,0.025,0.114,str('kl'),0.019,False
Completed,0.58,1156,4839,4629,0.636,0.952,str('intersection'),0.072,True
Completed,0.58,694,4635,1423,0.116,0.619,str('kl'),0.064,False
Completed,0.58,1276,1822,3341,0.724,0.439,str('intersection'),0.028,True
Completed,0.58,464,914,1169,0.286,0.909,str('intersection'),0.036,False
Completed,0.58,659,3656,603,0.583,0.132,str('kl'),0.067,False
Completed,0.58,794,218,4944,0.195,0.81,str('intersection'),0.013,True
Completed,0.58,487,2357,2146,0.755,0.344,str('intersection'),0.05,False
Completed,0.58,6329,3919,2775,0.397,0.722,str('kl'),0.086,True
Completed,0.61,467,3933,635,0.577,0.306,str('intersection'),0.025,False
Completed,0.58,4819,2370,3822,0.216,0.628,str('kl'),0.056,True
Completed,0.58,730,213,1631,0.779,0.22,str('kl'),0.098,False
Completed,0.58,784,3650,3453,0.388,0.838,str('intersection'),0.039,True
Completed,0.58,510,3110,2314,0.109,0.941,str('intersection'),0.017,False
Completed,0.59,507,1811,108,0.313,0.528,str('kl'),0.078,False
Completed,0.58,1823,4624,4505,0.917,0.413,str('intersection'),0.047,True
Completed,0.59,1138,4811,1301,0.331,0.02,str('kl'),0.033,False
Completed,0.58,2026,1374,3152,0.938,0.914,str('intersection'),0.093,True
Completed,0.58,532,1051,970,0.004,0.448,str('intersection'),0.061,False
Completed,0.58,889,3128,403,0.862,0.733,str('kl'),0.053,False
Completed,0.58,1215,316,4830,0.469,0.333,str('intersection'),0.083,True
Completed,0.58,534,1947,2024,0.533,0.803,str('intersection'),0.07,False
Completed,0.58,6705,4135,2586,0.174,0.139,str('kl'),0.01,True
Completed,0.58,2183,4320,2095,0.996,0.542,str('intersection'),0.087,True
Completed,0.58,1421,2132,2677,0.359,0.392,str('kl'),0.049,False
Completed,0.57,9098,599,474,0.669,0.986,str('kl'),0.014,True
Completed,0.58,632,3412,4920,0.062,0.072,str('intersection'),0.067,False
Completed,0.58,960,2721,1197,0.467,0.211,str('intersection'),0.089,True
Completed,0.58,6018,1158,4354,0.826,0.856,str('kl'),0.037,False
Completed,0.58,1592,1421,1528,0.138,0.265,str('kl'),0.027,True
Completed,0.58,492,4859,3399,0.531,0.677,str('intersection'),0.065,False
Completed,0.58,781,4419,193,0.221,0.75,str('kl'),0.073,True
Completed,0.58,839,1606,4571,0.612,0.183,str('intersection'),0.018,False
Completed,0.58,1233,659,2399,0.423,0.712,str('intersection'),0.045,True
Completed,0.58,2682,2847,2991,0.784,0.347,str('kl'),0.081,False
Completed,0.58,9447,3523,1872,0.687,0.497,str('kl'),0.058,True
Completed,0.58,484,85,3675,0.083,0.569,str('intersection'),0.023,False
Completed,0.58,1171,2341,877,0.891,0.037,str('intersection'),0.041,True
Completed,0.58,1983,3904,4044,0.253,0.904,str('kl'),0.096,False
Completed,0.58,748,3787,1714,0.031,0.666,str('intersection'),0.082,True
Completed,0.58,1623,2224,3524,0.638,0.268,str('kl'),0.046,False
Completed,0.58,2468,46,717,0.328,0.862,str('kl'),0.02,True
Completed,0.58,592,3484,3897,0.965,0.196,str('intersection'),0.074,False
Completed,0.6,931,2964,34,0.562,0.085,str('intersection'),0.097,True
Completed,0.58,2210,776,4424,0.169,0.981,str('kl'),0.043,False
Completed,0.58,623,4458,2840,0.498,0.551,str('intersection'),0.059,False
Completed,0.58,5484,4977,1042,0.753,0.876,str('kl'),0.068,True
Completed,0.59,582,1539,4193,0.392,0.058,str('intersection'),0.016,False
Completed,0.58,1117,1197,1375,0.581,0.586,str('intersection'),0.051,True
