Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.91,0,1825,4498,0.236,0.146,str('kl'),0.031,True
Completed,0.91,0,1358,982,0.566,0.329,str('intersection'),0.014,False
Completed,0.91,0,3688,3746,0.166,0.586,str('kl'),0.094,True
Completed,0.91,1,4087,1409,0.874,0.21,str('kl'),0.076,False
Completed,0.91,0,792,3860,0.396,0.966,str('intersection'),0.042,True
Completed,0.91,0,624,2298,0.108,0.866,str('intersection'),0.024,False
Completed,0.91,0,4500,4847,0.632,0.125,str('kl'),0.081,True
Completed,0.91,0,2728,308,0.33,0.736,str('kl'),0.066,False
Completed,0.91,0,2229,2544,0.932,0.494,str('intersection'),0.054,True
Completed,0.91,1,2355,155,0.14,0.91,str('kl'),0.078,True
Completed,0.91,0,2523,2703,0.599,0.169,str('intersection'),0.022,False
Completed,0.91,0,4626,2461,0.425,0.533,str('intersection'),0.052,True
Completed,0.91,0,418,4697,0.837,0.292,str('kl'),0.062,False
Completed,0.91,0,665,1261,0.657,0.379,str('kl'),0.091,True
Completed,0.91,0,4291,4023,0.074,0.636,str('intersection'),0.013,False
Completed,0.91,0,3561,1141,0.903,0.007,str('intersection'),0.039,True
Completed,0.91,0,1562,3591,0.367,0.763,str('kl'),0.072,False
Completed,0.91,0,1717,1948,0.941,0.696,str('intersection'),0.055,True
Completed,0.91,0,3405,4652,0.296,0.439,str('kl'),0.045,False
Completed,0.91,0,3821,500,0.742,0.827,str('kl'),0.03,True
Completed,0.91,0,1135,2892,0.019,0.071,str('intersection'),0.085,False
Completed,0.91,0,263,705,0.479,0.233,str('intersection'),0.068,True
Completed,0.91,0,4781,3312,0.75,0.975,str('kl'),0.035,False
Completed,0.91,0,2993,1840,0.21,0.353,str('kl'),0.017,True
Completed,0.91,0,1885,4134,0.559,0.594,str('intersection'),0.095,False
Completed,0.91,1,1895,218,0.489,0.287,str('kl'),0.055,True
