Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.32,459,926,2909,0.815,0.494,str('kl'),0.085,False
Completed,0.32,1238,2096,2813,0.347,0.053,str('kl'),0.022,True
Completed,0.32,120,35,413,0.75,0.641,str('kl'),0.052,False
Completed,0.32,77,4693,4523,0.095,0.456,str('intersection'),0.078,True
Completed,0.32,71,3866,793,0.463,0.366,str('intersection'),0.072,False
Completed,0.32,5991,1024,4260,0.681,0.552,str('kl'),0.019,True
Completed,0.32,133,1854,1270,0.212,0.142,str('kl'),0.037,False
Completed,0.32,140,3427,3485,0.929,0.956,str('intersection'),0.098,True
Completed,0.32,505,3228,1478,0.317,0.402,str('kl'),0.016,True
Completed,0.32,64,1655,3614,0.536,0.711,str('intersection'),0.068,False
Completed,0.32,80,1215,703,0.07,0.123,str('intersection'),0.096,True
Completed,0.32,472,4058,4092,0.787,0.811,str('kl'),0.035,False
Completed,0.32,546,4885,597,0.652,0.9,str('kl'),0.025,True
Completed,0.32,64,227,4628,0.496,0.213,str('intersection'),0.066,False
Completed,0.32,98,1365,276,0.282,0.839,str('kl'),0.055,True
Completed,0.32,63,3522,4934,0.563,0.032,str('intersection'),0.029,False
Completed,0.32,97,107,2544,0.585,0.912,str('intersection'),0.036,True
Completed,0.32,137,1897,2306,0.904,0.621,str('intersection'),0.081,True
Completed,0.32,169,2824,2591,0.249,0.312,str('kl'),0.054,False
Completed,0.32,71,3712,107,0.185,0.585,str('kl'),0.088,False
Completed,0.32,150,1554,4844,0.964,0.271,str('intersection'),0.047,True
Completed,0.32,67,724,2132,0.436,0.922,str('intersection'),0.032,False
Completed,0.32,2862,4151,3116,0.717,0.237,str('kl'),0.059,True
Completed,0.32,204,4398,1574,0.848,0.085,str('kl'),0.091,False
Completed,0.32,81,325,3167,0.006,0.771,str('intersection'),0.039,True
Completed,0.32,86,2386,1114,0.6,0.422,str('intersection'),0.012,False
Completed,0.32,784,2728,3954,0.257,0.738,str('kl'),0.072,True
Completed,0.32,139,2539,1009,0.994,0.184,str('intersection'),0.041,True
Completed,0.32,240,2197,3771,0.151,0.992,str('kl'),0.093,False
Completed,0.32,960,527,1796,0.742,0.341,str('kl'),0.076,True
Completed,0.32,64,4600,3311,0.399,0.53,str('intersection'),0.015,False
Completed,0.32,8219,3096,4577,0.833,0.563,str('kl'),0.069,True
Completed,0.32,13472,244,3705,0.99,0.507,str('kl'),0.094,True
Completed,0.32,103,2012,769,0.396,0.16,str('kl'),0.075,False
Completed,0.32,132,2959,4177,0.739,0.968,str('intersection'),0.015,True
Completed,0.32,98,3069,864,0.009,0.414,str('kl'),0.09,True
Completed,0.32,79,2123,4351,0.851,0.73,str('intersection'),0.039,False
Completed,0.32,81,121,1337,0.261,0.077,str('intersection'),0.013,True
Completed,0.32,236,4837,3570,0.604,0.763,str('kl'),0.073,False
Completed,0.32,2763,3790,2379,0.953,0.915,str('kl'),0.089,True
Completed,0.32,70,1007,2723,0.173,0.23,str('intersection'),0.047,False
Completed,0.32,102,1739,348,0.706,0.577,str('intersection'),0.031,True
Completed,0.32,288,3292,4437,0.425,0.263,str('kl'),0.058,False
Completed,0.32,199,3631,1645,0.678,0.134,str('intersection'),0.071,True
Completed,0.32,293,1415,3257,0.46,0.948,str('kl'),0.019,False
Completed,0.32,976,683,1179,0.926,0.358,str('kl'),0.038,True
Completed,0.32,64,4129,4040,0.208,0.544,str('intersection'),0.098,False
Completed,0.41,112,4508,37,0.358,0.634,str('intersection'),0.063,True
Completed,0.32,1246,502,3078,0.412,0.677,str('kl'),0.097,True
Completed,0.37,113,2250,146,0.944,0.017,str('kl'),0.067,False
Completed,0.32,95,2552,4805,0.164,0.831,str('intersection'),0.017,True
Completed,0.32,329,2620,1932,0.485,0.598,str('kl'),0.024,False
Completed,0.32,103,2336,2818,0.641,0.289,str('intersection'),0.065,True
Completed,0.32,66,568,209,0.237,0.876,str('intersection'),0.082,False
Completed,0.32,11329,4622,4849,0.892,0.19,str('kl'),0.054,True
Completed,0.32,201,4243,1080,0.539,0.1,str('kl'),0.017,False
Completed,0.32,84,796,3861,0.321,0.787,str('intersection'),0.068,True
Completed,0.32,89,1294,1862,0.791,0.378,str('intersection'),0.094,False
Completed,0.32,254,3510,3397,0.073,0.688,str('kl'),0.034,True
Completed,0.32,75,3181,525,0.826,0.816,str('intersection'),0.044,False
Completed,0.32,418,1628,4538,0.046,0.009,str('kl'),0.085,True
Completed,0.32,261,1130,2241,0.574,0.658,str('kl'),0.056,False
Completed,0.32,123,3914,2505,0.294,0.471,str('intersection'),0.029,True
Completed,0.32,82,4961,1548,0.148,0.318,str('intersection'),0.042,False
Completed,0.32,269,51,4131,0.092,0.369,str('kl'),0.031,False
Completed,0.32,458,2033,1439,0.562,0.964,str('kl'),0.049,True
Completed,0.32,66,3001,3654,0.344,0.157,str('intersection'),0.086,False
Completed,0.32,438,2887,1309,0.909,0.71,str('kl'),0.027,False
