Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.06,2804,4707,941,0.939,0.404,str('intersection'),0.072,True
Completed,0.06,6430,1974,2669,0.078,0.868,str('kl'),0.031,False
Completed,0.06,3072,1568,219,0.332,0.981,str('kl'),0.052,True
Completed,0.07,1843,3862,3509,0.717,0.261,str('intersection'),0.099,False
Completed,0.06,4361,1801,2324,0.539,0.305,str('kl'),0.076,False
Completed,0.04,2140,2828,897,0.394,0.114,str('intersection'),0.037,False
Completed,0.05,3162,280,631,0.167,0.34,str('intersection'),0.025,True
Completed,0.06,10839,567,3967,0.846,0.195,str('kl'),0.02,False
Completed,0.05,5150,1736,1477,0.476,0.206,str('kl'),0.031,False
Completed,0.06,4001,4052,3962,0.859,0.965,str('intersection'),0.094,True
Completed,0.05,1995,4086,125,0.421,0.647,str('kl'),0.084,False
Completed,0.06,2760,1378,2639,0.804,0.399,str('intersection'),0.011,True
Completed,0.06,1865,153,2216,0.085,0.881,str('intersection'),0.039,False
Completed,0.06,5124,3248,1841,0.932,0.062,str('kl'),0.096,False
Completed,0.06,2204,976,4364,0.295,0.796,str('intersection'),0.024,True
Completed,0.04,2407,2201,803,0.562,0.297,str('intersection'),0.052,False
Completed,0.04,4500,232,25,0.509,0.906,str('intersection'),0.045,True
Completed,0.06,3313,3943,4032,0.412,0.968,str('intersection'),0.03,True
Completed,0.04,2604,2590,281,0.894,0.24,str('intersection'),0.043,False
Completed,0.06,2151,438,2462,0.459,0.765,str('intersection'),0.097,False
Completed,0.05,3677,4040,133,0.104,0.69,str('kl'),0.016,False
Completed,0.06,3048,1781,3716,0.975,0.038,str('intersection'),0.065,True
Completed,0.04,2030,2157,1203,0.745,0.175,str('intersection'),0.086,False
Completed,0.06,8020,4915,2599,0.366,0.583,str('kl'),0.042,True
Completed,0.06,6412,3572,1353,0.819,0.375,str('kl'),0.027,False
Completed,0.06,2195,688,4956,0.199,0.898,str('intersection'),0.076,True
Completed,0.05,2402,947,448,0.752,0.504,str('kl'),0.059,False
Completed,0.06,2170,3234,3407,0.141,0.223,str('intersection'),0.012,True
Completed,0.06,1718,4547,2156,0.686,0.945,str('intersection'),0.048,False
Completed,0.06,3199,1415,1670,0.047,0.431,str('kl'),0.07,False
Completed,0.06,2063,2675,2258,0.235,0.532,str('intersection'),0.061,True
Completed,0.06,1705,3706,4692,0.488,0.678,str('intersection'),0.087,False
Completed,0.06,2704,4530,3099,0.61,0.849,str('intersection'),0.086,True
Completed,0.04,2039,3334,1848,0.065,0.076,str('intersection'),0.073,False
Completed,0.04,2810,861,261,0.005,0.803,str('intersection'),0.014,False
Completed,0.06,4232,4780,2306,0.43,0.744,str('kl'),0.094,False
Completed,0.05,2386,1901,4014,0.552,0.03,str('intersection'),0.045,True
Completed,0.05,2206,1642,1540,0.79,0.136,str('intersection'),0.025,False
Completed,0.06,2371,2748,1065,0.646,0.32,str('kl'),0.082,False
Completed,0.05,2039,494,2794,0.274,0.906,str('intersection'),0.033,True
Completed,0.05,3258,509,75,0.669,0.463,str('intersection'),0.031,True
Completed,0.06,7876,2813,3659,0.282,0.81,str('kl'),0.074,False
Completed,0.06,11999,3804,2413,0.767,0.024,str('kl'),0.087,True
Completed,0.06,1739,1705,3828,0.154,0.735,str('intersection'),0.038,False
Completed,0.05,2486,1915,1257,0.376,0.6,str('intersection'),0.02,True
Completed,0.06,11968,4843,4859,0.513,0.126,str('kl'),0.063,False
Completed,0.06,3109,3647,1113,0.06,0.915,str('kl'),0.099,True
Completed,0.06,1758,923,2510,0.922,0.326,str('intersection'),0.05,False
Completed,0.06,2957,3957,1317,0.516,0.412,str('intersection'),0.038,True
Completed,0.06,12275,1863,4919,0.404,0.814,str('kl'),0.078,False
Completed,0.06,6468,2074,2353,0.128,0.957,str('kl'),0.058,True
Completed,0.06,2331,4998,3768,0.762,0.3,str('intersection'),0.012,False
Completed,0.06,9290,770,3601,0.672,0.25,str('kl'),0.09,False
Completed,0.06,2330,1021,1623,0.368,0.348,str('intersection'),0.085,True
Completed,0.06,13379,3160,4601,0.739,0.878,str('kl'),0.041,False
Completed,0.06,4517,4621,855,0.193,0.172,str('kl'),0.028,True
Completed,0.06,1694,2373,2876,0.822,0.571,str('intersection'),0.077,False
Completed,0.06,2490,1489,325,0.583,0.717,str('intersection'),0.096,True
Completed,0.06,7891,4254,3283,0.461,0.057,str('kl'),0.052,False
Completed,0.06,2009,29,4078,0.099,0.488,str('intersection'),0.066,False
Completed,0.06,4162,197,1986,0.703,0.559,str('kl'),0.051,False
Completed,0.05,2182,3123,4320,0.342,0.215,str('intersection'),0.097,True
Completed,0.06,2069,4115,570,0.856,0.985,str('intersection'),0.062,False
Completed,0.05,2743,2229,747,0.497,0.377,str('kl'),0.04,False
Completed,0.06,1901,2882,3144,0.537,0.514,str('intersection'),0.028,False
Completed,0.06,2538,4352,1893,0.024,0.286,str('intersection'),0.044,True
Completed,0.06,10312,1470,4226,0.9,0.94,str('kl'),0.085,False
Completed,0.06,9542,2470,1797,0.631,0.832,str('kl'),0.064,True
Completed,0.06,2008,4600,4442,0.262,0.426,str('intersection'),0.017,False
Completed,0.06,2690,3257,692,0.807,0.649,str('intersection'),0.055,True
Completed,0.06,6534,1001,3045,0.18,0.125,str('kl'),0.096,False
Completed,0.06,5000,633,2199,0.874,0.472,str('intersection'),0.079,True
Completed,0.06,8976,3547,3908,0.238,0.755,str('kl'),0.036,False
Completed,0.06,5002,4860,163,0.691,0.048,str('kl'),0.022,True
Completed,0.06,1787,2132,3452,0.327,0.695,str('intersection'),0.072,False
Completed,0.06,2159,1727,998,0.081,0.593,str('intersection'),0.091,True
Completed,0.06,5633,4016,2726,0.967,0.18,str('kl'),0.047,False
Completed,0.06,1816,414,4751,0.597,0.365,str('intersection'),0.06,False
Completed,0.06,6685,355,1171,0.917,0.103,str('kl'),0.069,True
Completed,0.06,1917,2653,2568,0.033,0.64,str('intersection'),0.023,False
Completed,0.06,2077,1617,2025,0.189,0.795,str('intersection'),0.084,False
Completed,0.05,3393,2705,609,0.373,0.721,str('kl'),0.029,False
Completed,0.05,2571,616,3276,0.734,0.005,str('intersection'),0.075,True
Completed,0.06,3336,592,1371,0.211,0.685,str('kl'),0.046,False
Completed,0.06,2651,2730,4975,0.838,0.089,str('intersection'),0.092,True
Completed,0.06,1716,3887,1224,0.355,0.859,str('intersection'),0.056,False
Completed,0.05,3129,1998,112,0.994,0.251,str('kl'),0.034,False
Completed,0.06,2531,4760,3695,0.117,0.975,str('intersection'),0.081,True
Completed,0.05,2055,3730,2444,0.568,0.202,str('intersection'),0.067,False
Completed,0.05,1982,1100,915,0.503,0.927,str('intersection'),0.019,False
Completed,0.06,3160,4393,1690,0.936,0.62,str('kl'),0.1,False
Completed,0.06,2214,2287,4667,0.05,0.154,str('intersection'),0.05,True
Completed,0.06,2171,1257,2136,0.296,0.012,str('intersection'),0.03,False
Completed,0.05,2267,2987,430,0.144,0.444,str('kl'),0.089,False
Completed,0.06,2741,256,3389,0.781,0.782,str('intersection'),0.039,True
Completed,0.06,3199,127,478,0.417,0.228,str('kl'),0.075,True
Completed,0.05,4289,4577,58,0.793,0.76,str('kl'),0.082,True
Completed,0.06,1981,2495,3641,0.158,0.482,str('intersection'),0.035,False
Completed,0.05,3194,1465,1132,0.435,0.37,str('intersection'),0.014,True
Completed,0.06,4664,4356,2527,0.547,0.903,str('kl'),0.055,False
Completed,0.06,3825,2857,1279,0.002,0.18,str('kl'),0.093,True
Completed,0.06,2184,151,4882,0.887,0.578,str('intersection'),0.046,False
Completed,0.06,3606,251,1504,0.305,0.399,str('kl'),0.059,False
Completed,0.06,2732,2992,4775,0.677,0.873,str('intersection'),0.01,True
Completed,0.05,2036,4149,1022,0.13,0.084,str('intersection'),0.048,False
Completed,0.06,2087,2283,304,0.521,0.537,str('kl'),0.071,False
Completed,0.06,3045,4398,3594,0.4,0.19,str('intersection'),0.022,True
Completed,0.06,2203,3368,2340,0.915,0.977,str('intersection'),0.037,False
Completed,0.04,2442,837,706,0.98,0.145,str('intersection'),0.095,False
Completed,0.06,10503,3735,3060,0.096,0.614,str('kl'),0.054,True
Completed,0.05,7073,4736,1811,0.579,0.342,str('kl'),0.018,False
Completed,0.06,2366,2023,4457,0.466,0.931,str('intersection'),0.064,True
Completed,0.06,2849,4963,654,0.293,0.886,str('kl'),0.087,True
Completed,0.06,2117,2108,3007,0.662,0.356,str('intersection'),0.04,False
Completed,0.06,3072,1849,516,0.931,0.496,str('intersection'),0.02,True
Completed,0.06,6601,3973,3181,0.055,0.777,str('kl'),0.061,False
Completed,0.06,8057,2620,1933,0.507,0.054,str('kl'),0.098,True
Completed,0.06,2023,390,4266,0.387,0.704,str('intersection'),0.052,False
Completed,0.05,3608,408,367,0.068,0.948,str('kl'),0.039,True
Completed,0.05,2624,2522,3326,0.946,0.293,str('intersection'),0.088,False
Completed,0.06,3145,3991,2072,0.493,0.501,str('intersection'),0.074,True
Completed,0.06,9438,1751,4112,0.615,0.226,str('kl'),0.031,False
Completed,0.06,12795,2128,1588,0.852,0.111,str('kl'),0.05,True
Completed,0.06,1757,4866,4565,0.223,0.647,str('intersection'),0.099,False
Completed,0.05,3825,3523,812,0.708,0.434,str('intersection'),0.063,True
Completed,0.06,9289,658,2834,0.337,0.839,str('kl'),0.019,False
Completed,0.06,2556,997,2390,0.641,0.695,str('intersection'),0.026,True
Completed,0.06,8331,3263,3806,0.279,0.033,str('kl'),0.066,False
Completed,0.11,2646,1223,149,0.48,0.019,str('intersection'),0.089,False
Completed,0.05,14107,4496,2485,0.087,0.468,str('kl'),0.012,False
Completed,0.06,2791,2263,3900,0.963,0.805,str('intersection'),0.059,True
Completed,0.06,2112,1379,1332,0.693,0.92,str('intersection'),0.078,False
Completed,0.05,6823,3090,1186,0.868,0.596,str('kl'),0.024,False
Completed,0.05,2694,232,2583,0.242,0.131,str('intersection'),0.07,True
Completed,0.05,7101,15,962,0.566,0.825,str('kl'),0.033,True
Completed,0.06,2006,2916,2691,0.452,0.417,str('intersection'),0.082,False
Completed,0.06,3542,4220,1438,0.999,0.625,str('intersection'),0.069,True
Completed,0.06,13494,1524,4708,0.113,0.102,str('kl'),0.025,False
Completed,0.06,8926,2358,2242,0.358,0.235,str('kl'),0.044,True
Completed,0.06,1874,4635,3950,0.722,0.523,str('intersection'),0.093,False
Completed,0.05,2459,3126,197,0.206,0.31,str('intersection'),0.058,True
Completed,0.06,13512,1055,3488,0.842,0.963,str('kl'),0.014,False
Completed,0.05,2150,755,1756,0.148,0.569,str('intersection'),0.031,True
Completed,0.06,10728,3503,4402,0.775,0.158,str('kl'),0.072,False
Completed,0.06,1719,1209,2709,0.592,0.602,str('intersection'),0.064,False
Completed,0.06,8586,909,1914,0.397,0.988,str('kl'),0.072,True
Completed,0.06,1871,3663,4249,0.527,0.269,str('intersection'),0.022,False
Completed,0.05,2726,4810,496,0.043,0.556,str('intersection'),0.035,True
Completed,0.06,6597,1950,3160,0.913,0.217,str('kl'),0.079,False
Completed,0.06,4803,1690,675,0.682,0.073,str('kl'),0.061,True
Completed,0.06,1934,3818,3027,0.304,0.67,str('intersection'),0.011,False
Completed,0.06,3008,2778,1774,0.757,0.38,str('intersection'),0.047,True
Completed,0.06,11237,543,4420,0.136,0.846,str('kl'),0.09,False
Completed,0.06,4693,480,2178,0.811,0.275,str('kl'),0.066,False
Completed,0.06,2890,2764,4219,0.175,0.997,str('intersection'),0.016,True
Completed,0.05,2634,3755,466,0.628,0.208,str('intersection'),0.053,False
Completed,0.06,12711,1676,3424,0.264,0.55,str('kl'),0.097,True
Completed,0.06,2716,1886,880,0.019,0.661,str('kl'),0.077,False
