Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.55,1,295,3319,0.923,0.759,str('intersection'),0.07,True
Completed,0.55,1,4322,3522,0.754,0.29,str('kl'),0.044,True
Completed,0.55,1,787,1695,0.425,0.773,str('intersection'),0.095,False
Completed,0.55,1,995,4574,0.861,0.682,str('kl'),0.088,True
Completed,0.55,2,3899,175,0.443,0.131,str('intersection'),0.05,False
Completed,0.55,1,3388,2922,0.588,0.846,str('intersection'),0.01,True
Completed,0.55,1,1721,2335,0.233,0.34,str('kl'),0.071,False
Completed,0.55,1,1919,3240,0.317,0.479,str('kl'),0.092,True
Completed,0.55,1,52,4119,0.481,0.281,str('intersection'),0.036,False
Completed,0.55,2,2651,350,0.506,0.355,str('intersection'),0.075,True
Completed,0.55,1,4635,2745,0.401,0.638,str('intersection'),0.08,False
Completed,0.55,1,474,2158,0.794,0.175,str('kl'),0.046,True
Completed,0.55,1,360,2581,0.029,0.907,str('intersection'),0.074,True
Completed,0.55,1,3439,3604,0.49,0.945,str('intersection'),0.02,True
Completed,0.55,1,1356,1769,0.814,0.492,str('kl'),0.072,False
Completed,0.55,1,2486,2661,0.731,0.315,str('kl'),0.096,True
Completed,0.55,1,3021,2261,0.12,0.239,str('kl'),0.049,True
Completed,0.55,1,4842,940,0.839,0.781,str('kl'),0.091,True
Completed,0.55,1,3069,3385,0.193,0.194,str('kl'),0.063,False
Completed,0.55,1,2040,1558,0.612,0.743,str('intersection'),0.031,True
Completed,0.55,1,1607,3070,0.965,0.577,str('intersection'),0.055,False
Completed,0.55,1,3267,2500,0.355,0.111,str('kl'),0.084,True
Completed,0.55,1,4020,4429,0.739,0.896,str('kl'),0.068,False
Completed,0.55,1,3935,4480,0.195,0.289,str('kl'),0.029,True
Completed,0.55,1,1679,1328,0.847,0.62,str('intersection'),0.057,True
Completed,0.55,1,120,4161,0.967,0.92,str('intersection'),0.088,True
Completed,0.55,1,3955,1179,0.574,0.909,str('kl'),0.042,True
Completed,0.55,2,102,237,0.331,0.292,str('intersection'),0.072,True
Completed,0.55,1,4754,1094,0.352,0.392,str('kl'),0.051,False
Completed,0.55,2,1174,151,0.61,0.773,str('intersection'),0.065,False
Completed,0.55,1,3136,3147,0.457,0.069,str('kl'),0.024,False
Completed,0.55,1,172,1105,0.715,0.512,str('kl'),0.064,False
Completed,0.55,1,4751,2353,0.18,0.16,str('intersection'),0.076,False
Completed,0.55,1,3003,4478,0.788,0.816,str('intersection'),0.081,True
Completed,0.55,3,2124,154,0.391,0.371,str('kl'),0.046,False
