Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.19,2039,4625,2381,0.174,0.186,str('kl'),0.018,False
Completed,0.19,10451,3453,4792,0.718,0.693,str('kl'),0.05,True
Completed,0.62,650,541,238,0.356,0.479,str('intersection'),0.066,False
Completed,0.26,751,1012,4246,0.085,0.357,str('intersection'),0.098,True
Completed,0.19,3345,2982,627,0.962,0.565,str('kl'),0.025,False
Completed,0.19,3014,3842,3373,0.387,0.057,str('kl'),0.037,True
Completed,0.19,3059,2460,3118,0.735,0.261,str('kl'),0.03,False
Completed,0.19,3738,186,3877,0.401,0.989,str('kl'),0.012,False
Completed,0.19,1287,3182,1235,0.522,0.213,str('intersection'),0.085,True
Completed,0.19,635,4980,3507,0.071,0.658,str('intersection'),0.073,False
Completed,0.19,3342,1671,1463,0.947,0.389,str('kl'),0.045,True
Completed,0.27,1048,1489,4760,0.042,0.136,str('intersection'),0.033,False
Completed,0.28,1755,4519,214,0.911,0.911,str('kl'),0.062,True
Completed,0.19,1385,3660,2624,0.489,0.467,str('kl'),0.096,False
Completed,0.19,1012,317,2483,0.617,0.736,str('intersection'),0.023,True
Completed,0.19,910,1101,3328,0.814,0.615,str('intersection'),0.055,False
Completed,0.19,612,2262,2186,0.106,0.875,str('intersection'),0.057,False
Completed,0.64,706,4319,426,0.603,0.311,str('intersection'),0.048,False
Completed,0.29,607,2941,4068,0.32,0.197,str('intersection'),0.062,False
Completed,0.19,3337,1210,804,0.698,0.974,str('kl'),0.035,True
Completed,0.19,14049,421,4929,0.985,0.844,str('kl'),0.021,False
Completed,0.9,1129,3730,99,0.123,0.078,str('intersection'),0.083,True
Completed,0.19,602,4432,2690,0.544,0.552,str('intersection'),0.07,False
Completed,0.19,1817,1436,2208,0.407,0.277,str('kl'),0.053,True
Completed,0.45,684,1567,3938,0.565,0.03,str('intersection'),0.041,False
Completed,0.19,1243,4910,955,0.451,0.799,str('kl'),0.058,True
Completed,0.19,7405,3269,3680,0.905,0.322,str('kl'),0.094,False
Completed,0.19,604,2183,1680,0.507,0.771,str('intersection'),0.065,False
Completed,0.19,2197,1913,3238,0.152,0.404,str('kl'),0.022,False
Completed,0.19,5392,2314,4621,0.474,0.517,str('kl'),0.076,True
Completed,0.22,862,2522,2997,0.056,0.818,str('intersection'),0.014,True
Completed,0.19,991,1400,2515,0.809,0.892,str('intersection'),0.08,True
Completed,0.19,1138,2475,1278,0.325,0.665,str('kl'),0.035,False
Completed,0.43,903,2198,3461,0.954,0.035,str('intersection'),0.098,False
Completed,0.19,1553,4296,1417,0.092,0.763,str('kl'),0.024,True
Completed,0.19,2029,2655,3845,0.512,0.366,str('kl'),0.038,False
Completed,0.19,972,870,1203,0.376,0.587,str('intersection'),0.066,True
Completed,0.19,739,97,4546,0.183,0.717,str('intersection'),0.079,False
Completed,0.48,3325,3428,345,0.802,0.486,str('kl'),0.017,True
Completed,0.19,1885,4757,3072,0.352,0.884,str('kl'),0.051,False
Completed,0.34,1090,1737,1963,0.73,0.163,str('intersection'),0.067,True
Completed,0.19,2295,1277,4318,0.26,0.409,str('kl'),0.056,False
Completed,0.48,935,4575,711,0.63,0.638,str('intersection'),0.039,True
Completed,0.35,646,3559,3301,0.209,0.241,str('intersection'),0.029,False
Completed,0.19,2218,574,1596,0.836,0.962,str('kl'),0.091,True
Completed,0.19,2150,1040,2596,0.596,0.841,str('kl'),0.077,False
Completed,0.47,810,3093,2456,0.483,0.112,str('intersection'),0.049,True
Completed,0.19,905,3797,4709,0.936,0.51,str('intersection'),0.013,False
Completed,0.19,2545,1928,2409,0.788,0.561,str('kl'),0.042,False
Completed,0.19,889,2014,4844,0.67,0.92,str('intersection'),0.046,True
Completed,0.84,1095,3993,27,0.284,0.127,str('kl'),0.074,False
Completed,0.19,5087,2822,2774,0.862,0.745,str('kl'),0.084,True
Completed,0.5,1015,1155,2280,0.25,0.458,str('intersection'),0.01,False
Completed,0.19,827,380,3164,0.443,0.331,str('intersection'),0.042,True
Completed,0.19,1341,3597,1734,0.572,0.622,str('kl'),0.059,False
Completed,0.19,2487,4456,4143,0.025,0.008,str('kl'),0.093,True
Completed,0.33,849,1552,885,0.894,0.79,str('intersection'),0.032,False
Completed,0.19,2333,1695,2894,0.117,0.546,str('kl'),0.02,True
Completed,0.19,902,4955,2139,0.994,0.252,str('intersection'),0.082,False
Completed,0.19,827,3158,4412,0.417,0.869,str('intersection'),0.07,True
Completed,0.19,745,211,481,0.538,0.084,str('kl'),0.053,False
Completed,0.19,9462,678,4020,0.778,0.206,str('kl'),0.022,True
Completed,0.19,627,2691,1029,0.142,0.996,str('intersection'),0.095,False
Completed,0.19,1239,4175,3599,0.688,0.382,str('intersection'),0.063,True
Completed,0.19,1318,2290,985,0.587,0.425,str('kl'),0.079,True
Completed,0.19,774,2405,3793,0.194,0.806,str('intersection'),0.054,True
Completed,0.19,1336,4072,1163,0.821,0.022,str('kl'),0.071,False
Completed,0.19,2163,2744,3591,0.274,0.607,str('kl'),0.081,True
Completed,0.36,708,764,1535,0.644,0.315,str('intersection'),0.02,False
Completed,0.19,963,302,3043,0.919,0.443,str('intersection'),0.033,True
Completed,0.19,1017,3206,1927,0.035,0.728,str('kl'),0.061,False
Completed,0.19,7460,4847,4653,0.613,0.143,str('kl'),0.097,True
Completed,0.57,670,1630,459,0.5,0.935,str('intersection'),0.023,False
Completed,0.19,9252,1461,3400,0.528,0.681,str('kl'),0.013,True
Completed,0.2,637,4408,1707,0.392,0.397,str('intersection'),0.085,False
Completed,0.19,1064,3705,4297,0.937,0.981,str('intersection'),0.072,True
Completed,0.19,916,445,678,0.076,0.19,str('kl'),0.044,False
Completed,0.19,5299,1225,4842,0.366,0.069,str('kl'),0.031,True
Completed,0.4,876,2925,289,0.744,0.853,str('intersection'),0.093,False
Completed,0.2,736,3942,2542,0.168,0.268,str('intersection'),0.06,True
Completed,0.19,2765,2135,1217,0.999,0.943,str('kl'),0.054,True
Completed,0.34,980,2120,2716,0.432,0.178,str('intersection'),0.09,False
Completed,0.19,3472,3905,2234,0.553,0.9,str('kl'),0.028,True
Completed,0.19,2780,3046,4980,0.102,0.47,str('kl'),0.04,False
Completed,0.52,1299,948,151,0.979,0.701,str('intersection'),0.056,True
Completed,0.19,830,487,4121,0.705,0.571,str('intersection'),0.089,False
Completed,0.3,2006,3507,855,0.342,0.351,str('kl'),0.015,True
Completed,0.19,3961,4678,3264,0.762,0.778,str('kl'),0.047,False
Completed,0.39,749,1347,1842,0.126,0.051,str('intersection'),0.075,True
Completed,0.19,8119,1824,4515,0.846,0.302,str('kl'),0.064,False
Completed,0.62,759,4809,596,0.234,0.526,str('intersection'),0.036,True
Completed,0.44,737,3325,2869,0.687,0.096,str('intersection'),0.027,False
Completed,0.19,1259,27,2102,0.3,0.826,str('kl'),0.099,True
Completed,0.19,1931,805,3728,0.01,0.945,str('kl'),0.068,False
Completed,0.19,972,2547,1400,0.88,0.226,str('intersection'),0.051,True
Completed,0.19,633,4343,3970,0.458,0.653,str('intersection'),0.017,False
Completed,0.19,1878,2399,2327,0.625,0.073,str('kl'),0.089,False
Completed,0.19,772,2286,2645,0.03,0.688,str('intersection'),0.044,False
Completed,0.19,4074,4367,2463,0.891,0.483,str('kl'),0.06,True
Completed,0.19,2633,2570,4740,0.439,0.895,str('kl'),0.092,False
Completed,0.64,916,801,235,0.575,0.183,str('intersection'),0.03,True
Completed,0.24,825,12,4350,0.865,0.061,str('intersection'),0.045,False
Completed,0.19,908,3360,781,0.246,0.768,str('kl'),0.073,True
Completed,0.19,3230,4844,3346,0.667,0.353,str('kl'),0.085,False
Completed,0.44,757,1809,1605,0.289,0.569,str('intersection'),0.011,True
Completed,0.19,4483,1351,4600,0.693,0.813,str('kl'),0.023,False
Completed,0.78,826,4655,356,0.322,0.109,str('intersection'),0.096,True
Completed,0.19,771,3483,3097,0.773,0.521,str('intersection'),0.061,False
Completed,0.19,1447,491,2029,0.146,0.308,str('kl'),0.034,True
Completed,0.19,2476,963,3489,0.42,0.435,str('kl'),0.019,False
Completed,0.19,789,3011,1481,0.533,0.643,str('intersection'),0.081,True
Completed,0.19,621,3870,3896,0.114,0.228,str('intersection'),0.072,False
Completed,0.19,1015,2009,1510,0.231,0.217,str('kl'),0.098,False
Completed,0.19,860,1942,4033,0.347,0.326,str('intersection'),0.078,True
Completed,0.19,2738,3908,1078,0.733,0.596,str('kl'),0.016,False
Completed,0.19,2064,2892,3664,0.187,0.026,str('kl'),0.052,True
Completed,0.19,765,1239,1307,0.8,0.802,str('intersection'),0.068,False
Completed,0.19,797,451,2962,0.509,0.923,str('intersection'),0.099,True
Completed,0.19,1544,3680,2165,0.38,0.155,str('kl'),0.026,False
Completed,0.19,13793,4383,4422,0.957,0.724,str('kl'),0.036,True
Completed,0.58,609,1466,532,0.087,0.447,str('intersection'),0.065,False
Completed,0.19,7891,1616,3171,0.931,0.201,str('kl'),0.076,True
Completed,0.19,615,4880,1779,0.054,0.97,str('intersection'),0.048,False
Completed,0.19,1100,3239,4213,0.601,0.4,str('intersection'),0.015,True
Completed,0.19,1010,289,919,0.48,0.678,str('kl'),0.088,False
Completed,0.19,3020,759,4917,0.205,0.549,str('kl'),0.058,True
Completed,0.75,1000,2769,58,0.841,0.28,str('intersection'),0.04,False
Completed,0.19,750,4097,2780,0.262,0.849,str('intersection'),0.027,True
Completed,0.19,5380,2228,4276,0.54,0.238,str('kl'),0.019,True
Completed,0.19,1054,2489,4773,0.758,0.464,str('intersection'),0.087,True
Completed,0.54,1770,4142,256,0.131,0.739,str('kl'),0.014,False
Completed,0.19,3708,2658,2533,0.707,0.14,str('kl'),0.048,True
Completed,0.19,686,691,2363,0.337,0.907,str('intersection'),0.077,False
Completed,0.19,755,216,3393,0.097,0.787,str('intersection'),0.091,True
Completed,0.19,4932,3133,1659,0.982,0.01,str('kl'),0.029,False
