Status,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
Completed,0.73,23,1761,2819,0.257,0.304,str('kl'),0.084,True
Completed,0.73,9,597,4935,0.85,0.266,str('intersection'),0.047,False
Completed,0.73,9,3579,3404,0.807,0.802,str('intersection'),0.067,False
Completed,0.73,22,102,2112,0.322,0.195,str('kl'),0.037,True
Completed,0.73,14,181,3241,0.729,0.539,str('intersection'),0.083,True
Completed,0.73,11,3136,4834,0.679,0.003,str('intersection'),0.019,True
Completed,0.73,15,4991,1606,0.481,0.583,str('intersection'),0.044,False
Completed,0.73,75,1515,2814,0.905,0.414,str('kl'),0.06,True
Completed,0.73,23,1895,2303,0.594,0.333,str('kl'),0.078,False
Completed,0.73,17,4122,3594,0.02,0.663,str('intersection'),0.026,True
Completed,0.73,20,2736,366,0.82,0.236,str('intersection'),0.04,False
Completed,0.73,31,1211,4074,0.308,0.752,str('kl'),0.075,True
Completed,0.73,14,737,1255,0.769,0.708,str('intersection'),0.065,False
Completed,0.73,25,2964,2542,0.351,0.289,str('kl'),0.05,True
Completed,0.73,37,3921,768,0.559,0.859,str('kl'),0.013,False
Completed,0.73,11,2397,4481,0.079,0.128,str('intersection'),0.091,True
Completed,0.73,16,2095,1552,0.899,0.294,str('kl'),0.059,False
Completed,0.73,11,4244,2760,0.479,0.717,str('intersection'),0.046,True
Completed,0.73,18,4536,225,0.096,0.347,str('intersection'),0.086,True
Completed,0.73,31,1762,3932,0.518,0.641,str('kl'),0.029,False
Completed,0.73,51,2319,872,0.981,0.596,str('kl'),0.053,True
Completed,0.73,8,3842,4664,0.405,0.391,str('intersection'),0.063,False
Completed,0.73,16,3041,1484,0.693,0.944,str('intersection'),0.093,True
Completed,0.73,61,815,2692,0.179,0.054,str('kl'),0.01,False
Completed,0.73,19,978,499,0.65,0.471,str('intersection'),0.023,True
Completed,0.73,31,2501,4284,0.23,0.516,str('kl'),0.08,False
Completed,0.73,61,4356,2462,0.922,0.07,str('kl'),0.072,True
Completed,0.73,10,2130,3676,0.44,0.927,str('intersection'),0.043,False
Completed,0.73,17,1280,1758,0.061,0.819,str('intersection'),0.016,True
Completed,0.73,27,4757,3044,0.576,0.178,str('kl'),0.099,False
Completed,0.73,22,3371,1222,0.272,0.721,str('kl'),0.057,True
Completed,0.73,10,4535,1611,0.864,0.691,str('intersection'),0.032,False
Completed,0.73,14,301,307,0.909,0.773,str('kl'),0.09,False
Completed,0.73,11,3700,4014,0.46,0.23,str('intersection'),0.015,True
Completed,0.73,10,4423,2048,0.637,0.685,str('intersection'),0.052,False
Completed,0.73,30,1571,3340,0.25,0.328,str('kl'),0.065,True
Completed,0.73,18,2440,1547,0.251,0.435,str('kl'),0.086,False
Completed,0.73,15,4041,2755,0.862,0.577,str('intersection'),0.031,True
Completed,0.73,14,2850,789,0.04,0.024,str('intersection'),0.033,False
Completed,0.73,49,702,4580,0.589,0.978,str('kl'),0.071,True
Completed,0.73,10,1101,2399,0.114,0.56,str('intersection'),0.059,False
Completed,0.73,40,2702,3613,0.507,0.452,str('kl'),0.046,True
Completed,0.73,22,4167,582,0.341,0.898,str('kl'),0.021,False
Completed,0.73,10,2019,4368,0.796,0.105,str('intersection'),0.096,True
Completed,0.73,11,1482,1140,0.703,0.149,str('intersection'),0.077,False
Completed,0.73,25,4881,4853,0.161,0.854,str('kl'),0.039,True
Completed,0.73,39,3259,1822,0.991,0.311,str('kl'),0.025,False
Completed,0.73,11,407,3108,0.386,0.702,str('intersection'),0.08,True
Completed,0.73,15,442,2230,0.947,0.444,str('intersection'),0.07,True
Completed,0.73,24,3215,3443,0.432,0.551,str('kl'),0.035,False
Completed,0.73,26,4914,420,0.72,0.098,str('kl'),0.032,True
Completed,0.73,8,1438,4206,0.142,0.892,str('intersection'),0.084,False
Completed,0.73,16,1975,990,0.358,0.846,str('intersection'),0.066,True
Completed,0.73,30,4202,4702,0.778,0.143,str('kl'),0.051,False
Completed,0.73,45,2659,1679,0.07,0.694,str('kl'),0.014,True
Completed,0.73,10,1135,2966,0.553,0.302,str('intersection'),0.091,False
Completed,0.73,19,658,147,0.027,0.223,str('kl'),0.078,True
Completed,0.73,9,2885,3855,0.603,0.767,str('intersection'),0.026,False
Completed,0.73,22,3998,1877,0.3,0.319,str('intersection'),0.041,True
Completed,0.73,23,2474,3168,0.813,0.676,str('kl'),0.076,False
Completed,0.73,22,1605,1406,0.685,0.569,str('kl'),0.097,True
Completed,0.73,10,4378,2615,0.201,0.426,str('intersection'),0.02,False
Completed,0.73,29,3733,637,0.896,0.971,str('intersection'),0.045,True
