index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
0,0.92375,0.8506688263980694,3813,2645,897,0.6172826790750487,0.2321797083838616,1.3365359374670485,ks-test,bounded,1
1,0.9270833333333334,0.8464256619442565,3813,2645,897,0.6642026717405553,0.3821907399026009,1.3365359374670485,ks-test,bounded,1
2,0.93,0.8218669792866352,2988,2645,3512,0.6636017892373394,0.3947409967779539,2.748665706068548,t-test,bounded,1
3,0.9304166666666668,0.8169830114665819,3811,4065,1039,0.6681199580387964,0.3718480024360827,1.3442978283366318,ks-test,bounded,1
4,0.9308333333333332,0.7478888243909326,3910,3835,1401,0.7143951262300834,0.8673319277884439,1.753690539961681,ks-test,bounded,1
5,0.9317592592592592,0.7375479583132007,3521,2692,3416,0.7359811210725457,0.8763060330627487,1.3575438208356498,t-test,bounded,1
6,0.9204166666666668,0.8505524246803813,3658,2645,908,0.6309837909432984,0.2321797083838616,1.3365359374670485,ks-test,bounded,1
7,0.9233333333333332,0.8468175215202607,2970,2645,897,0.6972263199175224,0.3718480024360827,1.3442978283366318,ks-test,bounded,1
8,0.92375,0.8451191664181877,3658,2604,897,0.6310534786213723,0.3718480024360827,1.2281880200679804,ks-test,bounded,1
9,0.9266666666666666,0.8419937495791494,3813,2675,897,0.6972263199175224,0.3982815982840443,1.1563774836991263,ks-test,bounded,1
10,0.93,0.8202041291964003,2504,2645,3581,0.6122767614938002,0.3947409967779539,2.6137201962800294,t-test,bounded,1
11,0.9304166666666668,0.8167021009315356,3825,3871,891,0.6642026717405553,0.3982815982840443,2.223922539556052,ks-test,bounded,1
12,0.930462962962963,0.7396033830123417,2896,2675,3818,0.6157915102038533,0.8801125666126609,1.6249205381106586,t-test,bounded,1
13,0.9308333333333332,0.7374561713482336,3869,4160,1064,0.708122238558717,0.8783534787669778,1.436981567038223,ks-test,bounded,1
14,0.9317592592592592,0.73735023149211,2520,2627,3910,0.7488916474115104,0.868277655360289,1.0814359415210784,t-test,bounded,1
15,0.92,0.8503650523744788,3658,2645,897,0.6972263199175224,0.2321797083838616,1.3442978283366318,ks-test,bounded,1
16,0.9204166666666668,0.8497470947682781,3658,2645,897,0.6569139833507656,0.2321797083838616,1.3442978283366318,ks-test,bounded,1
17,0.9270833333333334,0.8407341341507566,3825,2675,897,0.6569139833507656,0.3982815982840443,1.1563774836991263,ks-test,bounded,1
18,0.93,0.8189688872871664,2988,2645,3581,0.6122767614938002,0.3947409967779539,2.748665706068548,t-test,bounded,1
19,0.9304166666666668,0.8159255431654552,4068,3871,891,0.6642026717405553,0.3821907399026009,1.180557918866188,ks-test,bounded,1
