index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
0,0.4917765720815241,0.88439204829738,815,27,0.0082362830069623,0.4268813620695653,998,EDFSMode.RANDOM
1,0.5216607398461267,0.8823344172551544,1545,26,0.0313258000845348,0.4775395320983526,1000,EDFSMode.RANDOM
2,0.553770901446022,0.8691565929612036,3553,38,0.0427683974802494,0.544353186506778,976,EDFSMode.RANDOM
3,0.5624065737894242,0.8666065814652628,3747,35,0.0350183861774045,0.4652273786903169,975,EDFSMode.RANDOM
4,0.5766482254103025,0.8637527694887329,4212,39,0.046127301568902,0.4233463596459265,999,EDFSMode.RANDOM
5,0.5769425433887995,0.8635665661070123,4301,36,0.0314929182841604,0.4690901574635684,997,EDFSMode.RANDOM
6,0.5821060036760519,0.8601500331881857,3486,30,0.0366887975733018,0.4889142273786037,822,EDFSMode.RANDOM
7,0.5825263911254249,0.8595681634316742,3462,41,0.0020025093058876,0.5004115225688172,824,EDFSMode.RANDOM
8,0.5858329063582686,0.858081058485364,3462,35,0.0344329537454449,0.5004115225688172,824,EDFSMode.RANDOM
9,0.5895433400022771,0.854366971899294,3699,37,0.0503842638768255,0.4607645648606122,827,EDFSMode.RANDOM
10,0.6107765761479531,0.8463261934756904,4078,37,0.0390555738292143,0.5004115225688172,824,EDFSMode.RANDOM
11,0.6158884944452576,0.8438307668546728,4497,37,0.0375493535090752,0.5124913571063185,829,EDFSMode.RANDOM
12,0.6214137551033684,0.8387329685466987,4671,40,0.0341112496890127,0.5138839582689106,794,EDFSMode.RANDOM
13,0.6533967594625807,0.8106457318857058,3462,44,0.0158264718164972,0.4993894025606936,515,EDFSMode.RANDOM
14,0.6534273288439955,0.8098256732884468,3462,44,0.0127957780478642,0.4993894025606936,515,EDFSMode.RANDOM
15,0.6572352124302602,0.8062041289435616,959,35,0.0158264718164972,0.5004115225688172,368,EDFSMode.RANDOM
16,0.6592274191187233,0.8059420890438824,3603,33,0.0102638914219462,0.5433484095501291,504,EDFSMode.RANDOM
17,0.6852619166707326,0.7962673601793061,1015,35,0.0157058742547199,0.5004115225688172,338,EDFSMode.RANDOM
18,0.687972090063273,0.7956812188303698,1015,36,0.0157058742547199,0.5004115225688172,338,EDFSMode.RANDOM
19,0.6907120419167518,0.7934102655729804,1015,35,0.004817330461701,0.5004115225688172,338,EDFSMode.RANDOM
