index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
0,0.6629279316809508,0.731190998136033,680,26,0.0070614182583067,0.5264291980366445,353,EDFSMode.RANDOM
1,0.6653720688865611,0.7286552161704747,680,37,0.0070614182583067,0.5264291980366445,353,EDFSMode.RANDOM
2,0.6682950754961624,0.7262924217234377,749,26,0.0070614182583067,0.477131001343392,353,EDFSMode.RANDOM
3,0.6785191988634013,0.7210106037040139,528,31,0.0085124020665213,0.4945195367615195,269,EDFSMode.RANDOM
4,0.8026879057827125,0.6440811150281806,749,28,0.010906752320805,0.537524331982892,139,EDFSMode.RANDOM
5,0.8057898350531206,0.6408032440875117,793,31,0.011041708582732,0.6008100370110309,150,EDFSMode.RANDOM
6,0.8232865959858716,0.6285027460812102,788,28,0.0086263716333178,0.5510841304110564,127,EDFSMode.RANDOM
7,0.8235715713433102,0.6252003167907652,749,28,0.010906752320805,0.5264291980366445,123,EDFSMode.RANDOM
8,0.8244943317105152,0.6245271960322324,749,28,0.010906752320805,0.537524331982892,123,EDFSMode.RANDOM
9,0.8333479552742837,0.608165553849199,749,28,0.010906752320805,0.7594656780627084,123,EDFSMode.RANDOM
10,0.8379665515867204,0.6023942040279755,747,26,0.0046503760211695,0.6356946730271544,110,EDFSMode.RANDOM
11,0.8669620356607072,0.5605405388966134,3320,24,0.0056009880982449,0.4735843223843862,123,EDFSMode.RANDOM
12,0.8756599102945722,0.5484339554513811,3320,24,0.0056009880982449,0.7594656780627084,123,EDFSMode.RANDOM
13,0.8769872498676848,0.5455370122738088,3320,28,0.010906752320805,0.8163328115730238,123,EDFSMode.RANDOM
14,0.8776356631157355,0.5429081894065685,3381,32,0.0034276731200516,0.5391454262398183,122,EDFSMode.RANDOM
15,0.8834070311063065,0.5409455727324174,3370,36,0.0059370523744863,0.6721239579698358,118,EDFSMode.RANDOM
16,0.8834996010207367,0.5312370887382142,3131,54,0.0198458663910064,0.919526821430318,113,EDFSMode.RANDOM
17,0.8839993440536921,0.5278683351357075,3427,33,0.0132234572925796,0.5308906237620493,104,EDFSMode.RANDOM
18,0.892679953567635,0.5272034390038894,3351,35,0.0054106221247935,0.7261950996865921,108,EDFSMode.RANDOM
19,0.8941717888034322,0.4809058787678755,4242,66,0.001738827793079,0.5230636202597037,113,EDFSMode.RANDOM
