index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
0,0.4276384720798976,0.8815380221743844,39,19,0.0011029615691627,0.6269008415060913,805,EDFSMode.RANDOM
1,0.4379062464418743,0.8807519280437675,54,20,0.0073135906597599,0.6065108350906521,771,EDFSMode.RANDOM
2,0.4714604987068756,0.8727330945598254,155,25,0.0120629906710237,0.0546877209767699,811,EDFSMode.RANDOM
3,0.5266008515102717,0.8692326872080819,426,19,0.0077212205510586,0.0837798400055617,847,EDFSMode.RANDOM
4,0.7305019437531515,0.8031684180254407,736,22,0.0079060210722958,0.6014770487984902,439,EDFSMode.RANDOM
5,0.7637715663071939,0.7897277612870051,693,22,0.0078244319416282,0.544567096129108,360,EDFSMode.RANDOM
6,0.771152043787309,0.7802382851549832,699,22,0.0079060210722958,0.5611995367157043,339,EDFSMode.RANDOM
7,0.772629755688935,0.778612564361355,1321,26,0.0071009232746437,0.5293328240551054,412,EDFSMode.RANDOM
8,0.8073303994046751,0.7355384436929554,806,25,0.0114185943277552,0.590306375078857,239,EDFSMode.RANDOM
9,0.8434279083101547,0.6935193869806993,1021,38,0.00937058461644,0.8562205280560025,194,EDFSMode.RANDOM
10,0.8636548252248731,0.6647661869392263,982,60,0.0177367584528401,0.9142581927720458,167,EDFSMode.RANDOM
11,0.8647709787081765,0.6545238920199536,1152,58,0.0306352546187117,0.92567079237476,170,EDFSMode.RANDOM
12,0.8671067254672331,0.6381306532054642,911,59,0.0160714404080063,0.6192699339985848,124,EDFSMode.RANDOM
13,0.8728376650970247,0.6327050147890463,1146,58,0.0215017391184993,0.5471685576934333,142,EDFSMode.RANDOM
14,0.8732511802810715,0.6282031395719165,1146,58,0.0277976511813501,0.5556953286697844,142,EDFSMode.RANDOM
15,0.8785644549358312,0.6202731237579692,3454,30,0.0215017391184993,0.6699174355749005,121,EDFSMode.RANDOM
16,0.8799576440735859,0.6173607247535956,3454,30,0.0215017391184993,0.5471685576934333,121,EDFSMode.RANDOM
17,0.8800478415393879,0.6031248375243381,3497,39,0.0343845468061044,0.996291386462748,111,EDFSMode.RANDOM
18,0.8806703610175833,0.6018741629203446,3560,89,0.0030855857618153,0.6261851019319147,134,EDFSMode.RANDOM
19,0.8871651600546532,0.5947528113659529,3486,86,0.002921166463755,0.5178529733791948,121,EDFSMode.RANDOM
