index,predicted_transformed_accuracy,predicted_transformed_runtime,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
0,0.7072826110416689,0.9615251514044966,1450,7,0.0035486915912479,0.1525625014398247,1000,EDFSMode.RANDOM
1,0.721409960812135,0.9550694091297552,1752,20,0.0112699338385565,0.1686682754172125,822,EDFSMode.RANDOM
2,0.7220706155760502,0.9546964125604144,1995,17,0.0054949723184108,0.275150606457144,636,EDFSMode.RANDOM
3,0.7408494293548642,0.9495054365357743,3512,20,0.0112699338385565,0.3675654523417698,621,EDFSMode.RANDOM
4,0.7442375421813827,0.9491759279853312,3648,20,0.001765913218308,0.3248872329763505,671,EDFSMode.RANDOM
5,0.7529530252356337,0.944570270690896,4020,25,0.0028464467403431,0.4258361859732532,679,EDFSMode.RANDOM
6,0.7658193721871256,0.9034452407642138,3467,20,0.001765913218308,0.9943380016651248,341,EDFSMode.RANDOM
7,0.7736650178860326,0.888892208227609,3467,69,0.001765913218308,0.9757474213012346,309,EDFSMode.RANDOM
8,0.7865358128854504,0.8482894156406416,3819,100,0.0084205715209014,0.429091580242428,307,EDFSMode.RANDOM
9,0.798985160035885,0.7063923350550962,2536,58,0.0013803315849278,0.9956399008420616,160,EDFSMode.RANDOM
10,0.8063419990503327,0.6935399725833338,1165,99,0.0025031735724506,0.9757474213012346,146,EDFSMode.RANDOM
11,0.8071375403984102,0.6899202726909069,1680,61,0.0117009361624352,0.9572611005161497,173,EDFSMode.RANDOM
12,0.817023828962235,0.688351933486339,1871,60,0.0108718747738748,0.9499946843720972,164,EDFSMode.RANDOM
13,0.825041909244808,0.68062525172941,2436,52,0.0041840759778967,0.9948523692190556,145,EDFSMode.RANDOM
14,0.8330850074509494,0.658257299130648,3467,23,0.0112699338385565,0.9757474213012346,121,EDFSMode.RANDOM
15,0.8350518258579852,0.649713344455364,3467,23,0.001765913218308,0.9757474213012346,121,EDFSMode.RANDOM
16,0.8497845981179317,0.6122223227929472,3697,98,0.0124713841269094,0.5479618668074975,136,EDFSMode.RANDOM
17,0.8682896082714919,0.580740476142711,3948,99,0.0075141419420248,0.4521808279874135,121,EDFSMode.RANDOM
18,0.871078311449688,0.561083546919169,4635,96,0.0281826659103439,0.5353620114113756,125,EDFSMode.RANDOM
19,0.883192018663033,0.5461409104085811,4008,99,0.0374374033142151,0.4868266076131363,121,EDFSMode.RANDOM
